Condor Scenery,Map File,Terrain File,Waypoints File
Alpi2,Alpi2_2.02.xcm,,
Alpi3,Alpi3_3.3.xcm,,
alps_XL,alps_XL_1.0.xcm,,
Alsace,Alsace_1.1.xcm,,
Andalusia,Andalusia_V1.0.xcm,,
Appalachia,Appalachia_1.0.xcm,,
area51,area51_1.0.xcm,,
bacchus_marsh,bacchus_marsh_.xcm,,
Belgique,Belgique_Rev 1.0.xcm,,
benabarre,benabarre_1.00.xcm,,
British_Columbia,British_Columbia_1.01.xcm,,
Bulgaria,Bulgaria_1.0.xcm,,
Catalunya,Catalunya_1.00.xcm,,
central_alps,central_alps_1.0.xcm,,
Central_Florida,Central_Florida_1.xcm,,
Central_GER,Central_GER_2.0.1.xcm,,
Central-Colombia,Central-Colombia_2.1a.xcm,,
Cologne_Duss,Cologne_Duss_v1.0.xcm,,
Colorado,Colorado_1.2.xcm,,
Condorclub,Condorclub_1.0.xcm,,
Corse,Corse_1.0.xcm,,
Czech rep,Czech rep_1.0.xcm,,
Czechoslovakia,Czechoslovakia_2.0.xcm,,
Denmark,Denmark_1.00.xcm,,
East-Andalucia,East-Andalucia_1.00.xcm,,
EasternAlps2.0,EasternAlps2.0_2.0.xcm,,
EastHungary,EastHungary_2.0.xcm,,
Eden,Eden_1.0.xcm,,
Fayence50,Fayence50_Rev1.0.xcm,,
FitzRoy,FitzRoy_1.00.xcm,,
Flying_M_Ranch,Flying_M_Ranch_1.00.xcm,,
Fuentemilanos,Fuentemilanos_1.00.xcm,,
glaciar,glaciar_1.1.xcm,,
Glacier Park,Glacier Park_1.0.xcm,,
gotland,gotland_1.02.xcm,,
Grenoble,Grenoble_1.1.xcm,,
Haut_Atlas_Maroc,Haut_Atlas_Maroc_1.0.xcm,,
Hawaii,Hawaii_1.5.xcm,,
Himalaya,Himalaya_1.0.xcm,,
HoodRiver,HoodRiver_2.0.xcm,,
Hungary,Hungary_1.00.xcm,,
HW_SWGermany,HW_SWGermany_1.08.xcm,,
IslandHop,IslandHop_1.0.xcm,,
kisogawa2,kisogawa2_.xcm,,
Lakekeepit,Lakekeepit_1.1.xcm,,
Logan,Logan_1.01.xcm,,
Makalu Range,Makalu Range_2.0.xcm,,
Massif_Central,Massif_Central_1.0.xcm,,
Mifflin,Mifflin_1.0.xcm,,
Mount_Olympus,Mount_Olympus_1.0.xcm,,
narromine,narromine_0.1.xcm,,
Nevada,Nevada_1.0.xcm,,
NEVictoria,NEVictoria_0.9.xcm,,
New_Mexico,New_Mexico_1.0.xcm,,
NewZealand,NewZealand_0.8.xcm,,
Normandie,Normandie_0.5.xcm,,
NorthernNorway,NorthernNorway_1.0.xcm,,
Oahu HD,Oahu HD_1.0.xcm,,
PacificNW,PacificNW_2.0.xcm,,
Palmeira-BR,Palmeira-BR_.xcm,,
Peru,Peru_1.0.xcm,,
PNG,PNG_1.00.xcm,,
polska_pn3,polska_pn3_.xcm,,
Porta-Westfalica,Porta-Westfalica_1.0.xcm,,
Provence,Provence_1.30.xcm,,
Provence2,Provence2_1.0.xcm,,
pyrenees,pyrenees_1.beta.xcm,,
pyrenees2,pyrenees2_2.1.xcm,,
Reinsdorf,Reinsdorf_1.0.xcm,,
Rieti,Rieti_1.00.xcm,,
Rio-Grande,Rio-Grande_2.0.xcm,,
RockyMountains,RockyMountains_1.01.xcm,,
romania,romania_0.2d.xcm,,
Rouen-Boos,Rouen-Boos_V 1.0.xcm,,
Sagarmatha,Sagarmatha_1.00.xcm,,
sandiego,sandiego_1.1.xcm,,
Scotland,Scotland_2.1.xcm,,
ScotlandHD,ScotlandHD_HD.xcm,,
SEQld,SEQld_0.8.xcm,,
SerbiaMontenegro,SerbiaMontenegro_1.0.xcm,,
Sierra Nevada,Sierra Nevada_1.1.xcm,,
Slovak Rep,Slovak Rep_1.0.xcm,,
SlovakiaCE,SlovakiaCE_6.0.xcm,,
Slovenia,Slovenia_1.03.xcm,,
SloveniaHD,SloveniaHD_1.0.xcm,,
Soaring-Island,Soaring-Island_1.0.xcm,,
South_UK_V2,South_UK_V2_2.xcm,,
SouthTurkey,SouthTurkey_1.1.xcm,,
SouthWest_GER,SouthWest_GER_1.01.xcm,,
SouthWest-Poland,SouthWest-Poland_0.5.xcm,,
StirlingRanges,StirlingRanges_2.0.xcm,,
Sydney_HunterV,Sydney_HunterV_1.0.xcm,,
teton,teton_1.00.xcm,,
uk_vfr3,uk_vfr3_3.0.xcm,,
ulster,ulster_0.1.xcm,,
Uvalde,Uvalde_1.0.xcm,,
Virgin,Virgin_1.0.xcm,,
Vysocina2,Vysocina2_1.0.xcm,,
West&Wales,West&Wales_1.3.xcm,,
West_Australia,West_Australia_1.00.xcm,,
West_swiss,West_swiss_1.02.xcm,,
WestAlpi,WestAlpi_2.0.xcm,,
YAlps,YAlps_0.02.xcm,,
