1,45:46.170N,009:09.684E,382M,AT,Alzate, Dir: 23/203 Dim: 1000/20
2,45:30.042N,008:06.096E,284M,AT,Biella Cerrione, Dir: 160/340 Dim: 1320/30
3,46:15.498N,006:59.184E,399M,AT,Bex, Dir: 150/330 Dim: 680/30
4,46:13.158N,007:19.614E,482M,AT,Sion GLD, Dir: 74/254 Dim: 1600/30
5,46:29.184N,007:14.916E,1009M,AT,Saanen, Dir: 80/260 Dim: 1380/30
6,46:33.150N,007:22.848E,935M,AT,Zweisimmen Fpl, Dir: 175/355 Dim: 670/30
7,46:45.300N,007:04.566E,698M,AT,Ecuvillens, Dir: 93/273 Dim: 800/30
8,46:40.602N,007:52.752E,576M,AT,Interlaken Mil, Dir: 48/228 Dim: 1600/30
9,46:36.816N,007:40.680E,720M,AT,Reichenbach Mil, Dir: 40/220 Dim: 800/30
10,46:18.270N,007:42.816E,625M,AT,Turtmann Mil, Dir: 80/260 Dim: 1600/30
11,46:18.282N,007:49.368E,638M,AT,Raron, Dir: 93/273 Dim: 1600/30
12,46:07.998N,008:18.348E,285M,AT,Masera Aviosuper, Dir: 10/190 Dim: 600/30
13,46:28.800N,008:15.762E,1328M,AT,Muenster Flugpla, Dir: 49/229 Dim: 800/30
14,46:44.562N,008:06.462E,576M,AT,Meiringen Mil, Dir: 98/278 Dim: 2000/30
15,46:54.480N,008:15.252E,465M,AT,Kaegiswil, Dir: 27/207 Dim: 700/30
16,46:30.780N,008:41.370E,988M,AT,Ambri Piotta, Dir: 104/284 Dim: 1990/20
17,46:17.616N,008:59.580E,259M,AT,Lodrino, Dir: 160/340 Dim: 800/20
18,46:09.624N,008:52.716E,198M,AT,Locarno Gld, Dir: 80/260 Dim: 800/30
19,45:48.570N,008:46.098E,244M,AT,Calcinate Piemon, Dir: 106/286 Dim: 1000/30
20,45:46.002N,009:26.514E,200M,AT,Montemarenzo Kong, Dir: 176/356 Dim: 300/20
21,46:00.234N,008:54.612E,281M,AT,Lugano, Dir: 19/199 Dim: 1350/30
22,47:00.900N,009:28.920E,494M,AT,Bad Ragaz, Dir: 120/300 Dim: 500/20
