1,37:05.730N,81:22.092W,950M,AT,Burkes Garden, Dir: 57/237 Dim: 1000/60
2,37:16.811N,80:18.093W,501M,AT,Catawba Valley, Dir: 45/225 Dim: 1200/60
3,36:28.339N,82:24.650W,458M,AT,Tri Cities, Dir: 50/230 Dim: 3000/60
4,37:08.130N,80:40.656W,630M,AT,New River Valley, Dir: 52/232 Dim: 2000/60
5,35:46.848N,80:18.228W,217M,AT,Lexington, Dir: 45/225 Dim: 1700/60
6,36:16.806N,80:47.154W,320M,AT,Elkin, Dir: 55/235 Dim: 1700/60
7,36:45.971N,80:49.398W,815M,AT,Twin County, Dir: 0/180 Dim: 1200/60
8,35:45.876N,80:57.216W,294M,AT,Statesville, Dir: 95/275 Dim: 2000/60
9,36:27.600N,81:21.702W,861M,AT,Skyland, Dir: 95/275 Dim: 600/60
10,37:24.000N,80:48.000W,493M,AT,Peterstown, Dir: 145/325 Dim: 1400/60
11,37:25.260N,81:31.824W,630M,AT,Welch, Dir: 90/270 Dim: 900/60
12,37:23.079N,83:15.582W,380M,AT,Eastern Kentucky, Dir: 140/320 Dim: 1800/60
13,37:14.082N,82:07.794W,650M,AT,Grundy Municipal, Dir: 40/220 Dim: 1500/60
14,36:44.761N,83:02.198W,559M,AT,Lee County, Dir: 65/245 Dim: 700/60
15,36:11.545N,82:48.948W,487M,AT,Greeneville Muni, Dir: 45/225 Dim: 1900/60
16,35:43.226N,82:00.605W,370M,AT,Shiflet Field, Dir: 105/285 Dim: 1000/60
17,35:52.130N,82:20.551W,1340M,AT,Mountain Air, Dir: 135/315 Dim: 900/60
18,35:51.479N,83:31.723W,312M,AT,Gatlinburg, Dir: 100/280 Dim: 1700/60
19,36:10.689N,83:22.538W,400M,AT,Moore Murrel, Dir: 50/230 Dim: 1800/60
20,36:41.222N,82:02.007W,638M,AT,Va. Highlands, Dir: 50/230 Dim: 1400/60
21,36:59.199N,82:31.807W,813M,AT,Lonesome Pine, Dir: 50/230 Dim: 1300/60
22,36:25.950N,81:25.183W,935M,T,Ashe County,
