1,50:33.072N,005:51.236E,334M,AT,Theux (EBTX), Dir: 51/231 Dim: 1000/40
2,50:02.184N,005:24.306E,554M,AT,St-Hubert (EBSH), Dir: 140/320 Dim: 1200/80
3,50:28.938N,005:54.804E,461M,AT,Spa (EBSP), Dir: 46/226 Dim: 1000/60
4,50:31.890N,003:29.724E,50M,AT,Tournai (EBTY), Dir: 105/285 Dim: 1000/50
5,50:09.204N,004:23.214E,285M,AT,Cerfontaine (EBCF), Dir: 115/295 Dim: 600/30
6,50:27.474N,003:49.200E,20M,AT,St-Ghislain (EBSG), Dir: 87/267 Dim: 840/23
7,50:29.400N,004:46.176E,173M,AT,Temploux (EBNM), Dir: 59/239 Dim: 900/50
8,50:46.872N,004:57.456E,66M,AT,Tirlemont (EBTN), Dir: 167/347 Dim: 650/30
9,50:45.228N,003:51.780E,15M,AT,Grammont (EBGG), Dir: 30/210 Dim: 1000/30
10,50:08.490N,003:15.810E,93M,AT,Cambrai (LFYG), Dir: 80/260 Dim: 900/18
11,50:19.536N,003:27.720E,54M,AT,Valenciennes (LFAV), Dir: 110/290 Dim: 1710/45
12,50:18.702N,004:02.046E,137M,AT,Maubeuge (LFQJ), Dir: 48/228 Dim: 1000/30
13,50:44.406N,003:29.099E,12M,AT,Amougies (EBAM), Dir: 97/277 Dim: 500/30
14,49:53.610N,005:13.914E,450M,AT,Bertrix-Jehonville (EBBX), Dir: 57/237 Dim: 800/25
15,50:27.610N,004:27.261E,182M,AT,Charleroi-Brussels S (EBCI), Dir: 64/244 Dim: 900/40
16,50:38.328N,005:26.772E,182M,AT,Liege (EBLG), Dir: 43/223 Dim: 800/40
17,49:54.882N,004:25.656E,350M,AT,Rocroi Nato, Dir: 91/271 Dim: 1000/40
18,50:45.540N,004:46.110E,100M,AT,Beauvechain, Dir: 37/217 Dim: 1300/40
19,50:14.286N,004:38.820E,275M,AT,Florennes, Dir: 78/258 Dim: 1000/30
20,50:47.334N,005:11.676E,0M,AT,Saint Trond, Dir: 57/237 Dim: 1000/25
21,50:44.367N,3:29.167E,12M,T,Amougies Gld,
22,50:42.450N,5:04.167E,119M,T,Avernas Baduin,
23,50:34.167N,4:26.167E,157M,T,Baisy Thy Genapp,
24,50:46.700N,5:36.100E,114M,T,Bassenge Ul,
25,50:03.167N,5:47.917E,527M,T,Bastogne Mishamp,
26,50:45.467N,4:46.017E,100M,T,Beauvechain,
27,49:53.500N,5:13.433E,450M,T,BertriX Jehonvil,
28,50:32.667N,4:22.950E,152M,T,Buzet Nivelles,
29,50:27.600N,4:27.167E,182M,T,Charleroi,
30,50:34.550N,3:49.867E,55M,T,Chievre,
31,50:03.550N,4:17.000E,249M,T,Chimay St Remy,
32,50:06.100N,4:20.167E,236M,T,Chimay Virelles,
33,50:07.067N,4:19.833E,272M,T,Ciney RonvauX Ul,
34,50:14.600N,4:38.733E,279M,T,Florennes,
35,50:10.583N,4:21.167E,264M,T,Froidchapelle,
36,50:32.833N,5:06.500E,146M,T,Heron Couthuin,
37,50:32.050N,5:16.467E,80M,T,Huy Centrale,
38,50:39.900N,3:48.350E,22M,T,Isieres Ath Ul,
39,50:21.633N,4:56.783E,224M,T,Ivoi Prvt Closd,
40,50:17.200N,5:50.183E,452M,T,LierneuX Ul,
41,50:34.833N,4:47.500E,169M,T,Liernu Eghezee,
42,50:22.500N,4:55.750E,268M,T,Maillen Assesse,
43,50:06.333N,4:38.367E,233M,T,Matagne Petite,
