1,05:05.164N,075:40.711W,1017M,AT,Santagueda, Dir: 160/340 Dim: 1775/60
2,04:27.163N,075:45.959W,1213M,AT,Armenia, Dir: 12/192 Dim: 2130/60
3,05:01.781N,075:27.874W,2087M,AT,La Nubia, Dir: 93/273 Dim: 1415/60
4,04:48.770N,075:44.357W,1334M,AT,Matecana, Dir: 70/250 Dim: 2020/60
5,04:45.259N,075:57.343W,903M,AT,Santa Ana, Dir: 5/185 Dim: 1380/60
6,04:24.914N,076:07.487W,910M,AT,La Seca, Dir: 130/310 Dim: 1000/60
7,04:22.478N,076:04.409W,925M,AT,Zarzal, Dir: 175/355 Dim: 1000/60
8,04:05.772N,076:13.384W,956M,AT,Tulua, Dir: 10/190 Dim: 1700/60
9,03:52.449N,076:18.265W,958M,AT,Buga, Dir: 135/315 Dim: 1000/60
10,03:27.491N,076:29.794W,954M,AT,MF Suarez, Dir: 60/240 Dim: 1800/60
11,04:25.249N,075:07.974W,930M,AT,Perales, Dir: 135/315 Dim: 1700/60
12,03:14.385N,076:32.262W,975M,AT,Jamundi, Dir: 50/230 Dim: 1470/60
13,03:05.530N,076:30.975W,987M,AT,San Julian, Dir: 135/315 Dim: 1000/60
14,03:11.073N,076:19.262W,995M,AT,San Jacinto, Dir: 98/278 Dim: 1000/60
15,03:06.510N,075:15.282W,418M,AT,San Ignacio, Dir: 10/190 Dim: 1000/60
16,03:22.935N,074:48.357W,760M,AT,Colombia, Dir: 160/340 Dim: 1000/60
17,04:16.561N,074:47.740W,281M,AT,Santiago Vila, Dir: 12/192 Dim: 1700/60
18,04:14.733N,074:38.956W,486M,AT,Tolemaida, Dir: 40/220 Dim: 3300/60
19,04:12.857N,074:38.128W,320M,AT,Melgar, Dir: 45/225 Dim: 1000/60
20,05:29.003N,074:39.440W,168M,AT,German Olano, Dir: 0/180 Dim: 1150/60
21,05:12.749N,074:53.019W,458M,AT,Mariquita, Dir: 0/180 Dim: 1750/60
22,05:08.340N,076:38.748W,100M,AT,Istmina, Dir: 0/180 Dim: 1000/60
