1,51:46.032N,006:17.040E,18M,AT,Kleve Wisseler, Dir: 70/250 Dim: 510/50
2,51:46.902N,007:16.962E,49M,AT,Borkenberge, Dir: 80/260 Dim: 590/50
3,51:41.130N,006:06.408E,16M,AT,Goch Asperden, Dir: 100/280 Dim: 820/50
4,51:39.816N,006:35.832E,21M,AT,Wesel Romerwardt, Dir: 90/270 Dim: 710/50
5,51:31.752N,006:31.884E,24M,AT,Kamp Lintfort, Dir: 70/250 Dim: 770/50
6,51:37.146N,006:51.588E,65M,AT,Dinslaken Schwa, Dir: 90/270 Dim: 890/50
7,51:39.576N,006:59.136E,32M,AT,Dorsten Kanal, Dir: 90/270 Dim: 650/50
8,51:38.952N,007:09.582E,73M,AT,Marl Loemuehle, Dir: 70/250 Dim: 830/50
9,51:37.110N,007:29.946E,49M,AT,Luenen Lippeweid, Dir: 90/270 Dim: 1030/50
10,51:35.394N,007:42.600E,63M,AT,Kamen Heeren, Dir: 110/290 Dim: 970/50
11,51:41.322N,007:49.230E,58M,AT,Hamm Lippewiesen, Dir: 60/240 Dim: 890/50
12,51:24.390N,006:56.040E,128M,AT,Essen Muelheim, Dir: 63/243 Dim: 1530/50
13,51:28.944N,006:25.674E,27M,AT,Sevelen Nord, Dir: 100/280 Dim: 560/50
14,51:28.830N,006:25.650E,31M,AT,Sevelen Sued, Dir: 100/280 Dim: 320/50
15,51:22.062N,006:12.738E,43M,AT,Venlo Gld, Dir: 85/265 Dim: 1000/50
16,51:19.860N,006:21.834E,34M,AT,Grefrath Niersho, Dir: 65/245 Dim: 560/50
17,51:23.280N,006:35.016E,43M,AT,Krefeld Egelsbe, Dir: 60/240 Dim: 650/50
18,51:15.792N,006:51.408E,113M,AT,Duesseld Wolfsaa, Dir: 70/250 Dim: 800/50
19,51:18.012N,006:57.312E,152M,AT,Meiersberg, Dir: 128/308 Dim: 800/50
20,51:18.348N,007:25.668E,392M,AT,Hagen Hof, Dir: 100/280 Dim: 420/50
21,51:28.092N,007:38.742E,132M,AT,Hengsen Opherdic, Dir: 80/260 Dim: 540/50
22,51:25.950N,007:38.256E,200M,AT,Iserlohn Rheiner, Dir: 70/250 Dim: 790/50
