1,48:13.428N,12:37.728E,410M,AT,Altotting, Dir: 90/270 Dim: 800/50
2,49:07.680N,12:58.410E,540M,AT,Arnbruck, Dir: 160/340 Dim: 600/30
3,49:44.610N,14:38.160E,390M,AT,Benesov, Dir: 90/270 Dim: 800/50
4,49:40.380N,17:17.496E,240M,AT,Bohunovice, Dir: 75/255 Dim: 800/40
5,48:27.348N,17:31.584E,203M,AT,Boleraz, Dir: 140/320 Dim: 1250/79
6,48:10.332N,17:12.690E,134M,AT,Bratislava, Dir: 40/220 Dim: 1000/30
7,48:47.598N,16:53.322E,160M,AT,Breclav, Dir: 80/260 Dim: 800/80
8,49:09.132N,16:41.472E,238M,AT,Turany, Dir: 95/275 Dim: 1000/30
9,50:33.732N,16:20.070E,390M,AT,Broumov, Dir: 138/318 Dim: 900/120
10,49:58.530N,14:10.374E,420M,AT,Bubovice, Dir: 100/280 Dim: 710/80
11,49:56.868N,15:21.972E,230M,AT,Caslav, Dir: 140/320 Dim: 2400/60
12,50:42.786N,14:33.360E,280M,AT,Ceska Lipa, Dir: 130/310 Dim: 700/50
13,48:56.904N,14:25.452E,420M,AT,Ceske Budejovice, Dir: 90/270 Dim: 800/30
14,49:13.020N,12:38.502E,380M,AT,Cham Janahof, Dir: 100/280 Dim: 600/30
15,50:44.862N,12:49.110E,360M,AT,Chemnitz Jahns, Dir: 70/250 Dim: 600/30
16,49:58.704N,16:10.818E,260M,AT,Chocen, Dir: 148/328 Dim: 600/40
17,50:28.656N,13:27.762E,330M,AT,Chomutov, Dir: 40/220 Dim: 1200/100
18,49:41.148N,15:40.248E,590M,AT,Chotebor, Dir: 170/350 Dim: 1010/150
19,49:56.640N,15:46.380E,290M,AT,Chrudim, Dir: 61/241 Dim: 980/160
20,48:50.202N,12:51.504E,314M,AT,Deggendorf, Dir: 90/270 Dim: 600/30
21,48:55.650N,15:17.418E,520M,AT,Dobersberg, Dir: 120/300 Dim: 750/40
22,48:59.814N,18:11.532E,235M,AT,Dubnica, Dir: 50/230 Dim: 1110/80
23,50:24.870N,15:49.800E,290M,AT,Dvur Kralove, Dir: 100/280 Dim: 860/80
24,48:23.850N,12:42.600E,405M,AT,Eggenfelden, Dir: 90/270 Dim: 1200/40
25,49:48.312N,13:01.356E,480M,AT,Erpuzice, Dir: 110/290 Dim: 800/70
26,49:35.376N,18:22.752E,439M,AT,Frydlant, Dir: 80/260 Dim: 800/80
27,48:31.548N,13:19.842E,410M,AT,Furstenzell, Dir: 160/340 Dim: 600/40
28,50:16.170N,18:40.368E,253M,AT,Gliwice, Dir: 80/260 Dim: 770/80
29,50:38.706N,13:06.798E,650M,AT,Grossruckersw, Dir: 100/280 Dim: 1000/50
30,49:36.114N,15:32.190E,450M,AT,Havlickuv Brod, Dir: 110/290 Dim: 1000/50
31,50:39.426N,15:04.260E,410M,AT,Hodkovice, Dir: 10/190 Dim: 980/80
32,49:18.864N,17:34.134E,232M,AT,Holesov, Dir: 110/290 Dim: 1810/80
33,48:48.930N,17:08.148E,160M,AT,Holic, Dir: 50/230 Dim: 1200/100
