1,48:39.966N,16:49.518E,183M,AT,Altlichtenwarth, Dir: 40/220 Dim: 500/80
2,48:12.942N,12:38.802E,410M,AT,Altotting, Dir: 90/270 Dim: 800/50
3,49:07.200N,12:59.358E,540M,AT,Arnbruck, Dir: 160/340 Dim: 600/30
4,49:44.160N,14:39.024E,390M,AT,Benesov, Dir: 90/270 Dim: 800/50
5,49:40.230N,17:17.700E,235M,AT,Bohunovice, Dir: 70/250 Dim: 830/80
6,48:27.348N,17:31.584E,203M,AT,Boleraz, Dir: 140/320 Dim: 1250/79
7,48:10.200N,17:12.768E,134M,AT,Bratislava, Dir: 130/310 Dim: 2940/80
8,48:47.400N,16:53.550E,162M,AT,Breclav, Dir: 80/260 Dim: 740/80
9,49:20.664N,16:13.032E,530M,AT,Brezi, Dir: 0/180 Dim: 800/80
10,49:09.084N,16:41.634E,238M,AT,Brno Turany, Dir: 100/280 Dim: 2630/80
11,50:33.720N,16:20.568E,409M,AT,Broumou, Dir: 140/320 Dim: 920/80
12,49:58.074N,14:11.268E,420M,AT,Bubovice, Dir: 100/280 Dim: 710/80
13,48:23.316N,18:00.300E,145M,AT,Cab, Dir: 180/360 Dim: 500/80
14,49:56.352N,15:22.950E,240M,AT,Caslav, Dir: 140/320 Dim: 2400/60
15,49:10.632N,16:39.900E,241M,AT,Cernovice, Dir: 130/310 Dim: 1210/80
16,50:42.306N,14:34.344E,280M,AT,Ceska Lipa, Dir: 130/310 Dim: 700/50
17,48:56.502N,14:26.232E,420M,AT,Ceske Budejovice, Dir: 90/270 Dim: 800/30
18,49:12.588N,12:39.402E,380M,AT,Cham Janahof, Dir: 100/280 Dim: 600/30
19,50:44.514N,12:50.232E,360M,AT,Chemnitz Jahns, Dir: 70/250 Dim: 600/30
20,49:58.686N,16:11.382E,266M,AT,Chocen, Dir: 150/330 Dim: 610/80
21,50:28.296N,13:28.692E,330M,AT,Chomutov, Dir: 40/220 Dim: 1200/100
22,49:40.704N,15:41.172E,590M,AT,Chotebor, Dir: 170/350 Dim: 1010/150
23,49:56.136N,15:47.232E,290M,AT,Chrudim, Dir: 61/241 Dim: 980/160
24,48:49.674N,12:52.782E,314M,AT,Deggendorf, Dir: 90/270 Dim: 600/30
25,49:43.734N,17:07.086E,228M,AT,Detrichov, Dir: 140/320 Dim: 500/80
26,48:55.200N,15:18.204E,520M,AT,Dobersberg, Dir: 120/300 Dim: 750/40
27,48:59.814N,18:11.532E,235M,AT,Dubnica, Dir: 50/230 Dim: 1110/80
28,50:24.444N,15:50.646E,290M,AT,Dvur Kralove, Dir: 100/280 Dim: 860/80
29,48:23.418N,12:43.416E,405M,AT,Eggenfelden, Dir: 90/270 Dim: 1200/40
30,49:47.898N,13:02.316E,480M,AT,Erpuzice, Dir: 110/290 Dim: 800/70
31,49:35.376N,18:22.752E,439M,AT,Frydlant, Dir: 80/260 Dim: 800/80
32,48:31.098N,13:20.748E,410M,AT,Furstenzell, Dir: 160/340 Dim: 600/40
33,50:16.170N,18:40.368E,253M,AT,Gliwice, Dir: 80/260 Dim: 770/80
34,50:38.286N,13:07.800E,650M,AT,Grossruckersw, Dir: 100/280 Dim: 1000/50
35,49:35.736N,15:32.952E,450M,AT,Havlickuv Brod, Dir: 110/290 Dim: 1000/50
36,50:39.000N,15:05.154E,410M,AT,Hodkovice, Dir: 10/190 Dim: 980/80
37,49:18.870N,17:34.134E,232M,AT,Holesov, Dir: 110/290 Dim: 1810/80
38,48:48.636N,17:08.064E,156M,AT,Holic, Dir: 40/220 Dim: 1150/80
39,50:21.072N,15:35.226E,280M,AT,Horice, Dir: 130/310 Dim: 800/40
40,49:50.700N,13:53.634E,380M,AT,Horovice, Dir: 65/245 Dim: 1100/30
41,49:02.034N,14:30.156E,480M,AT,Hosin, Dir: 60/240 Dim: 1000/50
42,50:14.826N,15:51.180E,241M,AT,Hradec Kralove, Dir: 166/346 Dim: 800/30
43,49:32.766N,17:42.264E,244M,AT,Hranice, Dir: 50/230 Dim: 740/80
44,50:19.884N,15:57.234E,271M,AT,Jaromer, Dir: 140/320 Dim: 920/80
45,50:53.658N,15:47.136E,340M,AT,Jelenia Gora, Dir: 110/290 Dim: 600/180
46,50:25.500N,15:20.376E,270M,AT,Jicin, Dir: 120/300 Dim: 1000/40
47,49:24.798N,15:38.658E,550M,AT,Jihlava, Dir: 102/282 Dim: 920/160
48,49:08.676N,14:58.638E,500M,AT,Jindrichuv Hrad, Dir: 70/250 Dim: 800/60
49,50:11.886N,12:54.900E,600M,AT,Karlovy Vary, Dir: 110/290 Dim: 1000/30
50,50:06.900N,14:32.616E,280M,AT,Kbely, Dir: 61/241 Dim: 800/30
51,48:14.280N,12:58.614E,350M,AT,Kirchdorf, Dir: 40/220 Dim: 700/50
52,50:06.300N,14:05.796E,430M,AT,Kladno, Dir: 130/310 Dim: 900/150
53,49:24.768N,13:19.614E,400M,AT,Klatovy, Dir: 90/270 Dim: 800/50
54,49:59.814N,15:11.022E,270M,AT,Kolin, Dir: 30/210 Dim: 900/100
