1,37:34.596N,001:14.988W,7M,AT,Mazarrón, Dir: 53/233 Dim: 1300/30
2,36:50.592N,002:22.182W,12M,AT,Almería - LEI, Dir: 74/254 Dim: 2200/45
3,37:08.016N,003:38.142W,680M,AT,Granada, Dir: 1/181 Dim: 1000/45
4,37:08.130N,001:56.160W,139M,AT,Cortijo Grande, Dir: 48/228 Dim: 900/22
5,37:13.482N,001:49.584W,7M,AT,Garrucha, Dir: 90/270 Dim: 715/30
6,37:05.526N,002:16.998W,555M,AT,Tabernas, Dir: 135/315 Dim: 1000/40
7,36:43.854N,003:34.302W,6M,AT,Almunecar, Dir: 113/293 Dim: 1250/30
8,36:44.634N,003:09.798W,6M,AT,La Rabita, Dir: 90/270 Dim: 800/34
9,37:47.172N,003:35.766W,796M,AT,Mancha Real, Dir: 90/270 Dim: 1850/34
10,37:10.446N,003:42.138W,599M,AT,Granada - GRX, Dir: 90/270 Dim: 2350/35
11,37:22.710N,002:08.298W,406M,AT,Albox, Dir: 147/327 Dim: 960/35
12,37:29.130N,002:44.910W,806M,AT,Baza, Dir: 44/224 Dim: 1150/36
13,37:17.754N,001:50.682W,35M,AT,Vera, Dir: 155/335 Dim: 650/29
14,37:43.680N,002:22.542W,966M,AT,Venta Micena, Dir: 82/262 Dim: 1000/36
15,37:26.194N,1:29.073W,0M,T,Cabo Cope,
16,37:23.316N,2:08.414W,430M,T,Albox,
17,36:50.003N,2:27.005W,12M,T,Almería,
18,36:43.233N,2:11.046W,48M,T,Cabo de Gata,
19,36:45.523N,2:06.310W,4M,T,San José,
20,36:43.558N,3:41.421W,10M,T,Almunecar,
21,36:44.569N,3:52.294W,12M,T,Nerja,
22,36:56.274N,1:56.089W,5M,T,Agua Amarga,
23,36:59.597N,1:53.407W,0M,T,Carboneras,
24,37:08.255N,1:51.033W,169M,T,Mojácar,
25,37:09.105N,1:53.450W,32M,T,Turre,
26,37:11.236N,1:58.544W,330M,T,Bédar,
27,37:12.570N,2:04.012W,521M,T,Lubrín,
28,37:21.040N,2:04.295W,301M,T,Arboleas,
29,37:00.041N,3:15.587W,1449M,T,Trevélez,
30,37:03.186N,3:18.413W,3406M,T,Mulhacén,
31,37:18.036N,3:08.032W,920M,T,Guadix,
32,36:49.511N,2:38.372W,294M,T,Vícar,
33,36:52.374N,2:36.085W,675M,T,Enix,
34,36:59.061N,2:38.196W,410M,T,Illar,
35,37:02.191N,2:44.431W,1058M,T,Ohanes,
36,37:10.118N,2:50.186W,920M,T,Finana,
37,37:28.089N,2:04.425W,680M,T,Taberno,
38,37:33.391N,1:48.383W,448M,T,Puerto Lumbreras,
39,37:23.213N,1:56.375W,250M,T,Huercal-Overa,
40,37:40.336N,1:41.552W,324M,T,Lorca,
41,37:46.107N,1:30.038W,245M,T,Totana,
42,37:29.199N,2:46.329W,855M,T,Baza,
43,37:32.296N,2:50.262W,783M,T,Zújar,
44,36:48.425N,2:34.379W,17M,T,Aguadulce,
45,36:43.294N,3:21.350W,49M,T,Castell de Ferro,
46,36:41.545N,3:25.081W,0M,T,Calahonda,
47,37:38.551N,2:04.240W,797M,T,Velez-Rubio,
48,37:41.276N,2:05.467W,982M,T,Velez-Blanco,
49,37:15.391N,1:51.092W,63M,T,Aeroclub Vera,
50,37:14.500N,1:52.071W,72M,T,Vera,
51,37:14.571N,1:47.495W,8M,T,Palomares,
52,37:28.464N,3:02.352W,851M,T,Gorafe,
53,37:22.112N,2:58.116W,1253M,T,Gor,
54,37:17.389N,2:57.205W,1408M,T,Charches,
55,37:08.314N,2:46.428W,836M,T,Abla,
56,37:07.057N,2:32.257W,728M,T,Gérgal,
57,36:57.094N,2:29.300W,157M,T,Gádor,
58,36:54.599N,2:26.235W,92M,T,Pechina,
59,36:44.576N,3:00.547W,7M,T,Adra,
60,36:44.543N,2:54.204W,0M,T,Balanegra,
61,36:41.595N,2:47.156W,0M,T,Almerimar,
62,36:45.476N,2:36.578W,13M,T,Roquetas del Mar,
63,37:05.526N,2:07.263W,342M,T,Sorbas,
64,37:10.061N,1:56.246W,107M,T,Los Gallardos,
65,37:21.005N,1:58.301W,193M,T,Overa,
66,37:20.459N,2:08.447W,323M,T,Almanzora,
67,37:21.351N,2:15.484W,428M,T,Fines,
68,37:21.186N,2:17.484W,456M,T,Olula del Río,
69,37:19.558N,2:18.146W,580M,T,Macael,
70,37:20.500N,2:21.371W,590M,T,Purchena,
71,37:20.417N,2:26.170W,739M,T,Tíjola,
72,37:26.135N,2:43.270W,912M,T,Caniles,
73,36:47.102N,3:36.278W,240M,T,Molvizar,
74,36:59.167N,3:33.585W,797M,T,Durcal,
75,37:01.274N,3:37.359W,745M,T,Padul,
76,37:04.298N,3:36.057W,880M,T,Dílar,
77,37:06.274N,3:38.440W,744M,T,Alhendín,
78,37:05.352N,3:23.394W,2328M,T,Monachil,
79,37:13.503N,3:14.274W,1240M,T,Lugros,
80,37:15.274N,3:13.556W,1134M,T,Polícar,
81,37:19.029N,3:11.249W,905M,T,Purullena,
82,37:21.009N,3:10.084W,849M,T,Benalúa,
83,37:45.406N,2:54.266W,970M,T,La Bolera,
84,37:54.381N,3:00.078W,1027M,T,Cazorla,
85,37:48.335N,2:32.228W,921M,T,Huéscar,
86,37:44.342N,2:33.043W,901M,T,Galera,
87,37:43.569N,2:23.207W,1002M,T,Venta Micena,
88,37:17.052N,3:45.432W,596M,T,Bucor,
89,37:19.143N,3:47.134W,708M,T,Tiena,
90,37:22.090N,3:46.352W,910M,T,Tózar,
91,37:23.031N,3:46.506W,996M,T,Limones,
92,37:37.489N,3:44.039W,899M,T,El Parrizoso,
93,37:41.245N,3:42.221W,879M,T,Puerto Alto,
94,37:45.004N,3:45.115W,405M,T,El Peral,
95,37:44.161N,3:39.034W,738M,T,Pegalajar,
96,37:45.560N,3:47.221W,544M,T,Jaén,
97,37:42.167N,2:56.041W,849M,T,Pozo Alcón,
98,37:35.506N,3:12.093W,879M,T,El Penón,
99,37:38.539N,3:27.159W,1005M,T,Huelma,
100,37:27.036N,3:30.289W,927M,T,Terre,
101,37:26.362N,3:36.260W,1055M,T,Onítar,
102,37:21.324N,3:32.575W,942M,T,Barcinas,
103,37:15.306N,3:34.405W,1025M,T,Nívar,
104,37:19.220N,3:27.089W,1400M,T,Prado Negro,
