1,47:32.100N,014:08.382E,635M,AT,Aigen, Dir: 90/270 Dim: 700/30
2,47:33.300N,010:16.368E,725M,AT,Agathazell, Dir: 180/360 Dim: 800/10
3,47:50.136N,010:52.266E,741M,AT,Altenstadt, Dir: 90/270 Dim: 680/30
4,47:57.750N,011:59.784E,489M,AT,Antersberg, Dir: 130/310 Dim: 970/30
5,47:55.614N,012:17.220E,514M,AT,Bad Endorf, Dir: 160/340 Dim: 830/30
6,47:00.900N,009:28.920E,494M,AT,Bad Ragaz, Dir: 120/300 Dim: 500/30
7,47:42.948N,011:23.436E,607M,AT,Benediktbeuren, Dir: 90/270 Dim: 700/30
8,46:27.648N,011:19.584E,241M,AT,Bozen, Dir: 10/190 Dim: 600/50
9,46:14.736N,015:13.398E,254M,AT,Celje, Dir: 110/290 Dim: 700/30
10,46:24.198N,012:53.016E,390M,AT,Enemonzo, Dir: 80/260 Dim: 600/30
11,47:37.470N,011:11.034E,628M,AT,Eschenlohe, Dir: 170/350 Dim: 600/30
12,46:42.516N,014:04.584E,521M,AT,Feldkirchen, Dir: 40/220 Dim: 590/30
13,47:40.284N,009:30.684E,418M,AT,Friedrichshafen, Dir: 60/240 Dim: 600/60
14,46:55.650N,014:25.920E,616M,AT,Friesach Hirth, Dir: 170/350 Dim: 710/30
15,47:03.714N,016:05.070E,253M,AT,Fuerstenfeld, Dir: 130/310 Dim: 680/40
16,47:34.998N,010:41.448E,787M,AT,Fuessen, Dir: 80/260 Dim: 1030/30
17,47:40.770N,011:57.732E,810M,AT,Geitau, Dir: 160/340 Dim: 550/30
18,47:57.048N,013:51.900E,509M,AT,Gmunden, Dir: 80/260 Dim: 560/30
19,46:59.586N,015:26.352E,341M,AT,Graz, Dir: 170/350 Dim: 600/40
20,47:45.936N,011:35.700E,717M,AT,Greiling, Dir: 30/210 Dim: 1250/40
21,47:23.082N,009:42.030E,412M,AT,Hohenems, Dir: 50/230 Dim: 620/30
22,47:15.618N,011:20.634E,579M,AT,Innsbruck, Dir: 80/260 Dim: 600/50
23,47:42.030N,010:01.200E,687M,AT,Isny Rotmoos, Dir: 80/260 Dim: 450/40
24,47:27.450N,015:19.866E,515M,AT,Kapfenberg, Dir: 70/250 Dim: 590/30
25,47:51.732N,010:36.882E,718M,AT,Kaufbeuren, Dir: 20/200 Dim: 600/50
26,47:41.568N,010:20.298E,713M,AT,Kempten, Dir: 170/350 Dim: 890/40
27,47:49.716N,011:27.900E,601M,AT,Koenigsdorf, Dir: 100/280 Dim: 740/40
28,47:33.720N,012:07.650E,485M,AT,Kufstein, Dir: 60/240 Dim: 800/30
29,47:33.402N,015:19.314E,786M,AT,Lanzen Turnau, Dir: 70/250 Dim: 680/30
30,46:21.468N,014:10.464E,504M,AT,Lesce, Dir: 130/310 Dim: 600/40
31,47:51.534N,010:00.864E,640M,AT,Leutkirch, Dir: 60/240 Dim: 1010/50
32,46:47.880N,012:52.698E,637M,AT,Lienz Nikolsdorf, Dir: 120/300 Dim: 620/30
33,47:47.370N,015:18.018E,860M,AT,Mariazell, Dir: 150/330 Dim: 500/30
34,46:28.800N,015:41.166E,268M,AT,Maribor, Dir: 150/330 Dim: 600/50
35,47:42.564N,009:23.400E,419M,AT,Markdorf, Dir: 130/310 Dim: 700/30
36,47:07.914N,013:41.766E,1110M,AT,Mauterndorf, Dir: 70/250 Dim: 800/30
37,47:28.716N,014:00.468E,652M,AT,Niederoeblarn, Dir: 40/220 Dim: 710/30
38,46:34.836N,013:38.178E,549M,AT,Noetsch, Dir: 100/280 Dim: 710/30
39,47:50.952N,011:03.714E,610M,AT,Paterzell, Dir: 180/360 Dim: 800/40
40,46:25.668N,015:59.034E,213M,AT,Ptuij, Dir: 110/290 Dim: 620/30
41,47:28.218N,010:41.532E,854M,AT,Reutte Hoefen, Dir: 50/230 Dim: 500/30
42,46:14.184N,013:04.386E,165M,AT,Rivoli, Dir: 20/200 Dim: 500/30
43,47:47.670N,013:00.198E,430M,AT,Salzburg, Dir: 160/340 Dim: 600/60
44,46:32.070N,009:53.034E,1707M,AT,Samedan, Dir: 30/210 Dim: 600/40
45,47:53.886N,013:56.316E,537M,AT,Scharnstein, Dir: 50/230 Dim: 610/30
46,46:28.320N,015:07.182E,500M,AT,Slovenj Gradec, Dir: 140/320 Dim: 600/40
47,46:09.252N,009:47.880E,274M,AT,Sondrio Caiolo, Dir: 80/260 Dim: 1050/40
48,47:29.100N,009:33.714E,400M,AT,St.Gallen, Dir: 100/280 Dim: 1500/40
49,47:31.230N,012:26.964E,671M,AT,St.Johann, Dir: 130/310 Dim: 740/40
50,46:53.220N,011:26.430E,927M,AT,Sterzing, Dir: 140/320 Dim: 930/40
51,47:22.782N,014:57.852E,628M,AT,Timmersdorf, Dir: 120/300 Dim: 620/40
52,46:43.632N,012:13.632E,1240M,AT,Toblach Mil, Dir: 100/280 Dim: 500/40
53,47:29.616N,014:29.802E,695M,AT,Trieben, Dir: 110/290 Dim: 770/40
54,47:43.794N,012:26.286E,555M,AT,Unterwoessen, Dir: 63/243 Dim: 800/40
55,47:56.766N,012:12.282E,466M,AT,Vogtareuth, Dir: 60/240 Dim: 500/40
56,47:45.300N,009:51.480E,642M,AT,Wangen Kissleg, Dir: 120/300 Dim: 1100/40
57,47:10.218N,015:39.852E,396M,AT,Weiz, Dir: 180/360 Dim: 430/40
58,47:36.018N,009:44.520E,520M,AT,Wildberg, Dir: 30/210 Dim: 370/30
59,46:49.068N,014:49.536E,445M,AT,Wolfsberg, Dir: 10/190 Dim: 680/30
60,47:17.484N,012:47.436E,753M,AT,Zell Am See, Dir: 80/260 Dim: 650/30
61,47:12.216N,014:44.748E,677M,AT,Zeltweg, Dir: 80/260 Dim: 600/60
62,47:45.084N,016:06.006E,357M,AT,Wiener Neustadt, Dir: 50/230 Dim: 700/30
63,47:23.800N,11:45.767E,809M,T,ABFLUGACHENSEE,
64,47:19.167N,11:11.000E,1319M,T,ABFLUGSEEFELD,
65,47:32.240N,11:42.400E,899M,T,ACHENKIRCH NORD,
66,47:30.820N,11:42.120E,935M,T,ACHENKIRCH SUED,
67,47:26.000N,11:43.800E,933M,T,ACHENSEE,
68,47:33.650N,11:40.400E,857M,T,ACHENWALD,
69,47:35.067N,14:27.067E,634M,T,ADMONT,
70,47:33.367N,10:16.333E,725M,T,AGATHAZELLR MOOS,
71,46:16.730N,12:01.830E,572M,T,AGORDO,
72,47:25.100N,13:48.600E,691M,T,AICH,
73,47:25.517N,13:51.600E,749M,T,AICH ASSACH,
