1,54:41.850N,002:34.980W,183M,AT,Eden, Dir: 140/320 Dim: 850/50
2,54:13.584N,001:12.750W,277M,AT,Sutton Bank, Dir: 83/263 Dim: 500/60
3,54:12.240N,001:22.968W,25M,AT,Topcliffe, Dir: 20/200 Dim: 1000/90
4,54:12.666N,001:17.460W,55M,AT,Bagby, Dir: 57/237 Dim: 650/50
5,54:24.680N,001:11.940W,376M,AT,Carlton Moor, Dir: 133/313 Dim: 600/60
6,54:41.178N,001:27.600W,110M,AT,Fishburn, Dir: 76/256 Dim: 600/60
7,54:08.197N,001:25.110W,30M,AT,Dishforth, Dir: 148/328 Dim: 1200/80
8,54:56.310N,002:48.540W,46M,AT,Carlisle, Dir: 59/239 Dim: 1000/90
9,54:17.077N,002:41.018W,110M,AT,Bleese Hall, Dir: 50/230 Dim: 600/60
10,54:17.544N,001:32.100W,36M,AT,Leeming, Dir: 153/333 Dim: 1500/90
11,54:45.912N,001:22.962W,0M,AT,Peterlee, Dir: 130/310 Dim: 600/50
12,54:52.896N,003:12.390W,0M,AT,Kirkbride, Dir: 90/270 Dim: 800/60
13,54:21.984N,001:37.050W,50M,AT,Catterick, Dir: 90/270 Dim: 900/50
14,54:54.558N,003:16.794W,0M,AT,Athorn, Dir: 143/323 Dim: 900/50
15,54:12.126N,003:19.326W,0M,AT,Millom, Dir: 67/247 Dim: 800/50
16,54:38.718N,003:22.410W,95M,AT,Cockermouth, Dir: 90/270 Dim: 600/70
17,54:48.576N,2:26.547W,276M,T,Alston,
18,54:25.594N,2:58.150W,46M,T,Ambleside,
19,54:35.272N,2:29.940W,159M,T,Appleby,
20,54:45.549N,3:19.904W,52M,T,Aspatria,
21,54:32.555N,1:55.676W,142M,T,Barnard Castle,
22,54:40.429N,3:11.957W,89M,T,Bassenthwaite La,
23,54:40.094N,3:14.692W,74M,T,Bassenthwaite La,
24,54:40.027N,1:41.002W,83M,T,Bishop Auckland,
25,54:50.824N,2:03.240W,241M,T,Blanchland,
26,54:16.710N,3:22.279W,21M,T,Bootle,
27,54:39.146N,1:30.734W,81M,T,Bradbury,
28,54:31.485N,2:19.113W,179M,T,Brough,
29,54:16.656N,3:12.702W,25M,T,Broughton-in-Fur,
30,54:44.610N,2:14.276W,396M,T,Burnhope Reservo,
31,54:32.460N,3:16.601W,118M,T,Buttermere,
32,54:53.709N,2:53.210W,26M,T,Carlisle,
33,54:53.250N,2:42.743W,160M,T,Castle Carrock D,
34,54:23.166N,1:39.285W,73M,T,Catterick,
35,54:38.931N,3:20.542W,94M,T,Cockermouth,
36,54:22.148N,3:04.552W,62M,T,Coniston,
37,54:50.873N,2:58.848W,44M,T,Dalston,
38,54:31.405N,1:37.185W,51M,T,Darlington,
39,54:51.622N,1:57.344W,224M,T,Derwent,
