1,48:31.998N,9:25.998E,700M,AT,Grabenstetten, Dir: 120/300 Dim: 1100/30
2,48:31.002N,9:19.980E,790M,AT,Rossfeld, Dir: 70/250 Dim: 280/20
3,47:54.000N,7:37.002E,212M,AT,Bremgarten, Dir: 50/230 Dim: 1650/45
4,47:40.002N,9:30.000E,402M,AT,Friedrichshafen, Dir: 60/240 Dim: 2000/50
5,47:40.800N,9:07.998E,393M,AT,Konstanz, Dir: 107/287 Dim: 800/0
6,47:39.190N,10:18.798E,705M,AT,Kempten, Dir: 70/250 Dim: 1000/30
7,48:00.000N,10:06.000E,580M,AT,Tannheim, Dir: 90/270 Dim: 1000/50
8,48:37.860N,9:25.860E,351M,AT,Hahnweide, Dir: 130/310 Dim: 500/60
9,48:23.190N,9:04.380E,800M,AT,Farrenberg, Dir: 120/300 Dim: 200/30
10,49:28.002N,8:30.000E,94M,AT,Mannheim, Dir: 90/270 Dim: 1066/25
11,48:01.002N,7:49.998E,250M,AT,Freiburg, Dir: 160/340 Dim: 990/30
12,49:41.580N,9:11.382E,425M,AT,Mainbullau, Dir: 50/230 Dim: 750/20
13,49:30.000N,10:22.002E,370M,AT,Bad Windsheim, Dir: 80/260 Dim: 700/20
14,47:33.300N,10:16.368E,725M,AT,Agathazell, Dir: 180/360 Dim: 1200/50
15,47:44.346N,7:26.088E,242M,AT,Mulhouse, Dir: 22/202 Dim: 1120/80
16,48:14.000N,10:07.218E,512M,AT,Illertissen, Dir: 80/260 Dim: 600/30
17,48:10.002N,10:42.000E,550M,AT,Schwabmünchen, Dir: 80/260 Dim: 850/30
18,49:21.600N,10:40.002E,418M,AT,Ansbach, Dir: 90/270 Dim: 800/30
19,48:42.000N,10:51.000E,400M,AT,Donauwörth, Dir: 90/270 Dim: 600/15
20,48:33.000N,7:49.998E,138M,AT,Kehl, Dir: 40/220 Dim: 700/30
21,49:07.002N,9:46.002E,390M,AT,Schäbisch Hall, Dir: 100/280 Dim: 750/30
22,49:19.008N,8:31.002E,95M,AT,Hockenheim, Dir: 140/320 Dim: 800/30
23,49:07.998N,8:33.210E,111M,AT,Bruchsal, Dir: 120/300 Dim: 600/30
24,48:06.360N,8:45.900E,960M,AT,Klippeneck, Dir: 50/230 Dim: 1000/30
25,48:03.000N,9:22.002E,600M,AT,Mengen, Dir: 80/260 Dim: 1200/30
26,47:58.002N,8:31.002E,673M,AT,Donaueschingen, Dir: 180/360 Dim: 1200/20
27,49:16.002N,7:29.520E,352M,AT,Pirmasens, Dir: 50/230 Dim: 1000/20
28,48:57.000N,10:13.998E,500M,AT,Ellwangen, Dir: 120/300 Dim: 1000/30
29,48:46.002N,10:15.000E,560M,AT,Aalen, Dir: 90/270 Dim: 950/30
30,49:13.002N,9:25.002E,230M,AT,Baumerlenbach, Dir: 80/260 Dim: 1100/30
31,48:16.500N,8:25.998E,680M,AT,Winzeln, Dir: 130/310 Dim: 710/20
32,48:38.017N,9:33.117E,399M,T,001AP1 Aichelber,
33,48:29.567N,9:23.983E,464M,T,002AP2 Bad Urach,
34,48:31.750N,9:20.767E,397M,T,003AP3 Dettingen,
35,48:37.417N,9:26.733E,358M,T,004AP4 Hahnweide,
