1,26:40.974N,088:19.704E,146M,AT,Baghdogra, Dir: 1/181 Dim: 3000/40
2,27:37.734N,086:13.786E,1865M,AT,Jiri, Dir: 170/350 Dim: 900/20
3,27:15.108N,086:40.314E,1220M,AT,Lamidanda, Dir: 85/265 Dim: 550/20
4,27:41.268N,086:43.734E,2821M,AT,Lukla, Dir: 60/240 Dim: 400/30
5,27:31.146N,086:35.082E,2430M,AT,Phaplu, Dir: 25/205 Dim: 650/20
6,27:18.954N,087:11.628E,335M,AT,Dingla, Dir: 160/340 Dim: 1000/30
7,27:18.126N,086:33.024E,1359M,AT,Rumrajtar, Dir: 170/350 Dim: 600/20
8,27:41.766N,085:21.378E,1338M,AT,Tribhuvan, Dir: 22/202 Dim: 2000/50
9,28:12.066N,085:34.992E,3829M,AT,Langtang, Dir: 120/300 Dim: 600/20
10,27:08.843N,087:03.073E,1212M,AT,Bhojpur, Dir: 150/330 Dim: 600/20
11,27:21.055N,087:41.729E,600M,AT,Taplejung, Dir: 70/250 Dim: 600/20
12,28:00.000N,085:19.980E,2800M,AT,Mountain, Dir: 30/210 Dim: 600/20
13,26:42.630N,085:55.338E,73M,AT,Janakpur, Dir: 93/273 Dim: 1000/40
14,26:30.630N,086:44.322E,79M,AT,Rarbiraj, Dir: 114/294 Dim: 1000/40
15,28:34.002N,087:29.526E,4192M,AT,Dengmecuo, Dir: 170/350 Dim: 800/50
16,27:48.708N,086:42.732E,3800M,AT,Shyangboche, Dir: 135/315 Dim: 600/20
17,27:24.287N,089:25.443E,2238M,AT,Paro, Dir: 150/330 Dim: 1500/50
18,27:32.472N,089:38.736E,2440M,AT,Thimpu, Dir: 180/360 Dim: 600/20
19,26:42.198N,089:22.266E,110M,AT,Hasimara, Dir: 110/290 Dim: 2700/50
20,26:19.956N,089:28.038E,46M,AT,Cooch Behar, Dir: 45/225 Dim: 1000/50
21,26:08.664N,089:54.504E,43M,AT,Rupsi, Dir: 50/230 Dim: 1000/50
22,28:54.065N,089:31.993E,4029M,AT,Xiama, Dir: 65/245 Dim: 1400/50
23,28:38.334N,087:10.692E,4336M,AT,Baiba, Dir: 20/200 Dim: 400/20
24,26:34.356N,088:04.806E,95M,AT,Chandragadhi, Dir: 100/280 Dim: 1000/50
25,26:29.070N,087:15.762E,76M,AT,Biratnagar, Dir: 92/272 Dim: 1000/50
