1,46:14.736N,020:05.784E,75M,AT,Szeged, Dir: 170/350 Dim: 800/30
2,47:26.544N,019:14.148E,130M,AT,Ferihegy I, Dir: 133/313 Dim: 3000/60
3,47:26.184N,019:16.632E,136M,AT,Ferihegy II, Dir: 133/313 Dim: 3700/40
4,47:20.844N,018:58.896E,101M,AT,Tököl  MIL, Dir: 143/323 Dim: 2500/30
5,47:34.422N,019:20.334E,208M,AT,Gödöllõ, Dir: 128/308 Dim: 1400/30
6,47:45.606N,018:43.620E,111M,AT,Esztergom, Dir: 18/198 Dim: 1000/30
7,47:37.428N,017:47.298E,130M,AT,Pér (Gyõr), Dir: 120/300 Dim: 700/30
8,46:41.088N,021:10.020E,90M,AT,Békéscsaba, Dir: 175/355 Dim: 800/30
9,47:27.144N,018:58.794E,125M,AT,Budaörs, Dir: 98/278 Dim: 800/40
10,47:21.018N,018:25.626E,149M,AT,Csákvár MIL, Dir: 42/222 Dim: 2000/30
11,47:29.256N,021:36.156E,109M,AT,Debrecen, Dir: 48/228 Dim: 800/30
12,46:54.042N,018:54.942E,123M,AT,Dunaújváros, Dir: 145/325 Dim: 950/60
13,47:29.310N,018:54.810E,215M,AT,Farkashegy, Dir: 150/330 Dim: 1000/30
14,47:48.834N,019:58.956E,389M,AT,Pipishegy, Dir: 145/325 Dim: 400/40
15,47:27.534N,021:22.962E,90M,AT,Hajduszoboszló, Dir: 40/220 Dim: 1200/30
16,46:45.426N,019:36.468E,110M,AT,Jakabszállás, Dir: 149/329 Dim: 400/30
17,46:33.300N,018:56.754E,100M,AT,Kalocsa Foktõ, Dir: 177/357 Dim: 2400/30
18,47:30.846N,018:19.242E,167M,AT,Kecskéd, Dir: 150/330 Dim: 800/30
19,46:55.470N,019:45.162E,110M,AT,Kecskemét MIL, Dir: 123/303 Dim: 2560/30
20,46:44.526N,019:53.700E,97M,AT,Kiskunfélegyháza, Dir: 100/280 Dim: 800/30
21,47:48.720N,020:25.338E,158M,AT,Maklár, Dir: 165/345 Dim: 1000/30
22,46:48.576N,019:41.178E,112M,AT,Matkópuszta, Dir: 134/314 Dim: 1400/30
23,46:18.156N,018:46.254E,86M,AT,Õcsény, Dir: 175/355 Dim: 1300/30
24,47:21.138N,017:29.598E,143M,AT,Pápa MIL, Dir: 165/345 Dim: 2400/60
25,46:51.360N,018:05.526E,127M,AT,Siófok Kiliti, Dir: 151/331 Dim: 1990/30
26,47:04.392N,017:57.564E,288M,AT,B-Szentkirály MIL, Dir: 160/340 Dim: 2000/60
27,46:23.376N,017:54.408E,147M,AT,Tasszár MIL, Dir: 168/348 Dim: 2510/60
28,47:07.590N,018:29.898E,125M,AT,Börgönd, Dir: 10/190 Dim: 1000/40
29,46:23.130N,017:43.290E,145M,AT,Kaposújlak, Dir: 172/352 Dim: 820/30
30,47:07.608N,020:14.346E,92M,AT,Szolnok MIL, Dir: 22/202 Dim: 1980/30
31,47:08.820N,020:12.018E,80M,AT,Szolnok GLD, Dir: 15/195 Dim: 1500/40
32,47:33.204N,018:58.464E,291M,AT,HHH/A, Dir: 128/308 Dim: 1150/30
33,47:48.966N,020:38.022E,107M,AT,Mezõkövesd MIL, Dir: 50/230 Dim: 3400/60
34,47:23.208N,018:45.396E,100M,AT,Gyúró, Dir: 156/336 Dim: 1000/40
35,47:54.384N,020:24.306E,0M,AT,Eger, Dir: 155/335 Dim: 600/30
36,47:37.050N,019:08.598E,124M,AT,Dunakeszi, Dir: 115/295 Dim: 400/30
37,47:58.812N,021:40.614E,105M,AT,Nyiregyháza, Dir: 10/190 Dim: 980/30
