1,41:47.234N,111:51.441W,1355M,AT,Logan-Cache, Dir: 123/303 Dim: 1480/50
2,41:08.933N,111:46.000W,1522M,AT,Morgan, Dir: 47/227 Dim: 1150/40
3,40:28.914N,111:25.708W,1710M,AT,Heber, Dir: 50/230 Dim: 2100/50
4,40:21.540N,112:01.086W,1522M,AT,CedarValley, Dir: 6/186 Dim: 1200/50
5,43:44.550N,111:05.850W,1899M,AT,Driggs, Dir: 48/228 Dim: 2225/50
6,42:14.033N,113:52.650W,1417M,AT,Oakley, Dir: 2/182 Dim: 1160/50
7,40:43.134N,114:01.770W,1291M,AT,Wendover, Dir: 92/272 Dim: 2440/50
8,40:26.354N,109:30.631W,1605M,AT,Vernal, Dir: 178/358 Dim: 1890/50
9,41:23.502N,110:24.390W,2144M,AT,FtBridger, Dir: 54/234 Dim: 1951/50
10,42:42.798N,110:56.533W,1885M,AT,Afton, Dir: 180/360 Dim: 2141/50
11,42:47.733N,109:48.433W,2155M,AT,Pinedale, Dir: 123/303 Dim: 2140/50
12,43:36.217N,113:20.050W,1624M,AT,Arco-Butte, Dir: 72/252 Dim: 2012/50
13,42:47.833N,112:49.517W,1347M,AT,AmericanFalls, Dir: 53/233 Dim: 1494/50
14,41:33.150N,112:03.733W,1288M,AT,BrighamCity, Dir: 180/360 Dim: 2286/50
15,41:16.488N,111:01.920W,2168M,AT,Evanston, Dir: 67/247 Dim: 2225/50
16,43:32.900N,109:41.417W,2220M,AT,Dubois, Dir: 116/296 Dim: 1859/50
17,42:38.844N,111:34.944W,1779M,AT,SodaSprings, Dir: 172/352 Dim: 970/50
18,42:15.066N,111:20.274W,1806M,AT,BearLake, Dir: 115/295 Dim: 1747/50
19,41:49.307N,110:33.450W,2220M,AT,Kemerrer, Dir: 173/353 Dim: 2350/50
20,43:10.884N,111:02.307W,1717M,AT,Alpine, Dir: 143/323 Dim: 1783/50
21,42:10.233N,112:17.350W,1368M,AT,MaladCity, Dir: 1/181 Dim: 1509/50
22,43:30.276N,114:17.742W,1615M,AT,Hailey, Dir: 147/327 Dim: 2200/50
23,43:12.558N,112:20.946W,1366M,AT,Blackfoot, Dir: 25/205 Dim: 1315/40
24,40:59.167N,109:40.717W,1870M,AT,Manila, Dir: 89/269 Dim: 1615/50
25,42:06.417N,111:54.750W,1437M,AT,Preston, Dir: 49/229 Dim: 1054/50
26,43:36.433N,110:44.267W,1950M,AT,JacksonHole, Dir: 19/199 Dim: 1950/50
27,41:48.683N,111:47.550W,1598M,T,01N Start,
28,41:47.683N,112:00.583W,1597M,T,02W Start,
29,41:43.000N,111:47.683W,1541M,T,03S Start,
30,41:47.200N,111:51.583W,1355M,T,04Finish,
31,42:42.667N,110:56.533W,1885M,T,10Afton,
32,42:23.867N,113:33.450W,1458M,T,11Albion,
33,42:38.917N,111:34.900W,1779M,T,12Allen H Tigert,
34,43:11.083N,111:02.550W,1717M,T,13Alpine,
35,42:49.017N,110:16.700W,2275M,T,15Antelope Run,
36,43:21.767N,111:05.683W,2925M,T,16Baird Mountain,
37,42:43.250N,111:52.050W,1656M,T,17Bancroft,
38,42:14.983N,111:20.500W,1806M,T,18Bear Lake,
39,42:35.100N,110:06.667W,2125M,T,19Big Piney-Marb,
40,42:07.217N,113:07.250W,2785M,T,20Black Pine Pea,
41,43:12.550N,112:20.983W,1366M,T,21Blackfoot,
42,42:12.783N,111:02.567W,1860M,T,22Boarder Juncti,
43,43:12.367N,110:24.733W,2011M,T,23Bondurant,
44,42:45.783N,112:08.450W,2770M,T,24Bonneville Pea,
45,42:11.100N,113:39.667W,3064M,T,26Cache Peak,
46,43:05.767N,111:18.783W,2865M,T,27Caribou Mounta,
