1,45:47.244N,003:09.702E,325M,AT,Clermont-Ferrand, Dir: 86/266 Dim: 900/45
2,45:32.064N,002:25.488E,735M,AT,Ussel, Dir: 100/280 Dim: 650/83
3,45:30.882N,003:16.098E,374M,AT,Issoire, Dir: 180/360 Dim: 865/80
4,45:30.966N,003:44.556E,555M,AT,Ambert, Dir: 10/190 Dim: 720/80
5,45:32.022N,004:17.766E,401M,AT,St-Etienne, Dir: 178/358 Dim: 1000/45
6,45:29.490N,004:31.986E,394M,AT,St-Chamond, Dir: 101/281 Dim: 700/90
7,45:19.344N,003:21.696E,450M,AT,Brioude, Dir: 150/330 Dim: 970/80
8,45:04.632N,002:59.622E,975M,AT,St-Flour, Dir: 13/193 Dim: 1000/20
9,45:04.668N,003:45.900E,829M,AT,Le_Puy, Dir: 150/330 Dim: 700/60
10,44:53.538N,002:25.182E,631M,AT,Aurillac, Dir: 150/330 Dim: 1000/30
11,44:24.300N,002:29.244E,575M,AT,Rodez, Dir: 132/312 Dim: 630/85
12,44:30.216N,003:31.674E,1018M,AT,Mende, Dir: 130/310 Dim: 1000/30
13,44:32.484N,004:22.416E,265M,AT,Aubenas, Dir: 10/190 Dim: 1000/30
14,44:10.932N,002:30.780E,614M,AT,Cassagnes, Dir: 100/280 Dim: 1000/20
15,43:59.352N,003:10.998E,789M,AT,Millau, Dir: 140/320 Dim: 1000/30
16,44:04.416N,004:08.382E,155M,AT,Ales, Dir: 20/200 Dim: 1000/30
17,43:49.464N,002:44.802E,507M,AT,St-Afrique, Dir: 120/300 Dim: 1000/60
18,43:45.450N,004:24.984E,92M,AT,Nimes_Garons, Dir: 180/360 Dim: 1000/45
19,44:42.294N,003:53.352E,1022M,AT,Langogne_Lespero, Dir: 40/220 Dim: 890/50
20,44:45.918N,002:47.298E,930M,AT,Graissac_Faula, Dir: 130/310 Dim: 700/60
21,43:48.048N,003:46.920E,178M,AT,St_Martin_de_Lon, Dir: 120/300 Dim: 590/60
22,44:34.050N,4:35.350E,207M,T,Alba La Romaine,
23,44:46.967N,3:23.283E,962M,T,Alban Sur Limagn,
24,44:04.416N,4:08.382E,155M,T,Ales DeauX,
25,44:07.683N,4:05.133E,137M,T,Ales Gare Sncf,
26,45:12.183N,3:42.567E,1086M,T,Allegre Chateau,
27,45:30.396N,3:44.556E,555M,T,Ambert Le Poyet,
28,45:15.650N,4:42.300E,442M,T,Annonay Intersec,
29,45:50.317N,4:37.083E,269M,T,Arbresle L Centr,
30,45:21.900N,3:18.650E,424M,T,Arvant Gare Sncf,
31,44:32.484N,4:22.416E,265M,T,Aubenas Ardeche,
32,44:43.483N,3:17.267E,1042M,T,Aumont D Aubrac,
33,44:53.358N,2:25.182E,631M,T,Aurillac,
34,44:09.733N,4:37.617E,50M,T,Bagnols Ceze Gar,
35,44:30.533N,3:39.700E,909M,T,Bagnols Les Bain,
36,44:19.083N,4:21.033E,173M,T,Barjac Carrefour,
37,44:57.167N,3:40.150E,827M,T,Barrage Monistro,
38,43:38.450N,3:08.700E,369M,T,BedarieuX,
39,43:36.467N,3:08.817E,226M,T,BedarieuX Gare S,
40,45:44.633N,4:00.350E,405M,T,Boen Gare,
41,44:16.633N,4:45.500E,76M,T,Bollene Rond Poi,
42,45:17.500N,3:22.817E,455M,T,Brioude Basiliqu,
43,45:19.344N,3:21.696E,425M,T,Brioude Beaumont,
44,45:16.217N,3:24.233E,458M,T,Brioude Vieille,
45,44:10.932N,2:30.780E,614M,T,Cassagnes Begonh,
46,43:48.350N,3:38.800E,244M,T,Causse De La Sel,
47,44:38.783N,4:43.817E,377M,T,Chabottes,
48,44:18.400N,3:59.333E,304M,T,Chamborigaud Via,
49,45:28.800N,4:30.950E,370M,T,Chamond Saint Ce,
50,45:22.667N,3:29.067E,889M,T,Champagnac Le Vi,
51,44:50.100N,3:43.950E,861M,T,ChapeaurouX,
52,45:38.267N,4:23.483E,615M,T,Chazelles Sur Ly,
53,45:47.244N,3:09.702E,325M,T,Clermont Ferrand,
54,45:45.417N,3:32.517E,321M,T,Courpiere Centre,
55,45:19.950N,3:50.933E,933M,T,Craponne Gare,
56,44:56.883N,3:06.233E,821M,T,D Alleuze Chatea,
57,45:08.983N,3:34.967E,743M,T,De Chavagnac La,
58,45:16.733N,3:30.467E,658M,T,De Domeyrat Chat,
