1,40:40.818N,077:37.554W,238M,AT,Mifflin, Dir: 50/230 Dim: 1525/60
2,40:53.016N,077:54.486W,249M,AT,Keystone, Dir: 55/235 Dim: 1250/60
3,39:45.162N,077:20.796W,165M,AT,Fairfield, Dir: 144/324 Dim: 1130/60
4,38:55.052N,078:15.211W,214M,AT,Front Royal, Dir: 90/270 Dim: 1170/60
5,39:36.925N,078:45.652W,225M,AT,Cumberland, Dir: 50/230 Dim: 1500/60
6,40:24.130N,77:33.200W,206M,T,01 HoneyGrov,
7,40:14.450N,77:53.820W,191M,T,02 Orbisonia,
8,40:40.573N,77:37.713W,238M,T,03 Mifflin,
9,40:34.766N,77:43.588W,277M,T,04 Bellevill,
10,40:35.846N,77:24.643W,143M,T,05 Mifflntwn,
11,40:53.294N,77:36.429W,374M,T,06 PennsCave,
12,40:52.870N,77:54.710W,249M,T,07 KeystonGP,
13,40:46.100N,77:16.000W,197M,T,08 Saw Mill,
14,40:25.829N,77:53.120W,672M,T,09 MillCreek,
15,40:53.922N,77:21.366W,349M,T,10 Woodward,
16,40:25.117N,78:00.272W,245M,T,11 RaystwnDm,
17,40:36.042N,78:07.721W,256M,T,12 SprcCrkTn,
18,40:52.666N,78:05.666W,566M,T,13 Mid State,
19,41:08.118N,77:25.750W,171M,T,14 LockHaven,
20,40:24.100N,77:00.633W,108M,T,15 ClarksFrr,
21,40:08.283N,77:40.350W,331M,T,16 TrnpkTnnl,
22,40:30.400N,78:20.100W,559M,T,17 KttlRsrvr,
23,40:48.933N,76:51.700W,131M,T,18 Selngsgrv,
24,40:16.566N,77:16.766W,458M,T,19 WaggnrsGp,
25,40:17.316N,78:19.400W,459M,T,20 BlairCont,
26,41:13.112N,77:07.003W,170M,T,21 NisbetBrg,
27,39:55.951N,77:59.966W,265M,T,22 McCnnllsb,
28,40:50.143N,76:33.510W,244M,T,23 Nrthmbrln,
29,39:59.115N,78:14.611W,398M,T,24 Brzwdntrc,
30,40:05.328N,78:31.081W,344M,T,25 BedfordNw,
31,40:42.400N,76:23.033W,521M,T,26 SchulkllC,
32,40:59.800N,76:26.467W,143M,T,27 Bloomsbrg,
33,39:41.633N,78:10.517W,123M,T,28 Potomac,
34,39:36.628N,78:45.906W,225M,T,29 Cumberlnd,
35,40:32.157N,77:49.055W,299M,T,30 Allensvll,
36,40:51.300N,77:07.683W,640M,T,31 ThreeBrns,
37,40:35.100N,78:28.100W,721M,T,32 Mine,
38,41:12.000N,77:26.500W,453M,T,33 TallPines,
39,41:24.000N,77:11.100W,596M,T,34 WhitePine,
40,40:44.700N,77:03.500W,580M,T,35 Shade Mtn,
41,39:45.700N,78:03.650W,558M,T,36 DickesMtn,
42,40:40.640N,77:37.610W,238M,T,41 Start A M,
43,40:45.500N,77:34.500W,519M,T,42 Start B N,
44,40:38.500N,77:31.500W,186M,T,43 Start C S,
45,40:36.500N,77:39.100W,379M,T,44 Start D S,
46,40:42.500N,77:43.100W,389M,T,45 Start E N,
47,40:40.815N,77:37.555W,238M,T,51 FINISH,
48,41:10.005N,76:33.980W,375M,T,A TAMemorial,
49,38:45.474N,77:47.233W,158M,T,Airlie,
50,39:49.933N,76:24.417W,203M,T,Airville,
51,40:58.503N,78:14.984W,505M,T,Albert,
52,40:11.705N,78:49.968W,630M,T,AlberterFarm,
53,39:28.406N,76:30.015W,100M,T,Albrecht,
54,39:17.439N,78:21.050W,332M,T,Als,
55,40:23.967N,78:22.450W,569M,T,Altoona GapS,
56,39:36.206N,76:44.665W,193M,T,ArmacostFrms,
57,38:54.327N,78:39.277W,413M,T,Ayers,
58,38:46.557N,77:54.633W,144M,T,Ayres Aicp,
59,39:51.139N,76:29.181W,230M,T,BabltzCmmrcl,
60,40:14.900N,78:21.650W,416M,T,Baker Sell,
61,40:01.039N,76:49.182W,139M,T,Baneys,
62,39:19.973N,77:05.816W,234M,T,Barnes,
63,40:43.620N,78:32.368W,486M,T,Barnhart,
64,39:36.500N,77:03.117W,224M,T,Baughrsrchrd,
65,40:46.588N,77:12.982W,195M,T,BeaverSprngs,
66,40:43.617N,77:07.450W,613M,T,Beavertown,
67,40:01.567N,78:32.783W,579M,T,Bedford GapS,
68,40:13.805N,77:55.233W,191M,T,Beers Farm,
69,39:38.183N,77:17.567W,111M,T,Bell,
70,40:53.167N,77:48.900W,318M,T,Bellefonte,
71,40:33.500N,76:33.717W,244M,T,Bendigo,
72,39:57.539N,77:02.982W,174M,T,Bens Landing,
73,40:01.006N,77:00.232W,140M,T,BermudianVll,
74,40:55.837N,77:44.333W,291M,T,Bierly,
75,39:56.114N,77:14.818W,208M,T,Biglerville,
76,39:44.539N,77:32.116W,216M,T,BittnerWhtsl,
77,40:23.754N,78:27.234W,378M,T,Blue Knob,
78,39:07.217N,77:51.317W,246M,T,Bluemont Gap,
79,40:06.805N,77:27.249W,181M,T,Botsford,
80,39:54.507N,77:12.313W,178M,T,Bowtie,
81,40:18.955N,76:41.148W,141M,T,BrooksidFrms,
82,39:49.006N,77:15.982W,156M,T,Browns,
83,38:41.357N,78:42.384W,308M,T,Buddy Davis,
84,39:20.890N,77:20.166W,133M,T,Burhans,
85,40:05.001N,77:52.222W,297M,T,Burnt Cabins,
86,39:28.172N,78:14.134W,278M,T,Buzzards Gap,
87,41:05.654N,77:24.866W,231M,T,BuzzardsFild,
88,40:13.029N,76:51.088W,98M,T,Capital City,
89,39:50.606N,77:09.883W,184M,T,CaptainsFoll,
90,40:11.275N,77:10.457W,153M,T,Carlisle,
91,39:36.167N,77:00.158W,234M,T,CarrollCount,
92,40:29.422N,76:45.998W,250M,T,Carsonville,
93,40:48.704N,77:39.433W,388M,T,Centre Apk,
94,39:58.377N,77:38.596W,207M,T,Chambersburg,
95,38:51.714N,78:07.830W,406M,T,Chester Gap,
96,40:23.805N,77:04.449W,171M,T,ChestnutHill,
97,39:57.522N,76:58.249W,141M,T,Circle W Air,
98,39:28.118N,77:01.213W,213M,T,Clearview,
99,41:02.917N,78:24.786W,460M,T,ClerfldLwrnc,
100,40:27.267N,78:14.283W,349M,T,Cove Valley,
101,39:48.100N,77:43.567W,172M,T,Cumberland2,
102,40:57.083N,76:38.567W,154M,T,Danville,
103,39:14.673N,77:08.916W,183M,T,Davis,
104,40:24.505N,76:30.231W,142M,T,Dee Jay,
105,40:15.472N,77:04.882W,124M,T,Deitch,
106,39:58.773N,76:32.165W,158M,T,DEvans Farm,
107,40:05.512N,76:34.799W,138M,T,DoneglSprngs,
108,39:45.156N,76:32.131W,192M,T,Draco,
109,40:07.700N,77:37.883W,207M,T,Drillmorecrs,
110,40:27.489N,76:27.481W,158M,T,DutchCountry,
111,40:49.617N,77:59.283W,540M,T,Eagle Field,
112,39:23.683N,78:40.767W,459M,T,Eastview,
113,40:27.673N,78:46.515W,637M,T,Ebensburg,
114,40:14.255N,76:43.482W,104M,T,Ecko Field,
115,40:20.005N,77:17.982W,182M,T,Egolf,
116,40:32.005N,76:27.731W,176M,T,FairviewFarm,
117,40:26.572N,76:26.498W,150M,T,FarmersPride,
118,41:06.172N,76:48.331W,168M,T,Fauser,
119,41:22.105N,77:04.265W,203M,T,Finkhaven,
120,39:34.589N,77:55.783W,142M,T,Flying D,
121,40:38.755N,76:48.732W,190M,T,Flying Eagle,
122,40:00.005N,78:04.984W,282M,T,Flying R,
123,39:15.590N,77:20.482W,155M,T,FlyingMFarms,
124,38:43.340N,77:53.983W,134M,T,Fox Acres,
125,40:59.605N,76:54.015W,169M,T,Fox Hollow,
126,38:41.467N,78:37.767W,294M,T,FranwoodFrms,
127,39:24.596N,77:22.844W,91M,T,Frederick,
128,38:55.033N,78:15.217W,214M,T,Front Royal,
129,40:37.833N,77:00.617W,164M,T,Frymoyer,
130,39:29.006N,78:55.585W,221M,T,GerstellFrms,
131,39:50.313N,77:16.734W,161M,T,Gettysburg,
132,39:55.773N,76:46.248W,140M,T,Gilbert,
133,40:47.038N,77:12.399W,192M,T,Gilfert,
134,38:56.540N,77:32.533W,97M,T,Glascock,
135,39:16.173N,77:00.315W,170M,T,Glenair,
136,38:38.568N,78:36.750W,544M,T,Gogos Gap,
137,39:28.456N,77:11.716W,160M,T,GoodNghbrFrm,
138,38:59.580N,79:08.180W,285M,T,Grant County,
