1,44:29.200S,169:59.167E,421M,AT,Omarama, Dir: 90/270 Dim: 1200/40
2,44:43.332S,169:14.730E,350M,AT,Wanaka, Dir: 110/290 Dim: 1200/35
3,45:12.702S,169:22.398E,230M,AT,Alexandra, Dir: 140/320 Dim: 1200/50
4,44:47.400S,171:05.502E,24M,AT,Waimate, Dir: 40/220 Dim: 700/35
5,45:01.267S,168:44.350E,356M,AT,Queenstown, Dir: 50/230 Dim: 1200/30
6,43:54.402S,170:07.698E,537M,AT,Glentanner, Dir: 150/330 Dim: 950/35
7,45:05.803S,170:07.000E,475M,AT,Crossans, Dir: 0/180 Dim: 1100/30
8,44:28.970S,169:59.070E,419M,T,001-StartFinish,
9,44:14.000S,169:36.000E,778M,T,002-Ahuriri,
10,45:12.300S,169:22.100E,229M,T,003-Alexandra,
11,44:28.500S,168:48.100E,339M,T,005-Aspiring,
12,44:27.300S,169:42.200E,654M,T,006-Avonburn,
13,44:06.000S,170:06.000E,998M,T,007-Ben Dhu,
14,44:56.000S,169:18.200E,223M,T,008-Bendigo,
15,44:31.100S,169:52.100E,506M,T,009-Berwen,
16,44:22.400S,169:38.100E,734M,T,010-Birch Creek,
17,44:45.200S,168:44.000E,519M,T,011-Branches,
18,44:05.200S,170:39.250E,551M,T,012-Burkes Pass,
19,44:51.750S,170:33.000E,262M,T,013-CampbellP,
20,43:30.750S,170:28.800E,1030M,T,016-Classen,
21,44:21.300S,170:00.500E,504M,T,017-Clearburn,
22,45:11.500S,169:18.900E,148M,T,018-Clyde,
23,44:21.300S,169:31.200E,709M,T,020-Cotters,
24,45:02.300S,169:12.900E,207M,T,021-Cromwell,
25,44:59.300S,170:16.500E,690M,T,022-Danseys,
26,44:26.250S,169:23.500E,394M,T,024-Dingle,
27,43:47.600S,169:59.900E,938M,T,025-Dobson,
28,44:51.400S,169:55.100E,572M,T,027-Falls Dam,
29,44:00.100S,170:24.700E,765M,T,029-Forks Stream,
30,44:08.300S,169:52.400E,546M,T,031-GlenLyon,
31,43:54.500S,170:07.600E,542M,T,033-Glentanner,
32,44:42.300S,169:30.100E,402M,T,034-Goodger,
33,44:15.700S,170:27.700E,612M,T,035-Grampians,
34,44:23.500S,170:39.500E,559M,T,036-Haka N.,
35,44:21.500S,170:15.900E,381M,T,037-Haldon,
36,44:36.700S,169:15.100E,367M,T,038-Hawea,
37,44:00.000S,169:49.500E,618M,T,039-Huxley,
38,44:30.100S,169:48.000E,568M,T,040-Killermon,
39,43:42.100S,170:34.500E,989M,T,043-Macauley,
40,44:13.750S,169:14.000E,364M,T,045-Makarora,
41,44:33.900S,168:53.800E,306M,T,046-Matukituki,
42,43:39.200S,170:54.600E,503M,T,048-Mesopotamia,
43,45:13.200S,169:41.300E,434M,T,050-Moa Creek,
44,44:38.500S,169:30.400E,450M,T,051-Morven,
45,43:35.267S,170:16.850E,2696M,T,052-Mt Chudle,
46,43:44.500S,170:06.600E,702M,T,053-Mt Cook,
47,43:59.300S,170:32.800E,795M,T,054-Mt Hayes,
48,44:17.100S,170:45.300E,488M,T,055-Mt Nessin,
49,45:02.300S,170:08.600E,552M,T,056-Naseby,
50,44:26.700S,169:11.100E,547M,T,057-Neck,
51,45:05.800S,169:36.100E,302M,T,060-Omakau,
52,44:36.400S,170:12.100E,279M,T,062-Otematata,
