1,49:10.398N,000:27.000W,68M,AT,caen, Dir: 130/310 Dim: 700/30
2,48:55.611N,000:08.730W,150M,AT,falaise, Dir: 64/244 Dim: 1000/100
3,48:42.372N,000:00.102W,146M,AT,argentan, Dir: 40/220 Dim: 700/30
4,48:26.754N,000:06.324E,141M,AT,alencon, Dir: 70/250 Dim: 700/30
5,48:45.031N,000:35.406W,197M,AT,flers, Dir: 59/239 Dim: 720/25
6,48:32.286N,000:31.697E,266M,AT,mortagne au perche, Dir: 7/187 Dim: 700/25
7,48:45.432N,000:39.140E,236M,AT,l aigle, Dir: 69/249 Dim: 765/20
8,49:06.179N,000:33.559E,164M,AT,bernay, Dir: 101/281 Dim: 1200/80
9,48:39.600N,001:24.300W,5M,AT,avranches, Dir: 38/218 Dim: 750/60
10,48:32.730N,000:23.094W,207M,AT,bagnole de l orne, Dir: 124/304 Dim: 1060/20
11,48:53.406N,000:30.006W,233M,AT,clecy, Dir: 70/250 Dim: 650/40
12,49:32.028N,000:05.273E,92M,AT,le havre octevil, Dir: 45/225 Dim: 1500/40
13,49:32.610N,000:21.528E,124M,AT,le havre st romain, Dir: 55/235 Dim: 840/100
14,49:12.150N,001:30.450W,24M,AT,lessay, Dir: 67/247 Dim: 1268/80
15,49:37.380N,001:49.854W,128M,AT,vauville, Dir: 151/331 Dim: 650/60
16,49:39.006N,001:28.248W,133M,AT,cherbourg, Dir: 103/283 Dim: 1500/45
17,48:52.986N,001:33.852W,5M,AT,granville, Dir: 69/249 Dim: 960/30
18,49:49.968N,000:38.772E,78M,AT,saint valery, Dir: 67/247 Dim: 900/50
19,49:21.864N,000:09.582E,140M,AT,deauville, Dir: 119/299 Dim: 1500/45
20,48:26.850N,0:06.500E,141M,T,Alencon Va Gld,
21,48:25.600N,0:04.767E,135M,T,Alencon Centre V,
22,48:10.400N,0:50.783W,119M,T,Andouille Le Ter,
23,48:27.967N,1:29.300W,22M,T,Antrain,
24,48:42.633N,0:00.183E,169M,T,Argentan,
25,48:44.750N,0:01.033W,166M,T,Argentan Centre,
26,48:42.567N,0:00.117W,169M,T,Argentan Hangar,
27,48:16.983N,0:31.300W,126M,T,Aron Les Ecottay,
