1,63:03.588N,001:04.236W,8M,AT,Narvik, Dir: 21/201 Dim: 800/50
2,63:29.604N,000:35.646W,9M,AT,Elvenes, Dir: 76/256 Dim: 800/50
3,63:40.950N,000:08.880W,70M,AT,Bardufoss, Dir: 106/286 Dim: 2443/50
4,64:18.648N,000:07.962E,2M,AT,Tromso, Dir: 9/189 Dim: 2000/50
5,63:54.912N,002:05.658W,7M,AT,Andenes, Dir: 149/329 Dim: 2200/50
6,64:25.728N,001:45.654E,2M,AT,Sorkjosen, Dir: 148/328 Dim: 900/50
7,63:06.642N,001:38.592W,20M,AT,Evenes, Dir: 177/357 Dim: 2500/50
8,62:27.528N,001:21.150E,445M,AT,Kiruna, Dir: 29/209 Dim: 2400/50
9,62:24.078N,001:16.992E,470M,AT,Kalixfors, Dir: 167/347 Dim: 1100/50
10,62:35.142N,003:00.780W,18M,AT,Engeloy, Dir: 55/235 Dim: 650/50
11,61:53.160N,003:31.656W,13M,AT,Bodo, Dir: 78/258 Dim: 2800/50
12,61:46.404N,001:46.320E,300M,AT,Gallivare, Dir: 112/292 Dim: 1600/50
13,63:11.940N,002:59.286W,4M,AT,Stokmarknes, Dir: 90/270 Dim: 860/50
14,62:51.546N,003:16.380W,1M,AT,Svolvaer, Dir: 15/195 Dim: 800/50
15,62:46.278N,004:08.148W,20M,AT,Leknes, Dir: 30/210 Dim: 800/50
16,63:33.533N,0:48.300W,20M,T,Loksebotn,
17,63:33.712N,0:30.942W,362M,T,Bekkebotn,
18,63:38.580N,0:38.730W,199M,T,Skovatnet,
19,63:27.492N,0:27.736W,110M,T,Brandhaug,
20,63:23.460N,0:44.646W,1M,T,Lavangen,
21,63:22.476N,0:45.468W,56M,T,Tennevoll,
22,63:22.134N,0:43.938W,2M,T,Spansdalen,
23,63:15.690N,0:47.766W,207M,T,Kvernmmo,
24,63:37.978N,0:27.528W,796M,T,Satersletta,
25,63:18.906N,0:07.404W,99M,T,Sordalen,
26,63:21.912N,0:08.112W,76M,T,Ovre Bardu,
27,63:26.382N,0:09.412W,78M,T,Bardujord,
28,63:35.844N,0:10.980W,54M,T,Nordli,
29,63:39.234N,0:05.112E,35M,T,Elverum,
30,63:37.856N,0:13.842E,60M,T,Alappmoen,
31,63:39.090N,0:28.050E,79M,T,Skjold,
32,63:34.782N,0:37.440E,102M,T,Dividalen,
33,63:29.418N,0:40.920E,136M,T,Hogstadgard,
34,63:35.892N,0:46.110E,106M,T,Rostadalen,
35,63:43.416N,0:42.870E,215M,T,Tamokdalen,
36,63:24.660N,0:47.820E,204M,T,Frihetsli,
37,63:40.446N,0:37.572W,201M,T,Gumpedalen,
38,63:44.868N,0:42.924W,36M,T,Forstrand,
39,63:24.276N,1:15.348W,17M,T,Hamnvik,
40,63:46.080N,0:26.940W,32M,T,Sorreisa,
41,63:44.394N,0:24.780W,22M,T,Finnset,
42,63:51.921N,0:48.822W,14M,T,Trollbuvatnet,
43,63:51.336N,0:25.998W,106M,T,Finfjordvatnet,
44,63:51.498N,0:14.220W,31M,T,Karlstad,
45,63:45.696N,0:05.322W,57M,T,Olsborg,
46,63:44.976N,0:01.146E,126M,T,Takelvdalen,
47,63:50.640N,0:25.806E,16M,T,Storsteinnes,
48,63:50.874N,0:42.828E,19M,T,Nordkjosbotn,
49,63:49.404N,0:48.042E,81M,T,Balsfjordeidet,
50,63:49.992N,0:59.814E,39M,T,Signaldalen,
51,63:52.122N,1:06.330E,142M,T,Kitdalen,
52,63:53.610N,0:58.002E,62M,T,Storfjord,
53,63:32.526N,1:17.292W,20M,T,Engenes,
54,63:42.414N,0:56.100W,3M,T,Espejord,
55,63:38.982N,1:12.570W,30M,T,Lekangen,
56,63:30.144N,1:43.284W,22M,T,Lundenes,
57,63:21.018N,1:30.918W,21M,T,Sorrollnes,
58,63:29.332N,0:18.030E,272M,T,Kirkesjord,
59,63:41.118N,1:32.160W,17M,T,Skrollsvik,
60,63:55.320N,1:24.852W,10M,T,Grunnfarnes,
