1,27:54.174S,53:19.740W,588M,AT,SSPL - Palmeira, Dir: 58/238 Dim: 1000/59
2,28:14.640S,52:19.593W,724M,AT,SBPF - Passo Fundo, Dir: 64/244 Dim: 1700/23
3,27:54.383S,54:31.230W,300M,AT,SSZR - Santa Rosa, Dir: 65/245 Dim: 1200/18
4,27:40.030S,53:48.540W,455M,AT,SSKN - Campo Novo, Dir: 82/262 Dim: 1025/25
5,28:39.503S,53:36.678W,470M,AT,SSAK - Cruz Alta, Dir: 68/248 Dim: 800/60
6,28:15.822S,53:30.330W,485M,AT,QMB - Panambi, Dir: 51/231 Dim: 800/18
7,28:10.344S,53:29.142W,510M,AT,Pista - Condor, Dir: -31/149 Dim: 680/20
8,28:22.080S,53:50.796W,365M,AT,SSIJ - Ijui, Dir: -18/162 Dim: 1110/20
9,28:19.350S,52:48.972W,570M,AT,SSKZ - Carazinho, Dir: 110/290 Dim: 1560/30
10,27:58.866S,52:51.774W,620M,AT,SSXD - Sarandi, Dir: 140/320 Dim: 1600/60
11,28:16.901S,54:10.148W,322M,AT,SBNM - Santo Angelo, Dir: 110/290 Dim: 1625/30
12,27:52.914S,53:45.714W,530M,AT,Sto Augusto - Pista, Dir: 170/350 Dim: 660/30
13,29:09.180S,53:44.610W,498M,AT,SSJK - Graneleiros, Dir: 110/290 Dim: 1190/30
14,27:38.322S,54:20.358W,324M,AT,SSHZ - Horizontina, Dir: 150/330 Dim: 1050/18
15,27:20.856S,53:24.210W,0M,AT,Pista - Frederico Westphalen, Dir: 95/275 Dim: 860/29
16,27:08.053S,52:39.393W,654M,AT,SBCH - Chapeco, Dir: 110/290 Dim: 2063/45
17,29:12.900S,54:50.532W,0M,AT,SSST - Santiago, Dir: 170/350 Dim: 1340/60
18,28:36.258S,53:04.722W,441M,AT,SSIR - Ibiruba, Dir: 90/270 Dim: 760/25
19,28:44.202S,52:51.264W,365M,AT,SSEZ - Espumoso, Dir: 70/250 Dim: 713/30
20,27:54.500S,53:06.700W,421M,T,BARREIRO,
21,27:43.067S,53:42.350W,469M,T,BICACO,
22,27:41.167S,53:18.467W,561M,T,BOA VISTA,
23,27:39.100S,53:48.617W,412M,T,CAMPO NOVO,
24,28:19.283S,52:48.917W,570M,T,CARAZINHO,
25,28:03.583S,53:03.967W,442M,T,CHAPADA,
26,27:54.300S,53:19.983W,588M,T,CHEGADA CAB. 06,
27,28:07.100S,53:48.100W,410M,T,CHIAPETA,
28,28:10.583S,53:28.600W,526M,T,CONDOR,
29,27:55.417S,53:21.250W,575M,T,CONTROLE SUL,
30,28:43.217S,53:38.717W,434M,T,CRUZ ALTA,
31,28:39.433S,53:36.600W,470M,T,CRUZ ALTA AEROCL,
32,28:44.217S,52:51.350W,365M,T,ESPUMOSO,
33,28:04.283S,53:32.500W,534M,T,ESQUINA BECK,
34,27:49.133S,53:25.083W,598M,T,ESQUINA SAO BENT,
35,27:59.600S,53:25.850W,581M,T,ESQUINA SCHERER,
36,27:49.767S,53:32.283W,524M,T,FAZENDA ACATROLL,
37,27:20.833S,53:24.117W,530M,T,FREDERICO WESTPH,
38,27:45.917S,53:33.450W,479M,T,GUARITA,
39,27:38.300S,54:20.433W,300M,T,HORIZONTINA,
40,28:37.667S,53:03.667W,438M,T,IBIRUBA,
41,28:22.217S,53:50.717W,365M,T,IJUI,
42,28:40.333S,54:04.433W,361M,T,JOIA,
43,29:09.150S,53:44.567W,498M,T,JULIO DE CASTILH,
44,27:49.450S,53:27.683W,566M,T,LUFA,
45,27:53.900S,53:19.517W,588M,T,PALMEIRA,
46,27:58.467S,53:19.367W,602M,T,PALMEIRA TREVO,
47,28:15.750S,53:30.367W,485M,T,PANAMBI,
48,28:21.000S,53:30.183W,492M,T,PANAMBI TREVO,
49,28:14.717S,52:19.717W,724M,T,PASSO FUNDO,
50,28:14.100S,52:30.967W,586M,T,PASSO FUNDO AERO,
51,27:48.683S,53:16.117W,566M,T,PASSO RASO,
52,28:28.133S,53:32.850W,494M,T,PEJUSSARA TREVO,
53,28:23.200S,53:15.517W,506M,T,SANTA BARBARA,
54,27:54.533S,54:31.317W,303M,T,SANTA ROSA,
55,28:16.883S,54:10.133W,322M,T,SANTO ANGELO,
56,27:52.917S,53:45.717W,530M,T,SANTO AUGUSTO,
57,27:58.833S,52:51.783W,620M,T,SARANDI,
58,27:29.917S,53:23.417W,546M,T,SEBERI,
59,28:34.583S,52:35.717W,490M,T,TIO HUGO TREVO,
60,27:30.733S,53:53.883W,449M,T,TRES PASSOS,
61,27:56.033S,53:19.467W,611M,T,TREVO HIPICA,
62,27:52.000S,53:19.967W,586M,T,TREVO NORTE,
63,27:52.100S,53:18.233W,612M,T,TREVO PORTICO,
64,29:05.967S,53:48.617W,461M,T,TUPANCIRETAN,
65,28:01.150S,53:33.583W,540M,T,VAN ASS,
