1,45:12.178N,007:38.978E,291M,AT,TURIN CASELLE LIMF, Dir: 2/182 Dim: 3800/60
2,45:44.317N,007:21.750E,545M,AT,AOSTA LIMW, Dir: 90/270 Dim: 1200/27
3,44:03.549N,005:59.509E,440M,AT,CHATEAU ARNOUX SAINT AUBAN LFMX, Dir: 23/203 Dim: 1000/50
4,44:27.340N,005:43.606E,708M,AT,SERRES LA BATIE MONTSALEON LFTM, Dir: 2/182 Dim: 1000/90
5,43:36.610N,006:41.837E,220M,AT,FAYENCE LFMF, Dir: 101/281 Dim: 780/7
6,44:41.713N,005:09.041E,240M,AT,AUBENASSON LFJF, Dir: 86/266 Dim: 770/30
7,43:52.158N,006:09.870E,765M,AT,PUIMOISSON LFTP, Dir: 80/260 Dim: 800/40
8,43:44.115N,005:47.166E,274M,AT,VINON LFNF, Dir: 102/282 Dim: 400/20
9,45:03.850N,005:05.950E,180M,AT,ROMANS SAINT PAUL LFHE, Dir: 60/240 Dim: 740/100
10,45:41.221N,005:27.138E,244M,AT,MORESTEL LFHI, Dir: 131/311 Dim: 800/70
11,44:27.226N,006:02.285E,600M,AT,GAP TALLARD LFNA, Dir: 26/206 Dim: 840/0
12,44:23.233N,006:36.519E,1125M,AT,BARCELONNETTE SAINT PONS LFMR, Dir: 92/272 Dim: 900/30
13,44:42.037N,006:35.962E,890M,AT,MONT DAUPHIN SAINT CREPIN LFNC, Dir: 161/341 Dim: 870/30
14,45:13.114N,005:50.806E,218M,AT,GRENOBLE LE VERSOUD LFLG, Dir: 43/223 Dim: 900/30
15,44:32.852N,007:37.394E,380M,AT,LEVALDIGI LIMZ, Dir: 32/212 Dim: 2500/40
16,44:17.140N,005:55.768E,529M,AT,SISTERON THEZE LFNS, Dir: 176/356 Dim: 640/10
17,45:57.002N,006:38.332E,535M,AT,SALLANCHES-MONT BLANC LFHZ, Dir: 168/348 Dim: 600/20
18,45:59.191N,005:19.906E,244M,AT,AMBERIEU LFXA, Dir: 14/194 Dim: 1800/30
19,44:01.683N,005:05.037E,113M,AT,CARPENTRAS LFNH, Dir: 132/312 Dim: 1200/20
20,45:33.685N,005:58.573E,300M,AT,CHAMBERY CHALLES LES EAUX LFLE, Dir: 143/323 Dim: 1088/20
21,45:38.096N,005:52.885E,0M,AT,CHAMBERY AIX LES BAINS LFLB, Dir: 177/357 Dim: 900/45
22,46:11.517N,006:16.105E,487M,AT,ANNEMASSE LFLI, Dir: 117/297 Dim: 1300/30
23,43:36.433N,005:06.523E,58M,AT,SALON LFMY, Dir: 160/340 Dim: 2000/30
24,43:46.128N,004:53.617E,118M,AT,LE MAZET DE ROMANIN LFMZ, Dir: 5/185 Dim: 900/20
25,44:30.961N,005:44.165E,822M,AT,ASPRES SUR BUECH LFNJ, Dir: 5/185 Dim: 894/100
26,45:21.728N,005:19.385E,383M,AT,GRENOBLE ISERE LFLS, Dir: 90/270 Dim: 900/50
27,43:31.523N,004:55.326E,21M,AT,ISTRES LE TUBE LFMI, Dir: 153/333 Dim: 5420/50
28,43:30.324N,005:22.041E,101M,AT,AIX LES MILLES LFMA, Dir: 146/326 Dim: 1579/30
29,45:55.709N,006:06.020E,459M,AT,ANNECY MEYTHET LFLP, Dir: 39/219 Dim: 850/70
30,45:05.110N,007:36.204E,281M,AT,TORINO AERITALIA LIMA, Dir: 102/282 Dim: 900/40
31,45:43.754N,005:05.291E,230M,AT,LYON SAINT EXUPERY LFLL, Dir: 175/355 Dim: 4115/90
32,44:03.407N,005:29.737E,835M,AT,ST CHRISTOL LFXI, Dir: 155/335 Dim: 1750/50
33,45:55.182N,004:38.157E,321M,AT,VILLEFRANCHE TARARE LFHV, Dir: 1/181 Dim: 800/50
34,44:08.405N,004:52.111E,58M,AT,ORANGE CARITAT LFMO, Dir: 144/324 Dim: 3000/45
35,44:10.766N,004:55.138E,96M,AT,PLAN DE DIEU LF8451, Dir: 161/341 Dim: 2000/28
36,45:15.233N,006:48.075E,1290M,AT,SOLLIERES SARDIERES LFKD, Dir: 16/196 Dim: 700/60
37,46:19.033N,6:57.800E,401M,T,Aigle Bf,
38,45:32.617N,6:18.433E,319M,T,Aiguebelle Gare,
39,45:52.750N,6:53.500E,3651M,T,Aiguille Mont,
40,44:53.283N,6:26.783E,1501M,T,Ailefroide Barra,
