1,45:11.850N,007:39.564E,291M,AT,Torino, Dir: 0/180 Dim: 1500/60
2,45:44.124N,007:22.044E,545M,AT,Aosta, Dir: 90/270 Dim: 1200/27
3,44:03.438N,005:59.454E,461M,AT,St Auban, Dir: 31/211 Dim: 1000/40
4,44:27.222N,005:43.536E,716M,AT,Serres la Batie, Dir: 0/180 Dim: 1350/62
5,43:36.198N,006:42.360E,226M,AT,Fayence, Dir: 101/281 Dim: 900/50
6,44:41.493N,005:08.988E,247M,AT,Aubenasson, Dir: 86/266 Dim: 770/30
7,43:51.888N,006:09.894E,760M,AT,Puimoisson, Dir: 80/260 Dim: 800/40
8,43:43.956N,005:46.902E,274M,AT,Vinon, Dir: 102/282 Dim: 900/40
9,45:03.690N,005:05.856E,180M,AT,Romans, Dir: 60/240 Dim: 740/100
10,45:41.064N,005:27.090E,244M,AT,Morestel, Dir: 130/310 Dim: 800/70
11,44:27.054N,006:02.208E,600M,AT,Gap Tallard, Dir: 26/206 Dim: 700/30
12,44:23.016N,006:36.750E,1125M,AT,Barcelonette, Dir: 92/272 Dim: 800/30
13,44:41.730N,006:36.192E,890M,AT,St Crépin, Dir: 161/341 Dim: 870/30
14,45:12.900N,005:50.988E,218M,AT,Le Versoud, Dir: 43/223 Dim: 900/30
15,44:32.604N,007:37.980E,380M,AT,Levaldigi, Dir: 32/212 Dim: 1400/40
16,44:17.016N,005:55.698E,540M,AT,Sisteron, Dir: 176/356 Dim: 1200/100
17,45:32.633N,6:18.450E,339M,T,Aiguebelle Gare,
18,45:52.750N,6:53.500E,3453M,T,Aiguille Mont,
19,45:33.267N,6:38.883E,693M,T,Aime Gare,
20,44:55.000N,7:28.500E,261M,T,Airasca Skf Capa,
21,45:33.417N,6:13.667E,294M,T,Aiton Champs,
22,44:41.350N,5:24.550E,523M,T,AiX En Diois Cls,
23,43:30.100N,5:22.250E,112M,T,AiX Les Milles,
24,45:37.633N,6:19.750E,318M,T,Albertville,
25,45:40.050N,6:23.350E,341M,T,Albertvillecentr,
26,44:17.583N,6:33.850E,1948M,T,Allos FouX,
27,43:37.017N,6:20.933E,637M,T,Ampus Champs,
28,44:37.450N,6:12.250E,1338M,T,Ancelle,
