1,42:25.530N,012:51.180E,392M,AT,Rieti, Dir: 163/343 Dim: 600/90
2,42:22.620N,013:18.492E,670M,AT,Aquila, Dir: 180/360 Dim: 1300/40
3,43:37.032N,013:21.594E,7M,AT,Ancona, Dir: 45/225 Dim: 2400/60
4,42:25.344N,014:11.424E,18M,AT,Pescara, Dir: 38/218 Dim: 2400/60
5,42:55.788N,012:42.678E,212M,AT,Foligno, Dir: 172/352 Dim: 1500/60
6,43:05.730N,012:30.714E,202M,AT,Perugia, Dir: 15/195 Dim: 1500/60
7,42:06.228N,013:50.472E,359M,AT,Corfinio, Dir: 140/320 Dim: 500/30
8,42:03.528N,013:33.444E,695M,AT,Celano, Dir: 90/270 Dim: 800/30
9,42:25.533N,12:50.867E,392M,T,00RITWR,
10,42:25.333N,12:54.383E,465M,T,01RIHOSP,
11,42:28.083N,12:54.267E,687M,T,02CANTAL,
12,42:24.567N,12:45.933E,447M,T,03CONTIG,
13,42:26.533N,12:45.000E,855M,T,04GRECCI,
14,42:23.000N,12:57.167E,482M,T,05CITTAD,
15,42:32.567N,12:43.283E,374M,T,06MARMOR,
16,42:28.700N,12:48.717E,374M,T,08RIPALK,
17,42:25.850N,12:50.933E,384M,T,09 ARRIV,
18,42:37.500N,13:17.667E,956M,T,10AMATRI,
19,41:58.983N,13:48.917E,786M,T,11ANVERS,
20,42:35.100N,12:45.983E,224M,T,13ARRONE,
21,42:25.133N,13:30.817E,973M,T,14ASSERG,
22,43:04.483N,12:36.250E,279M,T,15ASSISI,
23,42:02.983N,13:24.917E,737M,T,16AVEZZA,
24,42:19.533N,13:35.517E,989M,T,17BARISC,
25,41:28.950N,14:27.833E,488M,T,20BOIANO,
26,42:11.000N,13:15.000E,837M,T,21BORGOR,
27,41:33.100N,14:38.100E,716M,T,22CAMPOB,
28,42:00.483N,14:02.467E,1045M,T,23CAMPOG,
29,41:43.900N,13:41.417E,631M,T,24CAMPOL,
30,41:57.800N,13:23.233E,729M,T,25CAPIST,
31,42:05.933N,13:05.500E,619M,T,26CARSOL,
32,42:05.017N,13:32.667E,822M,T,27CELANO,
33,43:27.583N,12:14.417E,286M,T,30CITDCA,
34,42:37.017N,13:09.650E,1000M,T,32CITTAR,
35,41:53.667N,13:34.100E,866M,T,33COLLEL,
36,43:21.550N,12:42.917E,538M,T,35COSTAC,
37,42:22.617N,12:59.783E,502M,T,36COTILI,
38,42:49.700N,13:12.383E,1419M,T,37CSTLLU,
39,41:46.783N,14:05.983E,799M,T,38CSTSAN,
40,41:38.650N,14:03.383E,712M,T,39CSTVIN,
41,42:57.083N,12:42.550E,236M,T,40FOLIGN,
42,43:17.500N,12:45.833E,628M,T,41FOSSAV,
43,41:57.517N,13:42.167E,868M,T,42GIOIAM,
44,43:14.167N,12:46.400E,462M,T,43GUALDO,
45,43:20.583N,12:35.750E,502M,T,44GUBBIO,
46,42:31.500N,12:48.000E,568M,T,45LABRO,
47,42:33.983N,12:57.733E,957M,T,46LEONES,
48,41:57.717N,13:28.033E,665M,T,47LUCODM,
49,42:07.583N,13:17.667E,757M,T,48MAGLIA,
50,42:31.367N,13:14.633E,912M,T,50MONTER,
51,41:31.950N,14:11.467E,782M,T,51MONTER,
52,42:14.000N,13:43.850E,683M,T,52NAVELL,
53,43:06.667N,12:47.167E,486M,T,53NOCERA,
54,42:47.533N,13:05.600E,608M,T,54NORCIA,
55,41:46.267N,13:49.450E,1311M,T,55OPI,
56,42:16.717N,12:50.867E,570M,T,56ORNARO,
57,42:26.800N,12:23.517E,74M,T,57ORTE,
58,41:57.500N,13:38.667E,662M,T,58ORTUCC,
59,42:42.833N,12:08.100E,305M,T,59ORVIET,
60,42:20.083N,13:27.700E,594M,T,60PAGANI,
61,43:11.250N,12:08.150E,261M,T,61PASSIG,
62,41:48.433N,13:47.383E,1155M,T,62PESCAS,
63,42:01.100N,13:38.100E,691M,T,63PESCIN,
64,42:17.783N,13:04.133E,784M,T,64PETREL,
65,41:57.733N,13:58.133E,691M,T,65PETTOR,
66,42:32.250N,12:45.483E,489M,T,66PIEDIL,
67,41:22.567N,14:24.517E,664M,T,67PIEDIM,
68,42:26.083N,13:18.017E,741M,T,70PIZZOL,
69,42:30.333N,12:54.083E,1008M,T,71POGGBU,
70,42:09.367N,13:49.483E,251M,T,72POPOLI,
71,42:22.250N,13:17.833E,663M,T,73PRETUR,
72,41:51.783N,14:04.183E,1231M,T,74RIVISO,
73,41:36.617N,13:58.350E,1161M,T,75SBIAGI,
74,43:24.333N,12:39.500E,613M,T,76SCHEGG,
75,42:02.467N,13:20.433E,706M,T,77SCURCO,
76,41:42.500N,13:48.100E,650M,T,78SDONAT,
77,41:24.667N,14:39.500E,528M,T,79SEPINO,
78,42:38.017N,12:32.850E,349M,T,80SGEMIN,
79,42:20.517N,12:51.300E,423M,T,81SGIOVA,
80,43:19.100N,12:44.167E,459M,T,83SIGILL,
81,42:59.500N,12:39.267E,203M,T,84SPELLO,
82,42:44.133N,12:44.483E,354M,T,85SPOLET,
83,43:34.067N,12:07.400E,308M,T,86SSEPOL,
84,42:03.500N,13:55.417E,388M,T,87SULMON,
85,42:46.783N,12:24.417E,403M,T,88TODI,
86,41:57.667N,13:32.167E,659M,T,89TRASAC,
87,42:52.667N,12:44.883E,400M,T,90TREVI,
88,43:18.317N,12:19.750E,245M,T,91UMBERT,
89,41:52.333N,13:37.417E,947M,T,92VALLEL,
90,43:11.233N,12:36.200E,354M,T,93VFABBR,
