1,29:27.066N,102:49.914W,559M,AT,Heath Canyon, Dir: 150/330 Dim: 890/60
2,29:37.326N,103:40.800W,1089M,AT,Taurus Mesa, Dir: 120/300 Dim: 1090/60
3,29:16.614N,103:41.886W,803M,AT,Lajitas, Dir: 70/250 Dim: 2262/60
4,29:27.414N,103:23.639W,1130M,AT,Terlingua Ranch, Dir: 30/210 Dim: 1500/60
5,29:23.000N,102:24.312W,920M,AT,Etereo, Dir: 80/260 Dim: 1800/60
6,29:10.746N,102:54.762W,600M,AT,Rio Grande, Dir: 150/330 Dim: 1200/60
7,29:02.970N,102:17.970W,1265M,AT,Santo Domingo, Dir: 90/270 Dim: 1400/60
8,29:02.574N,103:23.016W,639M,AT,Big Bend, Dir: 105/285 Dim: 1300/60
9,29:41.817N,102:08.292W,552M,AT,El Coyote, Dir: 20/200 Dim: 1500/60
10,29:38.406N,103:56.796W,900M,AT,Rawls Ranch, Dir: 10/190 Dim: 800/60
11,28:38.076N,104:02.718W,1400M,AT,Tepopote, Dir: 34/214 Dim: 900/60
12,28:38.328N,102:56.472W,1000M,AT,San Miguel, Dir: 5/185 Dim: 800/60
13,28:39.606N,103:11.898W,1000M,AT,La Morita, Dir: 1/181 Dim: 900/60
14,28:27.192N,103:55.128W,1000M,AT,El Jobero, Dir: 50/230 Dim: 700/60
15,28:57.552N,103:48.036W,963M,AT,La Boquilla, Dir: 40/220 Dim: 800/60
16,28:20.832N,102:17.436W,1292M,AT,Valle Columbia, Dir: 90/270 Dim: 800/60
17,29:26.868N,104:11.436W,750M,AT,Redford, Dir: 150/330 Dim: 900/60
18,29:27.016N,102:49.916W,551M,T,Heath Canyon,
19,29:16.677N,103:41.236W,803M,T,Lajitas Resort,
20,29:37.266N,103:40.766W,1086M,T,Taurus Mesa Ranc,
21,29:27.016N,103:23.916W,1126M,T,Terlingua Ranch,
22,29:19.166N,103:35.016W,822M,T,Terlingua Town,
23,29:02.451N,102:44.551W,1048M,T,Terminal,
24,28:58.380N,102:48.106W,885M,T,Ejido Jaboncillo,
25,29:15.021N,102:32.817W,1365M,T,Cerro Agua Chile,
26,29:32.048N,102:32.001W,1063M,T,Sierra del Bravo,
27,28:59.971N,103:22.203W,687M,T,Las Garzas,
28,29:40.528N,103:31.100W,1109M,T,Dog Canyon,
29,29:39.001N,103:22.321W,1085M,T,Cedar Spring,
30,29:39.720N,103:21.672W,1152M,T,Lower Flattop,
31,29:46.429N,103:32.004W,1193M,T,Stone Tank,
32,29:47.442N,103:22.013W,1180M,T,Y E Spring,
33,29:39.600N,103:10.423W,873M,T,Visitor Center,
34,29:28.953N,103:09.902W,940M,T,Pitcock Rosillos,
35,29:32.671N,102:54.921W,781M,T,Hole in the Grd,
36,29:44.599N,103:00.648W,753M,T,Cow Heaven Tank,
37,29:43.713N,102:40.970W,492M,T,Reagan Canyon,
38,29:21.003N,102:35.998W,1170M,T,Pico Etereo,
39,29:13.942N,102:11.000W,1407M,T,Cerro Colorado,
40,29:46.609N,102:31.222W,571M,T,Jackson Canyon,
41,29:09.030N,102:23.005W,1069M,T,Aguachile,
42,29:03.014N,102:25.010W,1210M,T,Laguna,
43,28:52.010N,102:21.016W,1183M,T,Cruces,
44,28:59.011N,103:32.011W,960M,T,La Victoria,
45,29:01.861N,103:06.080W,583M,T,Mariscal Canyon,
46,29:14.581N,103:07.969W,874M,T,Chilicotal Sprin,
47,29:17.404N,103:24.907W,999M,T,Apache Canyon,
48,29:04.994N,103:32.022W,1141M,T,Sierra Ponce,
49,29:07.007N,103:46.010W,831M,T,El Remolino,
50,29:29.200N,103:41.998W,1125M,T,Lefthand Shutup,
51,29:26.965N,103:51.749W,1159M,T,Righthand Shutup,
52,29:41.241N,103:50.625W,1128M,T,Fowlkes Ranch,
53,28:22.980N,103:25.400W,1180M,T,Nochebuena,
54,28:48.606N,104:06.294W,1542M,T,Escobillas,
55,28:41.022N,102:50.988W,1093M,T,Delicias,
56,29:30.726N,104:18.918W,802M,T,Tabaloapa,
57,28:34.974N,102:38.982W,1045M,T,Sierra del Picac,
58,28:52.176N,102:55.746W,843M,T,La Union,
59,29:02.334N,104:16.914W,1480M,T,Cerro Prieto,
60,29:39.012N,104:09.012W,1019M,T,Los Alamos,
61,29:17.736N,103:55.182W,751M,T,Madera Canyon,
62,29:23.082N,104:09.756W,756M,T,El Mulato,
63,29:26.982N,104:11.334W,776M,T,Redford,
64,28:41.946N,102:28.938W,1526M,T,Loma del Ombliso,
65,28:35.028N,102:49.962W,1082M,T,Dormido,
66,28:22.974N,104:04.018W,1421M,T,Cerro Mocho,
67,28:46.221N,103:40.908W,1545M,T,Palomas,
68,28:24.006N,103:29.028W,1229M,T,Cerro del Pollo,
69,28:17.994N,103:41.110W,1392M,T,Sierra Seca,
70,28:21.234N,102:44.202W,1017M,T,Campo Salado,
71,28:40.980N,103:04.026W,826M,T,Lago Azul,
72,28:20.058N,103:13.554W,1056M,T,Lago Algas,
73,28:33.816N,102:40.878W,1051M,T,Lago Salado,
