1,49:23.160N,001:11.280E,151M,AT,Rouen-Boos, Dir: 45/225 Dim: 800/50
2,49:32.658N,000:21.600E,125M,AT,St Romaint de Colbosc, Dir: 57/237 Dim: 700/30
3,49:38.244N,000:43.428E,137M,AT,Yvetot, Dir: 80/260 Dim: 700/30
4,49:53.094N,001:05.010E,100M,AT,Dieppe, Dir: 129/309 Dim: 800/30
5,49:04.920N,001:40.884E,143M,AT,Cherence, Dir: 123/303 Dim: 700/30
6,49:01.884N,001:13.182E,143M,AT,Evreux, Dir: 41/221 Dim: 1000/30
7,49:06.060N,000:33.990E,164M,AT,Bernay, Dir: 100/280 Dim: 800/30
8,49:21.810N,000:09.510E,139M,AT,Deauville, Dir: 120/300 Dim: 900/30
9,49:50.040N,000:39.030E,78M,AT,Vittefleur, Dir: 65/245 Dim: 800/30
10,49:18.276N,001:38.190E,92M,AT,Etrepagny, Dir: 118/298 Dim: 600/50
11,48:54.120N,001:15.060E,146M,AT,Saint Andre de l'Eure, Dir: 51/231 Dim: 1000/60
12,48:45.753N,000:39.739E,233M,AT,l'Aigle St Michel, Dir: 65/245 Dim: 800/50
13,49:23.451N,1:11.033E,154M,T,ROUEN Vallée-de-,
14,49:26.417N,1:05.816E,21M,T,Rouen,
15,49:16.933N,1:13.883E,8M,T,Val de Reuil,
16,49:15.166N,1:01.683E,119M,T,Saint Cyr La Cam,
17,49:12.948N,1:10.683E,15M,T,Louviers,
18,49:15.365N,1:21.733E,142M,T,Le Thuit,
19,49:18.583N,1:25.949E,155M,T,Abb Ecouis,
20,49:14.200N,1:23.966E,7M,T,Les Andelys,
21,49:10.748N,0:59.866E,144M,T,La Ferme des Mou,
22,49:09.748N,1:19.833E,32M,T,Gaillon,
23,49:08.933N,0:54.083E,132M,T,Le Neubourg,
24,49:40.732N,1:01.916E,152M,T,Totes,
25,49:18.366N,1:38.316E,92M,T,ETREPAGNY,
26,49:38.051N,0:52.766E,151M,T,Auzouville,
27,49:08.751N,1:32.316E,151M,T,Tilly,
28,49:15.582N,1:39.649E,99M,T,Les Noyers,
29,49:01.717N,1:13.199E,137M,T,EVREUX Fauville,
30,49:28.865N,1:44.283E,94M,T,Gournay,
31,49:21.433N,1:45.816E,70M,T,Serifontaine,
32,49:38.298N,0:43.650E,137M,T,Yvetot,
33,49:28.848N,1:46.600E,142M,T,Gournay,
34,49:00.851N,1:23.333E,54M,T,Pacy/Eure,
35,49:16.867N,1:46.549E,63M,T,Gisors,
36,49:47.982N,0:58.999E,60M,T,Lammerville,
37,49:02.216N,1:34.466E,13M,T,Bonnieres/Seine,
38,49:04.732N,1:41.383E,143M,T,MANTES Chérence,
39,48:57.767N,0:56.299E,117M,T,Conches,
40,48:57.599N,1:26.300E,96M,T,Breuilpont,
41,48:54.367N,1:16.583E,142M,T,St Andre de l'Eu,
42,48:53.917N,1:15.033E,146M,T,SAINT-ANDRE-DE-L,
43,49:06.166N,0:33.100E,167M,T,BERNAY Saint-Mar,
44,49:52.950N,1:05.116E,100M,T,DIEPPE Saint-Aub,
45,48:56.598N,1:32.599E,127M,T,Breval,
46,49:26.149N,0:21.816E,6M,T,Berville sur Mer,
