1,45:48.988N,020:04.468E,78M,AT,Ada, Dir: 130/310 Dim: 650/25
2,45:57.290N,019:17.957E,111M,AT,Aleksa Santic, Dir: 140/320 Dim: 600/30
3,45:41.497N,020:04.282E,71M,AT,Backo Petrovo Selo, Dir: 36/216 Dim: 900/30
4,45:32.268N,020:31.678E,73M,AT,Banatski Dvor, Dir: 120/300 Dim: 730/30
5,45:49.505N,020:38.928E,77M,AT,Banatsko Veliko, Dir: 160/340 Dim: 750/30
6,45:36.200N,018:39.683E,79M,AT,Barb, Dir: 180/360 Dim: 800/35
7,44:47.203N,020:10.830E,74M,AT,Becmen, Dir: 106/286 Dim: 770/30
8,45:00.792N,020:24.177E,68M,AT,Besni Fok, Dir: 164/344 Dim: 1100/35
9,44:49.572N,019:29.478E,81M,AT,Bogatic, Dir: 97/277 Dim: 250/30
10,45:28.980N,018:32.154E,83M,AT,Branjevina, Dir: 90/270 Dim: 900/35
11,45:40.602N,018:35.317E,83M,AT,Brod, Dir: 123/303 Dim: 1000/45
12,45:32.424N,018:28.488E,0M,AT,Brodjanci, Dir: 110/290 Dim: 1000/45
13,45:28.110N,018:17.574E,99M,AT,Budimci, Dir: 0/180 Dim: 1000/45
14,45:10.433N,018:40.016E,79M,AT,Cerna, Dir: 180/360 Dim: 650/35
15,45:26.112N,020:05.580E,70M,AT,Curug, Dir: 140/320 Dim: 520/30
16,46:02.563N,019:59.462E,79M,AT,Delta, Dir: 140/320 Dim: 320/40
17,45:51.822N,022:58.110E,186M,AT,Deva, Dir: 120/300 Dim: 1500/100
18,44:44.167N,021:04.067E,65M,AT,DINUS Malo, Dir: 175/355 Dim: 660/30
19,42:26.142N,020:25.659E,410M,AT,Djakovica, Dir: 177/357 Dim: 1800/40
20,45:18.917N,018:26.884E,107M,AT,Djakovo, Dir: 180/360 Dim: 1000/35
21,45:22.500N,018:18.133E,125M,AT,Drenje, Dir: 180/360 Dim: 800/35
22,44:34.963N,022:50.514E,346M,AT,Drobeta, Dir: 100/280 Dim: 800/60
23,45:04.380N,020:22.480E,68M,AT,Dunavac, Dir: 132/312 Dim: 950/30
24,45:39.400N,019:53.933E,80M,AT,Dvorac Dundjerskih, Dir: 140/320 Dim: 700/40
25,44:55.794N,020:29.801E,67M,AT,Glogonjski rit, Dir: 108/288 Dim: 1000/30
26,45:41.742N,018:44.502E,85M,AT,Grabovac, Dir: 150/330 Dim: 750/35
27,45:14.760N,020:58.760E,72M,AT,Hajducica, Dir: 150/330 Dim: 900/30
28,44:49.590N,019:47.148E,77M,AT,Hrtkovci, Dir: 95/275 Dim: 800/30
29,44:54.733N,020:33.035E,67M,AT,Jabucki rit, Dir: 136/316 Dim: 950/30
30,44:54.045N,020:24.639E,67M,AT,Kovilovo, Dir: 84/264 Dim: 1000/30
31,42:33.683N,018:16.100E,152M,AT,LDDU, Dir: 120/300 Dim: 3300/45
32,45:32.567N,018:37.933E,89M,AT,LDOC, Dir: 105/285 Dim: 1200/30
33,45:27.750N,018:48.600E,87M,AT,LDOS, Dir: 112/292 Dim: 2500/45
34,45:59.350N,018:14.533E,193M,AT,LHPP, Dir: 155/335 Dim: 1000/45
35,44:27.500N,018:48.767E,265M,AT,LQJL, Dir: 50/230 Dim: 1200/60
36,43:49.483N,018:19.883E,531M,AT,LQSA, Dir: 120/300 Dim: 2600/45
37,44:27.517N,018:43.483E,235M,AT,LQTZ, Dir: 97/277 Dim: 2485/45
38,45:25.217N,022:15.133E,258M,AT,LRCS, Dir: 110/290 Dim: 2000/45
39,45:48.600N,021:20.283E,104M,AT,LRTR, Dir: 110/290 Dim: 3500/45
40,44:55.791N,020:15.840E,79M,AT,LYBA, Dir: 125/305 Dim: 2500/50
41,44:56.442N,020:15.079E,79M,AT,LYBA-second RWY, Dir: 125/305 Dim: 2500/35
42,44:49.166N,020:18.416E,96M,AT,LYBE, Dir: 122/302 Dim: 2000/45
43,44:56.400N,020:26.739E,68M,AT,LYBJ, Dir: 146/326 Dim: 1000/37
44,44:01.101N,022:08.232E,386M,AT,LYBO, Dir: 156/336 Dim: 1100/30
45,42:50.346N,019:51.727E,696M,AT,LYBR, Dir: 10/190 Dim: 1891/32
46,44:55.418N,021:22.253E,123M,AT,LYCC, Dir: 152/332 Dim: 800/30
47,43:43.909N,020:43.076E,197M,AT,LYKA, Dir: 102/282 Dim: 1102/52
48,45:46.086N,020:25.036E,74M,AT,LYKI, Dir: 137/317 Dim: 998/32
49,44:46.457N,020:57.746E,74M,AT,LYKO, Dir: 135/315 Dim: 1500/30
50,43:33.718N,021:20.197E,163M,AT,LYKS, Dir: 16/196 Dim: 1003/50
51,44:44.086N,021:09.713E,68M,AT,LYKT, Dir: 112/292 Dim: 602/20
52,43:49.088N,020:35.158E,210M,AT,LYKV, Dir: 138/318 Dim: 2200/45
53,43:01.216N,021:56.005E,224M,AT,LYLE, Dir: 2/182 Dim: 1000/35
54,43:20.233N,021:51.217E,195M,AT,LYNI, Dir: 113/293 Dim: 2500/45
55,42:46.459N,018:54.909E,612M,AT,LYNK, Dir: 148/328 Dim: 1357/86
56,45:23.144N,019:50.031E,76M,AT,LYNS, Dir: 143/323 Dim: 1429/100
57,44:53.959N,020:38.531E,73M,AT,LYPA, Dir: 131/311 Dim: 1200/60
58,42:21.567N,019:15.099E,33M,AT,LYPG, Dir: 5/185 Dim: 2400/45
59,43:51.981N,021:29.213E,164M,AT,LYPN, Dir: 99/279 Dim: 894/51
60,42:25.342N,019:17.461E,61M,AT,LYPO, Dir: 180/360 Dim: 1200/35
61,42:34.367N,021:02.150E,543M,AT,LYPR, Dir: 176/356 Dim: 2400/45
62,42:50.832N,021:13.260E,610M,AT,LYPT, Dir: 19/199 Dim: 1000/40
63,44:38.681N,020:57.756E,68M,AT,LYSD, Dir: 1/181 Dim: 1001/60
64,43:16.492N,020:02.964E,1010M,AT,LYSJ, Dir: 125/305 Dim: 2500/40
65,45:02.243N,019:39.660E,96M,AT,LYSM, Dir: 91/271 Dim: 1105/60
66,45:43.326N,019:03.468E,82M,AT,LYSO, Dir: 140/320 Dim: 1800/30
67,44:21.085N,020:57.606E,100M,AT,LYSP, Dir: 109/289 Dim: 675/45
68,46:01.370N,019:42.377E,103M,AT,LYSU, Dir: 147/327 Dim: 1200/103
69,43:36.853N,021:01.821E,160M,AT,LYTR, Dir: 109/289 Dim: 1573/80
70,42:24.283N,018:43.400E,2M,AT,LYTV, Dir: 140/320 Dim: 2500/45
71,43:53.940N,019:41.868E,892M,AT,LYUZ, Dir: 107/287 Dim: 3000/45
72,44:17.878N,020:01.294E,145M,AT,LYVA, Dir: 80/260 Dim: 1155/51
73,45:08.850N,021:18.583E,81M,AT,LYVR, Dir: 12/192 Dim: 1200/45
74,45:20.385N,020:27.246E,76M,AT,LYZR, Dir: 155/335 Dim: 1100/60
75,44:49.567N,020:10.223E,73M,AT,Majur, Dir: 171/351 Dim: 1400/30
76,45:39.133N,018:16.974E,88M,AT,Marjanci, Dir: 0/180 Dim: 1000/45
77,45:01.733N,019:27.633E,81M,AT,Martinci, Dir: 112/292 Dim: 850/30
78,46:05.643N,019:44.847E,100M,AT,MBM Kronos, Dir: 170/350 Dim: 370/30
79,45:43.860N,018:47.346E,77M,AT,Mirkovac, Dir: 90/270 Dim: 800/35
