1,49:48.456N,019:00.117E,390M,AT,Bielsko Biala, Dir: 90/270 Dim: 700/80
2,49:40.410N,017:17.652E,235M,AT,Bohunovice, Dir: 70/250 Dim: 800/40
3,48:27.350N,017:30.906E,180M,AT,Trnava, Dir: 140/320 Dim: 1200/150
4,48:59.970N,018:11.533E,230M,AT,Dubnica, Dir: 50/230 Dim: 800/80
5,49:35.484N,018:22.764E,420M,AT,Frydlant, Dir: 78/258 Dim: 800/80
6,50:16.248N,018:40.367E,230M,AT,Gliwice, Dir: 100/280 Dim: 800/80
7,49:19.062N,017:34.140E,220M,AT,Holesov, Dir: 50/230 Dim: 1200/60
8,49:32.808N,017:42.042E,240M,AT,Hranice, Dir: 50/230 Dim: 800/80
9,50:14.300N,019:02.033E,270M,AT,Muchowiec, Dir: 70/250 Dim: 800/80
10,48:39.783N,021:14.760E,232M,AT,Kosice, Dir: 12/192 Dim: 1000/30
11,50:04.782N,019:47.083E,230M,AT,Balice, Dir: 65/245 Dim: 1000/30
12,48:12.067N,017:28.317E,120M,AT,Kralova, Dir: 100/280 Dim: 800/40
13,50:04.482N,017:41.082E,370M,AT,Krnov, Dir: 120/300 Dim: 800/120
14,49:17.352N,017:24.768E,190M,AT,Kromeriz, Dir: 30/210 Dim: 800/40
15,49:40.848N,021:44.280E,280M,AT,Krosno, Dir: 110/290 Dim: 1000/100
16,49:01.848N,017:26.382E,180M,AT,Kunovice, Dir: 30/210 Dim: 800/40
17,48:20.616N,019:43.980E,210M,AT,Lucenec, Dir: 135/315 Dim: 1400/40
18,48:37.332N,018:19.956E,190M,AT,Male Bielice, Dir: 70/250 Dim: 1100/150
19,49:04.098N,018:56.910E,410M,AT,Martin, Dir: 8/188 Dim: 800/80
20,50:19.404N,021:27.733E,160M,AT,Mielec, Dir: 90/270 Dim: 1100/40
21,48:08.460N,020:47.220E,120M,AT,Miskolc, Dir: 160/340 Dim: 800/80
22,48:16.830N,018:08.184E,130M,AT,Nitra, Dir: 145/325 Dim: 1100/150
23,49:44.868N,020:37.290E,250M,AT,Nowy Sacz, Dir: 41/221 Dim: 800/150
24,49:27.888N,020:02.880E,610M,AT,Nowy Targ, Dir: 120/300 Dim: 800/120
25,48:35.832N,019:15.900E,360M,AT,Ocova, Dir: 80/260 Dim: 800/100
26,49:35.376N,017:12.650E,250M,AT,Olomouc, Dir: 100/280 Dim: 750/80
27,49:41.886N,018:06.804E,250M,AT,Mosnov, Dir: 46/226 Dim: 2900/80
28,49:12.018N,017:30.912E,180M,AT,Otrokovice+, Dir: 170/350 Dim: 700/40
29,48:37.602N,017:49.662E,160M,AT,Piestany, Dir: 31/211 Dim: 2000/40
30,49:04.560N,020:15.084E,700M,AT,Poprad, Dir: 50/230 Dim: 800/100
31,49:25.716N,017:24.300E,200M,AT,Prerov, Dir: 60/240 Dim: 2500/100
32,48:46.062N,018:35.256E,260M,AT,Prievidza, Dir: 43/223 Dim: 950/100
33,49:04.717N,021:05.904E,330M,AT,Raznany, Dir: 160/340 Dim: 1100/100
34,49:05.262N,019:22.332E,490M,AT,Ruzomberok, Dir: 75/255 Dim: 800/80
35,50:04.386N,018:37.812E,260M,AT,Rybnik, Dir: 115/295 Dim: 800/80
36,50:06.317N,022:02.883E,200M,AT,Rzeszow, Dir: 80/260 Dim: 800/80
37,48:39.672N,017:19.506E,190M,AT,Senica, Dir: 120/300 Dim: 1000/90
38,48:38.283N,019:07.896E,310M,AT,Sliac, Dir: 180/360 Dim: 1000/30
39,48:56.450N,020:32.033E,490M,AT,Spisska Nova Ves, Dir: 118/298 Dim: 1200/70
40,49:20.033N,021:34.217E,350M,AT,Svidnik, Dir: 10/190 Dim: 1100/40
41,48:52.524N,018:00.480E,210M,AT,Trencin, Dir: 40/220 Dim: 1000/100
42,48:38.040N,022:15.883E,110M,AT,Uzhorod, Dir: 100/280 Dim: 1800/50
43,49:55.908N,018:04.140E,240M,AT,Zabreh, Dir: 97/277 Dim: 900/100
44,49:46.344N,019:13.302E,370M,AT,Zar+, Dir: 80/260 Dim: 500/60
45,49:13.920N,018:36.222E,310M,AT,Zilina, Dir: 50/230 Dim: 1000/80
46,47:57.780N,018:11.466E,110M,AT,Nove Zamky, Dir: 155/335 Dim: 1000/80
47,50:05.484N,020:12.102E,200M,AT,Pobiednik Wielky, Dir: 90/270 Dim: 1000/100
48,47:54.270N,020:24.774E,210M,AT,Eger, Dir: 159/339 Dim: 800/50
49,47:48.696N,019:58.716E,350M,AT,Pipishegy, Dir: 140/320 Dim: 800/120
50,47:48.618N,020:25.632E,130M,AT,Maklar, Dir: 166/346 Dim: 800/80
51,47:59.448N,021:41.430E,100M,AT,Nyiregyhaza, Dir: 0/180 Dim: 1100/40
52,47:45.690N,018:43.668E,120M,AT,Esztergom, Dir: 20/200 Dim: 800/80
53,49:01.794N,021:18.930E,320M,AT,Presov, Dir: 51/231 Dim: 800/40
54,48:56.310N,021:59.750E,0M,AT,Kamenica, Dir: 69/249 Dim: 800/100
55,49:35.334N,17:18.005E,220M,T,SILO,
56,50:04.383N,17:18.020E,897M,T,KARLOVA STUD.,
57,49:51.608N,17:18.503E,630M,T,KNEZPOLE,
58,50:11.394N,17:18.564E,1040M,T,KOBERSTEJN ZR,
59,50:00.918N,17:19.026E,660M,T,MALA MORAVKA,
60,48:53.743N,17:19.120E,180M,T,SILO,
