1,49:14.033N,16:33.108E,260M,AT,Medlanky, Dir: 154/334 Dim: 800/80
2,49:57.630N,17:00.918E,330M,AT,Sumperk, Dir: 180/360 Dim: 800/80
3,48:47.448N,16:53.550E,160M,AT,Breclav, Dir: 80/260 Dim: 800/80
4,48:59.814N,18:11.532E,240M,AT,Dubnica, Dir: 50/230 Dim: 800/80
5,49:32.610N,17:42.090E,250M,AT,Hranice, Dir: 50/230 Dim: 800/80
6,50:04.482N,17:41.130E,360M,AT,Krnov, Dir: 120/300 Dim: 800/120
7,49:17.130N,17:24.780E,190M,AT,Kromeriz, Dir: 30/210 Dim: 800/40
8,49:22.098N,16:06.966E,550M,AT,Krizanov, Dir: 140/320 Dim: 800/80
9,48:37.218N,18:19.998E,190M,AT,Male Bielice, Dir: 70/250 Dim: 1100/150
10,48:35.700N,19:16.050E,380M,AT,Ocova, Dir: 80/260 Dim: 800/100
11,49:35.268N,17:12.648E,240M,AT,Olomouc, Dir: 100/280 Dim: 750/80
12,49:47.898N,16:41.268E,403M,AT,Moravska Trebova, Dir: 90/270 Dim: 800/60
13,49:44.364N,16:15.210E,570M,AT,Policka, Dir: 155/335 Dim: 1500/100
14,48:45.972N,18:35.310E,270M,AT,Prievidza, Dir: 42/222 Dim: 950/115
15,49:26.988N,17:08.034E,230M,AT,Prostejov, Dir: 122/302 Dim: 1000/60
16,48:39.516N,17:19.560E,200M,AT,Senica, Dir: 120/300 Dim: 1000/90
17,48:52.446N,18:00.540E,200M,AT,Trencin, Dir: 40/220 Dim: 1000/100
18,48:27.168N,17:31.050E,174M,AT,Trnava, Dir: 140/320 Dim: 1200/150
19,49:04.452N,20:15.144E,700M,AT,Poprad, Dir: 50/230 Dim: 800/100
20,48:38.286N,19:08.052E,310M,AT,Sliac, Dir: 180/360 Dim: 1000/30
21,49:48.348N,19:00.258E,370M,AT,Bielsko Biala, Dir: 90/270 Dim: 700/80
22,50:14.298N,19:02.034E,280M,AT,Muchowiec, Dir: 70/250 Dim: 800/80
23,50:04.668N,19:47.082E,234M,AT,Balice, Dir: 70/250 Dim: 1000/30
24,50:18.102N,17:17.850E,405M,AT,Jesenik, Dir: 50/230 Dim: 1000/90
25,49:18.114N,17:01.560E,270M,AT,Vyskov, Dir: 26/206 Dim: 1300/60
26,49:03.978N,18:57.012E,410M,AT,Martin, Dir: 8/188 Dim: 800/80
27,49:27.768N,20:03.018E,615M,AT,Nowy Targ, Dir: 120/300 Dim: 800/120
28,50:05.382N,20:12.102E,220M,AT,Pobiednik Wielky, Dir: 90/270 Dim: 1000/100
29,49:01.770N,17:26.382E,180M,AT,Kunovice, Dir: 30/210 Dim: 800/40
30,49:13.872N,18:36.366E,310M,AT,Zilina, Dir: 50/230 Dim: 1000/80
31,49:05.154N,19:22.380E,486M,AT,Ruzomberok, Dir: 75/255 Dim: 800/80
32,48:37.500N,17:49.716E,161M,AT,Piestany, Dir: 33/213 Dim: 2000/40
33,50:05.034N,16:26.634E,425M,AT,Zamberk, Dir: 110/290 Dim: 800/80
34,49:55.620N,16:11.148E,294M,AT,Vysoke myto, Dir: 140/320 Dim: 1000/80
35,50:21.852N,16:06.816E,295M,AT,Nove mesto, Dir: 80/260 Dim: 900/40
36,49:49.620N,16:00.348E,470M,AT,Skutec, Dir: 120/300 Dim: 900/200
37,48:24.552N,16:11.466E,206M,AT,Stockerau, Dir: 54/234 Dim: 800/80
38,49:58.758N,16:25.662E,408M,AT,Usti nad Orlici, Dir: 140/320 Dim: 900/100
39,50:16.206N,18:40.368E,230M,AT,Gliwice, Dir: 100/280 Dim: 800/80
40,50:04.284N,18:37.698E,280M,AT,Rybnik, Dir: 115/295 Dim: 700/100
41,49:55.698N,18:04.698E,240M,AT,Zabreh, Dir: 97/277 Dim: 900/100
42,49:41.766N,18:06.648E,246M,AT,LKMT, Dir: 46/226 Dim: 2900/80
43,49:09.084N,16:41.634E,230M,AT,LKTB, Dir: 95/275 Dim: 1000/30
44,49:10.002N,16:07.566E,450M,AT,LKNA, Dir: 130/310 Dim: 2400/50
45,49:25.548N,17:24.300E,210M,AT,LKPO, Dir: 60/240 Dim: 2500/100
46,49:35.370N,18:22.812E,415M,AT,Frydlant, Dir: 80/260 Dim: 800/80
47,49:18.870N,17:34.134E,230M,AT,Holesov, Dir: 50/230 Dim: 1200/60
48,48:58.800N,17:07.482E,200M,AT,Kyjov, Dir: 150/330 Dim: 1000/120
49,49:40.230N,17:17.616E,220M,AT,Bohunovice, Dir: 70/250 Dim: 800/40
50,48:24.198N,17:07.200E,210M,AT,Malacky, Dir: 20/200 Dim: 2400/50
51,49:11.898N,17:31.002E,190M,AT,Otrokovice+, Dir: 170/350 Dim: 700/30
52,48:49.104N,16:05.700E,245M,AT,Znojmo, Dir: 78/258 Dim: 800/50
53,50:19.710N,15:57.528E,268M,AT,Jaromer, Dir: 140/320 Dim: 1000/80
54,49:46.236N,19:13.356E,370M,AT,Zar+, Dir: 80/260 Dim: 500/60
55,49:29.148N,17:03.480E,250M,AT,Stichovice, Dir: 135/315 Dim: 900/40
56,48:48.636N,17:08.052E,170M,AT,Holic, Dir: 40/220 Dim: 1200/100
57,49:51.288N,19:20.411E,350M,T,ANDRYCHOW,
58,48:26.965N,18:54.707E,560M,T,BAN STIAVNICA,
59,48:43.924N,19:08.572E,340M,T,BAN.BYSTRICA,
60,48:43.489N,18:17.183E,200M,T,BANOVCE FABRIKA,
61,48:43.221N,18:15.904E,200M,T,BANOVCE N.BEBR.,
62,49:49.031N,19:03.590E,350M,T,BIELSKO-BIALA,
63,49:21.508N,16:39.040E,290M,T,BLANSKO,
64,49:54.534N,18:20.860E,230M,T,BOHUMIN,
65,49:29.242N,16:39.777E,400M,T,BOSKOVICE,
66,50:08.824N,17:00.859E,630M,T,BRANNA,
67,48:45.604N,16:53.491E,150M,T,BRECLAV,
68,49:11.149N,16:35.762E,210M,T,BRNO,
69,49:13.986N,16:31.138E,230M,T,BRNO PREHRADA,
70,49:59.365N,17:27.906E,550M,T,BRUNTAL,
71,49:37.751N,16:20.536E,610M,T,BYSTRE,
72,49:31.430N,16:15.285E,540M,T,BYSTRICE N.PER.,
73,49:26.330N,18:47.343E,420M,T,CADCA,
74,49:44.770N,18:37.312E,280M,T,CES.TESIN,
75,49:53.740N,16:26.873E,370M,T,CES.TREBOVA,
76,49:06.208N,17:12.837E,422M,T,CIMBURK ZRIC.,
77,50:15.296N,16:47.884E,1045M,T,CZARNA GORA TV,
78,49:07.449N,16:07.495E,323M,T,DALESICE,
79,48:32.989N,19:25.074E,370M,T,DETVA,
80,50:04.427N,17:09.684E,1300M,T,DLOUHE STRANE PV,
81,50:17.309N,16:09.641E,280M,T,DOBRUSKA,
82,49:12.701N,19:18.132E,480M,T,DOLNY KUBIN,
83,48:55.060N,17:05.764E,200M,T,DUBNANY,
84,49:04.980N,16:09.678E,380M,T,DUKOVANY EL,
85,50:24.449N,16:23.151E,560M,T,DUSZNIKI ZDROJ,
86,49:40.805N,18:21.050E,290M,T,FRYDEK-MISTEK,
87,49:35.336N,18:21.404E,360M,T,FRYDLANT N.OSTR.,
88,49:43.026N,17:54.846E,290M,T,FULNEK,
89,50:18.157N,18:40.373E,220M,T,GLIWICE,
90,50:12.037N,17:49.979E,270M,T,GLUBCZYCE,
91,50:19.430N,17:22.964E,280M,T,GLUCHOLAZY,
92,50:04.120N,16:55.979E,410M,T,HANUSOVICE,
93,49:47.078N,18:25.800E,230M,T,HAVIROV,
94,48:25.554N,17:48.386E,150M,T,HLOHOVEC,
95,49:53.286N,18:10.678E,214M,T,HLUCIN JEZERO,
96,48:34.233N,19:57.629E,300M,T,HNUSTA,
97,49:19.866N,17:34.250E,220M,T,HOLESOV,
98,50:04.065N,15:59.406E,250M,T,HOLICE,
99,49:58.147N,17:36.512E,550M,T,HORNI BENESOV,
100,49:33.130N,17:44.029E,240M,T,HRANICE,
101,48:34.610N,19:31.614E,480M,T,HRINOVA,
102,48:49.737N,16:24.264E,180M,T,HRUSOVANY,
103,48:56.426N,16:44.026E,200M,T,HUSTOPECE,
104,50:00.156N,16:13.416E,290M,T,CHOCEN,
105,50:08.113N,19:25.297E,270M,T,CHRZANOW,
106,48:59.737N,18:13.795E,240M,T,ILAVA,
107,49:52.612N,20:05.043E,253M,T,J.DOBCZYCKIE HRA,
108,49:55.499N,18:47.983E,251M,T,J.GOCZALKOWICKIE,
109,50:02.025N,16:36.364E,430M,T,JABLONNE N.O.,
110,49:35.249N,18:45.496E,390M,T,JABLUNKOV,
111,50:20.802N,15:55.123E,260M,T,JAROMER,
112,48:28.448N,17:39.115E,155M,T,JASLOVSKE BOH.,
113,50:23.732N,17:00.545E,280M,T,JAVORNIK,
114,50:12.008N,19:16.339E,270M,T,JAWORNO,
115,49:20.416N,16:45.317E,463M,T,JEDOVNICE HRAZ,
116,48:37.253N,20:15.157E,250M,T,JELSAVA,
117,50:13.385N,17:12.233E,450M,T,JESENIK,
118,49:37.993N,16:42.590E,340M,T,JEVICKO,
119,49:51.959N,19:40.955E,300M,T,KALWARIA ZEBR.,
120,49:51.682N,18:32.539E,230M,T,KARVINA,
121,50:20.810N,18:10.821E,170M,T,KEDZIERZYN KOZLE,
122,49:52.744N,19:13.514E,270M,T,KETY,
123,50:26.479N,16:38.884E,300M,T,KLODZKO,
124,49:35.441N,16:52.768E,430M,T,KONICE,
125,49:36.270N,18:09.474E,320M,T,KOPRIVNICE,
126,48:20.927N,16:20.057E,170M,T,KORNEUBURG,
127,50:04.145N,19:57.292E,220M,T,KRAKOW,
128,50:05.029N,16:45.994E,570M,T,KRALIKY,
129,48:42.240N,18:55.026E,590M,T,KREMNICA,
130,50:05.369N,17:41.934E,330M,T,KRNOV,
131,49:17.783N,17:23.520E,190M,T,KROMERIZ,
132,49:49.435N,17:39.949E,420M,T,KRUZBERK HRAZ,
133,50:25.975N,16:14.806E,400M,T,KUDOWA ZDROJ,
134,49:18.173N,16:32.022E,300M,T,KURIM,
135,50:12.050N,18:18.538E,180M,T,KUZNIA RACIBOR.,
136,49:00.753N,17:07.748E,190M,T,KYJOV,
137,48:43.325N,16:23.148E,180M,T,LAA,
138,50:20.948N,16:52.351E,440M,T,LADEK ZDROJ,
139,49:54.745N,16:36.530E,370M,T,LANSKROUN,
140,50:02.003N,16:30.674E,370M,T,LETOHRAD,
141,49:32.743N,16:34.867E,330M,T,LETOVICE,
142,49:18.530N,16:55.856E,340M,T,LHOTA HRAZ,
143,49:31.700N,17:35.275E,240M,T,LIPNIK N.BECV.,
144,49:02.373N,19:44.289E,640M,T,LIPT HRADOK,
145,49:05.741N,19:29.193E,515M,T,LIPT.MARA,
146,50:06.122N,16:20.879E,590M,T,LITICKY CHLUM,
147,49:52.278N,16:18.823E,330M,T,LITOMYSL,
148,49:42.227N,17:04.956E,230M,T,LITOVEL,
149,48:26.339N,17:01.250E,170M,T,MALACKY,
150,49:04.655N,18:55.072E,400M,T,MARTIN,
151,49:36.768N,16:03.193E,710M,T,MEDLOV RYB.,
152,50:08.857N,16:39.947E,440M,T,MIEDZYLESIE,
153,50:21.613N,20:02.211E,300M,T,MIECHOW,
154,48:48.144N,16:38.100E,220M,T,MIKULOV,
155,48:56.974N,16:18.909E,250M,T,MIROSLAV,
156,48:34.220N,16:34.496E,190M,T,MISTELBACH,
157,49:46.365N,16:55.204E,270M,T,MOHELNICE,
158,49:47.621N,17:26.792E,570M,T,MOR.BEROUN,
