1,51:50.088N,016:31.385E,94M,AT,Leszno, Dir: 58/238 Dim: 920/100
2,50:53.892N,015:47.082E,342M,AT,Jelenia Gora, Dir: 110/290 Dim: 780/51
3,50:57.390N,016:46.392E,150M,AT,Miroslawice, Dir: 175/355 Dim: 800/50
4,51:58.710N,015:27.780E,77M,AT,Przylep, Dir: 61/241 Dim: 880/100
5,51:11.904N,017:00.810E,119M,AT,Szymanow, Dir: 144/324 Dim: 770/50
6,50:31.626N,018:05.117E,208M,AT,Kamien Slaski, Dir: 105/285 Dim: 2300/60
7,51:42.120N,017:50.910E,143M,AT,Ostrow Michalkow, Dir: 105/285 Dim: 900/100
8,52:08.262N,015:47.916E,59M,AT,Babimost, Dir: 67/247 Dim: 2500/60
9,50:37.434N,015:38.910E,490M,AT,Vrchlabi, Dir: 110/290 Dim: 850/130
10,50:37.836N,017:46.986E,188M,AT,Opole, Dir: 73/253 Dim: 750/100
11,51:25.380N,016:12.000E,156M,AT,Lubin, Dir: 127/307 Dim: 1000/30
12,51:06.161N,016:53.150E,123M,AT,Wroclaw, Dir: 116/296 Dim: 2500/58
13,52:08.317N,15:47.917E,59M,T,BABIMOST MIL ZIE,
14,51:41.300N,17:17.100E,105M,T,BASZKOW PALACE,
15,51:39.180N,18:26.120E,144M,T,BLASZKI,
16,51:42.030N,16:44.950E,106M,T,BOJANOWO,
17,51:16.110N,15:33.030E,173M,T,BOLESLAWIEC,
18,50:55.310N,16:05.880E,331M,T,BOLKOW,
19,51:55.010N,17:14.540E,121M,T,BOREK,
20,51:47.700N,15:53.820E,69M,T,BOROWIEC,
21,51:46.940N,15:29.340E,116M,T,BRONISZOW,
22,50:33.717N,16:20.567E,400M,T,BROUMOU,
23,50:52.183N,18:03.333E,174M,T,BUDKOWICE,
24,51:23.750N,17:21.440E,155M,T,BUKOWICE,
25,51:06.850N,18:12.833E,195M,T,BYCZYNA RATUSZ,
26,51:43.500N,15:49.833E,84M,T,BYTOM ODRZ BF,
27,51:42.030N,18:10.080E,171M,T,CHELMCE,
28,51:25.100N,15:54.090E,148M,T,CHOCIANOW,
29,52:01.810N,15:37.810E,51M,T,CIGACICE,
30,50:39.133N,15:44.517E,1300M,T,CERNA HORA KRKON,
31,51:43.130N,16:37.100E,96M,T,CZERNINA,
32,50:56.350N,17:56.233E,161M,T,DABROWKA,
33,51:49.320N,16:24.350E,99M,T,DLUGIE NOWE,
34,51:59.180N,17:03.850E,80M,T,DOLSK,
35,51:56.690N,15:18.960E,87M,T,DRZONÓW,
36,50:44.300N,18:11.583E,182M,T,DYLAKI KOSCIOL,
37,50:46.533N,15:32.183E,1390M,T,ELBQUELLE,
38,51:38.230N,15:53.390E,181M,T,GAWORZYCE,
39,52:02.490N,17:45.490E,78M,T,GIZALKI,
40,51:40.217N,16:06.050E,76M,T,GLOGOW EBXODER,
41,51:41.083N,15:59.167E,81M,T,GLOGOW SCHORNSTE,
42,51:11.017N,17:40.833E,164M,T,GOLEBICE,
43,51:21.410N,15:35.640E,170M,T,GOLNICE,
44,51:53.120N,17:02.120E,114M,T,GOSTYN,
45,51:39.620N,16:32.370E,88M,T,GORA,
46,50:32.083N,17:58.667E,163M,T,GORAZDZE,
47,51:30.350N,18:07.630E,128M,T,GRABOW,
48,51:46.920N,16:01.170E,79M,T,GROCHOWICE,
49,52:02.340N,18:03.690E,104M,T,GRODZIEC,
50,50:34.100N,18:14.500E,191M,T,GRODZISKO SKRZYZ,
51,51:52.350N,16:34.000E,101M,T,GRONOWO,
52,51:02.040N,15:25.740E,322M,T,GRYFOW SLASKI,
53,50:47.660N,15:30.080E,1171M,T,HALA SZRENICKA,
54,50:45.040N,15:43.490E,1231M,T,HALA ZLOTOWKA,
55,50:48.267N,15:25.450E,846M,T,HARRACHOV E65 ZO,
56,51:47.130N,16:32.930E,82M,T,HENRYKOWO,
57,51:53.920N,17:57.250E,90M,T,JANKOW,
