1,49:14.874N,008:53.610E,156M,AT,Sinsheim, Dir: 120/300 Dim: 900/30
2,48:56.010N,008:49.080E,295M,AT,Mühlacker, Dir: 70/250 Dim: 630/30
3,49:34.050N,008:36.667E,95M,AT,Weinheim, Dir: 170/350 Dim: 775/30
4,49:21.150N,009:07.317E,274M,AT,Schreckhof, Dir: 135/315 Dim: 400/30
5,49:28.380N,008:30.840E,93M,AT,Mannheim, Dir: 90/270 Dim: 1066/25
6,49:08.250N,008:33.600E,111M,AT,Bruchsal, Dir: 120/300 Dim: 500/30
7,49:14.300N,008:40.767E,128M,AT,Malsch, Dir: 70/250 Dim: 800/60
8,49:19.583N,008:31.647E,96M,AT,Hockenheim, Dir: 140/320 Dim: 1000/60
9,49:23.906N,009:07.474E,330M,AT,Mosbach, Dir: 150/330 Dim: 350/25
10,49:00.024N,009:05.300E,271M,AT,Löchgau, Dir: 110/290 Dim: 600/30
11,49:18.483N,008:27.006E,97M,AT,Speyer, Dir: 165/345 Dim: 1000/30
12,48:37.917N,009:25.833E,352M,AT,Hahnweide, Dir: 125/305 Dim: 600/25
13,49:34.914N,009:24.119E,403M,AT,Walldürn, Dir: 58/238 Dim: 820/20
14,48:55.200N,009:27.317E,294M,AT,Backnang, Dir: 106/286 Dim: 500/30
15,48:29.148N,008:46.666E,495M,AT,Eutingen, Dir: 60/240 Dim: 530/30
16,48:32.187N,009:26.250E,700M,AT,Grabenstetten, Dir: 115/295 Dim: 950/30
17,48:58.971N,008:20.046E,115M,AT,Karlsruhe, Dir: 30/210 Dim: 900/60
18,49:07.100N,009:47.033E,398M,AT,Schwäbisch Hall, Dir: 85/265 Dim: 1500/60
19,49:10.583N,008:08.167E,162M,AT,Landau, Dir: 100/280 Dim: 590/50
20,49:40.717N,008:58.300E,320M,AT,Michelstadt, Dir: 83/263 Dim: 590/50
21,48:52.467N,008:12.783E,113M,AT,Rastatt, Dir: 51/231 Dim: 900/60
22,49:20.750N,008:29.300E,91M,AT,Herrenteich, Dir: 40/220 Dim: 900/60
23,49:07.300N,009:10.767E,159M,AT,Heilbronn-Böckingen, Dir: 70/250 Dim: 760/60
24,49:20.650N,009:24.017E,354M,AT,Möckmühl-Korb, Dir: 80/260 Dim: 670/50
25,49:41.700N,009:10.950E,435M,AT,Mainbullau, Dir: 54/234 Dim: 700/30
26,48:36.500N,009:28.533E,386M,AT,Dettingen, Dir: 130/310 Dim: 560/30
27,48:31.917N,008:40.667E,596M,AT,Haiterbach Nagold, Dir: 70/250 Dim: 470/50
28,48:06.467N,008:45.750E,962M,AT,Klippeneck, Dir: 50/230 Dim: 1000/60
29,49:19.800N,008:12.767E,118M,AT,Lachen_Speyersdorf, Dir: 112/292 Dim: 1030/50
30,48:16.750N,008:25.700E,670M,AT,Winzeln, Dir: 147/327 Dim: 700/30
31,49:57.650N,008:38.483E,119M,AT,Egelsbach, Dir: 90/270 Dim: 1050/60
32,48:23.133N,009:04.600E,794M,AT,Farrenberg, Dir: 100/280 Dim: 750/50
33,48:30.167N,008:28.717E,697M,AT,Musbach-Freudenstadt, Dir: 168/348 Dim: 1000/50
34,48:14.989N,009:03.893E,891M,AT,Albstadt, Dir: 90/270 Dim: 970/30
35,48:17.083N,009:27.933E,703M,AT,Hayingen, Dir: 132/312 Dim: 810/50
36,48:32.817N,008:56.750E,395M,AT,Polltringen, Dir: 173/353 Dim: 400/30
