1,51:42.348N,002:07.920W,183M,AT,Aston Down, Dir: 30/210 Dim: 1500/30
2,51:42.870N,002:17.040W,213M,AT,Nympsfield, Dir: 85/265 Dim: 1100/20
3,50:40.686N,001:06.570W,14M,AT,Bembridge, Dir: 120/300 Dim: 837/23
4,51:54.918N,001:08.202W,81M,AT,Bicester, Dir: 180/360 Dim: 1100/50
5,52:08.436N,001:50.850W,41M,AT,Bidford, Dir: 60/240 Dim: 800/25
6,51:36.660N,000:48.498W,157M,AT,Booker, Dir: 60/240 Dim: 735/50
7,53:53.166N,002:37.248W,180M,AT,Bowland Forest, Dir: 120/300 Dim: 785/30
8,51:12.498N,000:49.752E,183M,AT,Challock, Dir: 25/205 Dim: 680/50
9,53:18.300N,001:43.752W,395M,AT,Camphill, Dir: 180/360 Dim: 850/50
10,51:52.032N,000:33.084W,149M,AT,Dunstable, Dir: 40/220 Dim: 800/50
11,52:05.190N,001:28.482W,190M,AT,Shenington, Dir: 100/280 Dim: 1000/50
12,52:10.710N,000:06.960W,76M,AT,Gransden Lodge, Dir: 40/220 Dim: 1200/40
13,52:26.382N,001:02.340W,155M,AT,Husbands Bosworth, Dir: 80/260 Dim: 1100/40
14,51:18.948N,002:06.516W,54M,AT,Keevil, Dir: 50/230 Dim: 1500/40
15,51:11.202N,001:01.920W,180M,AT,Lasham, Dir: 90/270 Dim: 1600/40
16,53:12.630N,003:23.040W,43M,AT,Lleweni Parc, Dir: 85/265 Dim: 800/50
17,52:31.020N,002:52.650W,425M,AT,Long Mynd, Dir: 10/190 Dim: 850/40
18,50:55.380N,000:28.470W,32M,AT,Parham, Dir: 40/220 Dim: 683/40
19,50:19.962N,005:10.410W,97M,AT,Perranporth, Dir: 40/220 Dim: 1230/40
20,51:07.740N,002:14.820W,210M,AT,The Park, Dir: 80/260 Dim: 1000/40
21,52:09.960N,000:51.840E,86M,AT,Rattlesden, Dir: 50/230 Dim: 1100/50
22,52:49.560N,002:12.240W,98M,AT,Seighford, Dir: 60/240 Dim: 800/23
23,51:58.770N,003:12.366W,290M,AT,Talgarth, Dir: 55/235 Dim: 1000/25
24,51:44.748N,003:34.848W,238M,AT,Rhigos, Dir: 80/260 Dim: 1000/40
25,53:18.462N,000:10.050E,10M,AT,Strubby, Dir: 78/258 Dim: 1200/40
26,52:27.420N,001:09.180E,55M,AT,Tibenham, Dir: 20/200 Dim: 1600/40
27,51:43.068N,002:50.784W,24M,AT,Usk, Dir: 100/280 Dim: 1000/40
28,50:51.150N,003:16.500W,281M,AT,North Hill, Dir: 75/255 Dim: 800/40
29,52:14.502N,002:52.464W,95M,AT,Shobdon, Dir: 90/270 Dim: 900/25
30,52:50.070N,002:46.218W,100M,AT,Sleap, Dir: 50/230 Dim: 802/46
