1,29:13.320N,099:49.164W,280M,AT,, Dir: 155/335 Dim: 1000/50
2,29:11.328N,100:16.398W,320M,AT,Anacacho, Dir: 140/320 Dim: 1000/50
3,28:58.020N,099:38.700W,221M,AT,Batesville, Dir: 170/350 Dim: 1000/50
4,27:52.200N,099:23.100W,184M,AT,Callaghan, Dir: 150/330 Dim: 1000/50
5,28:31.416N,099:49.260W,175M,AT,Carrizo Springs, Dir: 135/315 Dim: 1200/50
6,29:20.256N,098:50.700W,235M,AT,Castroville, Dir: 161/341 Dim: 1200/50
7,28:15.480N,099:48.648W,190M,AT,Catarina, Dir: 140/320 Dim: 1000/50
8,28:52.056N,099:59.238W,206M,AT,Chaparrosa, Dir: 160/340 Dim: 1000/50
9,28:11.754N,100:04.170W,200M,AT,Chupadera, Dir: 132/312 Dim: 1000/50
10,28:37.566N,100:09.390W,218M,AT,Comanche, Dir: 150/330 Dim: 1400/50
11,28:27.600N,099:13.293W,137M,AT,Cotulla, Dir: 135/315 Dim: 1300/50
12,28:41.820N,099:48.840W,180M,AT,Crystal City, Dir: 135/315 Dim: 1000/50
13,29:21.780N,100:55.335W,300M,AT,Del Rio, Dir: 140/320 Dim: 1500/50
14,29:08.190N,098:56.310W,210M,AT,Devine, Dir: 173/353 Dim: 1000/50
15,28:41.220N,099:11.400W,163M,AT,Dilley, Dir: 130/310 Dim: 1000/50
16,28:51.138N,100:30.480W,267M,AT,Eagle Pass, Dir: 135/315 Dim: 2000/50
17,28:45.972N,100:04.608W,205M,AT,Flying G, Dir: 142/322 Dim: 1100/50
18,30:14.460N,098:53.400W,520M,AT,Fredericksburg, Dir: 147/327 Dim: 1300/50
19,27:52.860N,098:35.280W,180M,AT,Freer, Dir: 140/320 Dim: 1000/50
20,29:21.672N,099:10.116W,280M,AT,Hondo, Dir: 90/270 Dim: 1750/50
21,30:14.880N,098:36.090W,454M,AT,Johnson City, Dir: 177/357 Dim: 1500/50
22,29:58.200N,099:04.170W,500M,AT,Kerrville, Dir: 131/311 Dim: 1500/50
23,28:04.500N,099:34.200W,242M,AT,La Esperanza, Dir: 140/320 Dim: 1000/50
24,29:30.348N,100:22.020W,525M,AT,Leona, Dir: 155/335 Dim: 1000/50
25,28:15.600N,099:36.030W,156M,AT,Piloncillo, Dir: 170/350 Dim: 1000/50
26,29:38.460N,100:22.740W,505M,AT,Pinon Ranch, Dir: 160/340 Dim: 1000/50
27,28:57.060N,098:31.470W,130M,AT,Pleasanton, Dir: 163/343 Dim: 1000/50
28,29:56.490N,100:10.020W,725M,AT,Rocksprings, Dir: 140/320 Dim: 1000/50
29,29:09.600N,100:24.714W,305M,AT,Spofford Frontier, Dir: 22/202 Dim: 1000/50
30,28:12.480N,099:09.240W,118M,AT,Uno Mas Ranch, Dir: 132/312 Dim: 1200/50
31,29:12.510N,099:44.232W,285M,AT,Uvalde, Dir: 155/335 Dim: 1000/50
32,30:08.112N,099:43.920W,700M,AT,West Kerr, Dir: 158/338 Dim: 1000/50
33,29:40.914N,101:09.750W,495M,AT,Robertson Ranch, Dir: 45/225 Dim: 1000/50
34,30:16.145N,100:27.060W,705M,AT,Canyon Ranch, Dir: 150/330 Dim: 1000/50
35,28:23.940N,098:21.810W,75M,AT,Paisano Ranch, Dir: 150/330 Dim: 1000/50
36,30:06.600N,098:26.520W,450M,AT,Tatum Ranch, Dir: 2/182 Dim: 1000/50
37,29:43.414N,098:41.682W,430M,AT,Boerne Stage, Dir: 170/350 Dim: 1000/50
38,29:11.281N,100:16.450W,320M,T,Anacacho,
39,28:57.854N,99:37.510W,217M,T,Batesville,
40,28:34.062N,99:34.138W,160M,T,Big Wells,
41,29:16.767N,100:26.040W,336M,T,Brackettville,
42,27:52.505N,99:23.733W,191M,T,Callaghan,
43,28:31.040N,99:49.077W,175M,T,Carrizo Springs,
44,29:20.157N,98:50.913W,235M,T,Castroville,
45,28:14.898N,99:48.393W,190M,T,Catarina,
46,28:52.376N,99:59.372W,206M,T,Chaparrosa,
47,28:11.324N,100:04.071W,192M,T,Chupadera,
48,28:37.682N,100:09.537W,218M,T,Comanche Ranch,
49,29:29.303N,99:41.823W,406M,T,Concan,
50,28:27.219N,99:12.892W,137M,T,Cotulla,
51,29:11.926N,99:26.450W,246M,T,Coyote Ranch,
52,28:41.646N,99:48.803W,180M,T,Crystal City,
53,29:21.985N,100:55.086W,300M,T,Del Rio,
54,29:08.025N,98:56.476W,210M,T,Devine,
55,28:40.958N,99:11.095W,163M,T,Dilley,
56,28:51.431N,100:30.738W,267M,T,Eagle Pass Maver,
57,28:45.750N,100:04.605W,205M,T,Flying G,
58,30:14.305N,98:54.332W,514M,T,Fredericksburg,
59,27:53.045N,98:35.761W,159M,T,Freer,
60,29:07.002N,99:40.256W,250M,T,Hesse Feed Lot,
61,29:20.991N,99:10.320W,280M,T,Hondo,
62,29:03.596N,99:51.527W,247M,T,Highway 83S & Ne,
63,29:16.381N,99:38.884W,285M,T,Highway 90E & Fr,
64,29:12.595N,99:55.159W,299M,T,Highway 90W & Nu,
65,29:14.231N,100:09.013W,334M,T,Highway 90W & Ra,
66,30:14.592N,98:37.302W,453M,T,Johnson City,
67,29:58.067N,99:04.649W,485M,T,Kerrville,
68,28:03.880N,99:33.796W,257M,T,La Esperanza,
69,28:52.959N,99:51.180W,216M,T,La Paloma,
70,29:44.437N,99:45.573W,511M,T,Leakey,
71,29:30.312N,100:22.219W,525M,T,Leona,
72,27:58.504N,99:22.608W,168M,T,Lewis Ranch,
73,28:27.958N,99:00.025W,122M,T,Los Angeles,
74,28:49.016N,99:06.202W,175M,T,McKinley-Pearsal,
75,29:31.917N,98:56.136W,353M,T,Medina Lake Dam,
76,28:14.871N,99:35.840W,156M,T,Piloncillo,
77,29:38.045N,100:22.461W,505M,T,Pinon Ranch,
78,29:23.514N,100:27.806W,365M,T,Pinto Creek,
79,28:56.999N,98:31.112W,132M,T,Pleasanton,
80,29:56.541N,100:10.212W,725M,T,Rocksprings,
81,29:09.981N,100:25.105W,305M,T,Spofford Frontie,
82,28:11.829N,99:08.449W,115M,T,Uno Mas Ranch,
83,29:12.288N,99:44.406W,285M,T,Uvalde,
84,30:07.917N,99:44.524W,710M,T,West Kerr,
85,29:08.578N,99:08.242W,209M,T,Yancy,
86,29:13.051N,99:44.906W,287M,T,Start Gate,
87,29:12.767N,99:44.709W,285M,T,Finish Gate,
