1,45:05.190N,007:36.036E,280M,AT,AerItalia, Dir: 102/282 Dim: 1050/30
2,45:29.970N,008:06.132E,278M,AT,Biella, Dir: 158/338 Dim: 1400/30
3,45:44.292N,007:21.876E,542M,AT,Aosta, Dir: 86/266 Dim: 1250/40
4,44:32.862N,007:36.918E,380M,AT,Cuneo, Dir: 34/214 Dim: 2500/40
5,43:44.424N,005:47.034E,294M,AT,Vinon, Dir: 23/203 Dim: 1000/50
6,44:03.516N,005:59.502E,450M,AT,Saint Auban, Dir: 20/200 Dim: 600/30
7,44:27.318N,006:02.064E,597M,AT,Gap Aero, Dir: 27/207 Dim: 800/30
8,44:17.328N,005:55.770E,537M,AT,Sisteron, Dir: 177/357 Dim: 1200/100
9,44:23.280N,006:36.456E,1125M,AT,Barcelonette, Dir: 92/272 Dim: 800/30
10,43:36.606N,006:41.916E,217M,AT,Fayence, Dir: 101/281 Dim: 900/50
11,44:27.378N,005:43.428E,686M,AT,Serres la Batie, Dir: 0/180 Dim: 900/50
12,44:42.120N,006:35.862E,900M,AT,Saint Crepin, Dir: 161/341 Dim: 900/50
13,45:13.134N,005:50.856E,218M,AT,Le Versoud, Dir: 45/225 Dim: 900/30
14,45:41.202N,005:26.826E,241M,AT,Morestel, Dir: 130/310 Dim: 800/50
15,45:38.352N,005:52.662E,233M,AT,Chambery, Dir: 178/358 Dim: 2000/40
16,45:55.848N,006:06.234E,460M,AT,Annecy, Dir: 40/220 Dim: 1600/50
17,45:33.588N,005:58.482E,292M,AT,Challes les Eaux, Dir: 145/325 Dim: 1000/50
18,45:57.276N,006:38.238E,534M,AT,Sallanches, Dir: 168/348 Dim: 600/30
19,44:19.398N,006:01.770E,670M,AT,La Motte du Caire, Dir: 2/182 Dim: 1000/50
20,44:30.966N,005:43.914E,815M,AT,Aspres, Dir: 180/360 Dim: 800/50
21,44:20.622N,006:22.320E,1190M,AT,Seyne les Alpes, Dir: 120/300 Dim: 1000/50
22,46:13.110N,007:19.638E,480M,AT,Sion, Dir: 74/254 Dim: 2000/50
23,43:52.158N,006:09.936E,750M,AT,Puimoisson, Dir: 80/260 Dim: 800/50
24,45:48.546N,008:46.164E,240M,AT,Calcinate del Pesce, Dir: 105/285 Dim: 600/30
25,44:03.072N,008:07.614E,35M,AT,Albenga, Dir: 93/273 Dim: 1400/50
26,45:49.344N,006:38.946E,1470M,AT,Megeve altiport, Dir: 155/335 Dim: 650/30
27,45:37.962N,008:43.956E,0M,AT,Malpensa CTR, Dir: 169/349 Dim: 3400/50
28,43:46.788N,006:09.708E,658M,AT,Sainte Croix ULM, Dir: 147/327 Dim: 800/50
29,45:05.226N,006:05.064E,1850M,AT,Alpe Huez, Dir: 60/240 Dim: 500/50
30,45:23.916N,006:38.100E,1950M,AT,Courchevel, Dir: 47/227 Dim: 600/50
31,46:11.838N,006:16.656E,515M,AT,Annemasse, Dir: 120/300 Dim: 1200/50
32,46:07.608N,005:47.988E,511M,AT,Echarmasses, Dir: 10/190 Dim: 650/50
33,45:15.300N,006:47.976E,1290M,AT,Sollieres, Dir: 20/200 Dim: 700/50
34,43:39.438N,007:12.708E,4M,AT,Nizza CTR, Dir: 47/227 Dim: 2000/50
35,43:32.928N,006:56.976E,6M,AT,Mandelieu, Dir: 175/355 Dim: 1500/50
36,45:07.267N,7:31.200E,332M,T,52Prealpi Avio,
37,45:03.625N,6:52.078E,1026M,T,47Oulx,
38,44:46.122N,7:00.974E,2353M,T,48PassoAgnel,
39,45:52.533N,8:24.633E,304M,T,45Omegna,
40,46:12.967N,8:19.300E,461M,T,Crodo Capannoni,
41,46:08.383N,8:18.717E,298M,T,40Masera,
42,44:55.000N,7:28.500E,262M,T,Airasca,
43,44:41.600N,8:01.917E,178M,T,Alba,
44,45:44.017N,7:19.450E,578M,T,Aosta Bf,
45,45:36.283N,7:44.683E,337M,T,Bard Forte,
46,45:04.500N,6:42.667E,1249M,T,Bardonecc Citta,
47,44:43.000N,7:19.500E,430M,T,Barge Piazza Cen,
48,45:33.500N,8:03.833E,397M,T,Biella Svincolo,
49,45:39.667N,8:05.450E,1393M,T,Bielmonte Piazza,
50,44:47.283N,7:07.800E,1189M,T,Bobbiopellice Pi,
51,45:42.950N,8:16.950E,355M,T,Borgosesia Stazi,
52,45:58.083N,8:42.450E,295M,T,Campi Della Cont,
53,45:56.767N,8:29.183E,198M,T,Campi Fondo Toce,
54,46:04.267N,8:41.817E,191M,T,Cannobbio Campo,
55,45:47.000N,6:58.333E,1223M,T,Courmayeur Centr,
56,45:23.417N,7:39.000E,406M,T,Cuorgne Piazza,
57,46:06.967N,8:17.800E,269M,T,Domodossolastazi,
58,44:28.717N,7:23.967E,586M,T,Dronero Citta,
59,45:49.100N,6:57.150E,1411M,T,Entreves Entree,
60,44:41.167N,7:22.500E,293M,T,Envie Citta,
61,45:06.067N,6:56.367E,819M,T,EXIlles,
62,45:06.650N,6:55.500E,1689M,T,EXIlles Castello,
63,45:54.517N,7:21.383E,2780M,T,Fenetre Durand,
64,45:50.483N,8:42.600E,264M,T,Gavirate Cimiter,
65,45:46.700N,7:49.500E,1403M,T,Gressonay La Tri,
66,45:37.333N,7:02.333E,2357M,T,Lago Beauregard,
67,45:54.504N,8:36.990E,191M,T,Laveno imbarcade,
68,45:54.700N,8:38.400E,1012M,T,Laveno Sasso Del,
69,45:58.017N,7:57.983E,1301M,T,Macugnaga Chiesa,
70,44:24.733N,7:48.617E,405M,T,Mondovi Aviosup,
71,45:29.333N,7:50.517E,245M,T,Montalto Dora Te,
72,45:56.633N,7:53.383E,2938M,T,Monte Rosa Rifug,
73,45:04.100N,6:43.000E,1292M,T,N Bardonecchia N,
74,45:44.000N,7:16.000E,1047M,T,N Fallere Nordwe,
75,45:27.000N,7:18.000E,1328M,T,N Gr Paradis Nor,
76,46:10.000N,8:25.000E,1729M,T,N Masera Nordwel,
77,45:51.100N,7:52.100E,2955M,T,N Mt Rosa Nordwe,
78,45:28.100N,7:39.000E,1837M,T,N Orco Nordwelle,
79,45:08.000N,7:03.100E,512M,T,N Susa Nordwelle,
80,45:02.500N,6:48.100E,1097M,T,N Ulzio Nordwell,
81,45:49.100N,7:20.000E,1315M,T,N Valpelline Nor,
82,44:45.583N,8:46.500E,214M,T,Noviligure Torre,
83,45:44.383N,7:28.183E,521M,T,Nus Aostatal Ort,
84,45:52.600N,8:24.233E,351M,T,Omegna Ippodromo,
85,45:37.700N,7:58.783E,1174M,T,Oropa,
86,45:36.933N,7:59.567E,831M,T,Oropa Santuario,
87,45:03.183N,8:20.317E,221M,T,Ottiglio Centro,
88,45:03.633N,6:52.083E,1026M,T,OulX Campo,
89,45:41.000N,7:18.800E,1932M,T,Pila Alberghi,
90,44:53.417N,7:19.067E,399M,T,Pinerolo Cimiter,
91,45:45.900N,8:16.100E,407M,T,Quarona Stazione,
92,45:34.350N,7:07.000E,1736M,T,Rhemes Notre Dam,
93,45:39.250N,7:09.667E,1457M,T,Rhemes St George,
94,46:08.083N,8:27.967E,820M,T,Santa Maria Magg,
95,45:08.367N,7:03.417E,494M,T,Susa Stazione Ff,
96,45:09.333N,7:24.233E,1167M,T,Tor 0 Start Tori,
97,45:09.117N,7:19.150E,954M,T,Tor 1 Start Tori,
98,45:07.317N,7:21.367E,508M,T,Tor 2 Start Tori,
99,45:08.017N,7:26.133E,997M,T,Tor 3 Start Tori,
100,45:10.033N,7:27.900E,1130M,T,Tor 4 Start Tori,
101,45:15.017N,7:25.683E,777M,T,Tor 5 Start Tori,
102,45:08.633N,7:15.050E,1165M,T,Tor 6 Start Tori,
103,45:00.700N,7:20.300E,731M,T,Tor 7 Start Tori,
104,45:37.900N,7:03.700E,1702M,T,Valgrisanche,
105,45:53.917N,7:29.567E,1893M,T,Valpelline Barra,
106,45:39.867N,7:41.567E,386M,T,Verres Castello,
107,46:03.100N,8:15.833E,228M,T,Villadossola Sta,
108,45:32.633N,6:18.450E,322M,T,Aiguebelle Gare,
109,45:52.750N,6:53.500E,3618M,T,Aiguille Mont,
110,45:33.267N,6:38.883E,664M,T,Aime Gare,
111,44:55.000N,7:28.500E,262M,T,Airasca Skf Capa,
112,45:33.417N,6:13.667E,295M,T,Aiton Champs,
113,45:37.633N,6:19.750E,312M,T,Albertville,
114,45:40.050N,6:23.350E,339M,T,Albertvillecentr,
115,44:17.583N,6:33.850E,1884M,T,Allos FouX,
116,43:37.017N,6:20.933E,638M,T,Ampus Champs,
