1,46:45.330N,7:04.614E,694M,AT,Ecuvillens, Dir: 100/280 Dim: 800/50
2,46:45.150N,7:36.459E,566M,AT,Thun, Dir: 140/320 Dim: 950/40
3,46:33.303N,7:22.680E,935M,AT,Zweisimmen, Dir: 170/350 Dim: 950/30
4,46:12.811N,7:19.116E,482M,AT,Sion, Dir: 70/250 Dim: 2000/40
5,46:29.233N,7:15.000E,1005M,AT,Saanen, Dir: 80/260 Dim: 1050/40
6,46:32.717N,6:37.000E,610M,AT,Lausanne, Dir: 4/184 Dim: 1100/30
7,46:35.650N,7:05.667E,700M,AT,Gruyeres, Dir: 170/350 Dim: 1000/30
8,46:54.846N,7:29.832E,510M,AT,Bern, Dir: 140/320 Dim: 950/30
9,46:15.170N,6:59.390E,400M,AT,Bex, Dir: 150/330 Dim: 1100/30
10,47:05.250N,7:17.267E,440M,AT,Bienne, Dir: 50/230 Dim: 850/30
11,46:11.518N,6:16.103E,493M,AT,Annemasse, Dir: 120/300 Dim: 1300/30
12,46:45.567N,6:37.050E,436M,AT,Yverdon, Dir: 50/230 Dim: 1250/30
13,46:58.783N,7:07.930E,436M,AT,Bellechasse, Dir: 80/260 Dim: 1250/30
14,46:35.333N,6:24.000E,670M,AT,Montricher, Dir: 30/210 Dim: 950/40
15,47:05.050N,6:47.700E,1020M,AT,Chaux de Fonds, Dir: 60/240 Dim: 1150/30
16,46:18.222N,7:49.404E,638M,AT,Raron, Dir: 100/280 Dim: 2250/30
17,46:55.000N,6:36.900E,738M,AT,Motiers, Dir: 46/226 Dim: 950/40
18,46:40.666N,7:52.740E,576M,AT,Interlaken, Dir: 60/240 Dim: 1900/40
19,46:24.383N,6:15.483E,410M,AT,La Cote, Dir: 40/220 Dim: 950/40
20,45:55.752N,6:05.928E,460M,AT,Annecy, Dir: 40/220 Dim: 1650/30
21,46:50.600N,6:54.900E,445M,AT,Payerne, Dir: 50/230 Dim: 3100/40
22,46:36.817N,7:40.667E,730M,AT,Reichenbach, Dir: 38/218 Dim: 1100/40
23,46:45.850N,5:49.233E,532M,AT,Champagnole, Dir: 10/190 Dim: 1050/30
24,45:57.233N,6:38.290E,535M,AT,Sallanches, Dir: 160/340 Dim: 900/30
25,46:57.450N,6:51.883E,434M,AT,Neuchatel, Dir: 52/232 Dim: 950/30
26,46:54.566N,6:19.800E,818M,AT,Pontarlier, Dir: 21/201 Dim: 1000/30
27,46:16.368N,6:27.840E,11120M,AT,Habere Poche, Dir: 20/200 Dim: 950/50
28,46:44.598N,8:06.600E,580M,AT,Meiringen, Dir: 90/270 Dim: 2000/40
29,46:18.234N,7:42.864E,626M,AT,Turtmann, Dir: 80/260 Dim: 2000/40
30,47:02.650N,7:16.700E,450M,T,AARBERG BF,
31,46:39.517N,7:41.800E,860M,T,AESCHI SPIEZ ZEN,
32,46:19.033N,6:57.800E,404M,T,AIGLE BF,
33,45:52.750N,6:53.500E,3358M,T,AIGUILLE MONT,
34,46:31.100N,7:03.333E,774M,T,ALBEUVE BF,
35,46:27.933N,7:59.467E,4004M,T,ALETSCHHORN GIPF,
36,46:28.150N,7:00.467E,1044M,T,ALLIERES STATION,
37,46:19.883N,7:31.967E,1500M,T,AMINONA SUR SIER,
38,45:54.800N,6:07.200E,452M,T,ANNECY GARE SNCF,
39,45:55.400N,6:05.733E,460M,T,ANNECY HANGAR AE,
40,45:55.850N,6:06.383E,460M,T,ANNECY MEYTHETR,
41,45:56.033N,6:06.317E,460M,T,ANNECY N TRESHOL,
42,46:11.517N,6:16.133E,493M,T,ANNEMASSE,
43,46:17.667N,7:23.700E,1566M,T,ANZERE TALSTATIO,
44,46:17.850N,7:23.950E,1564M,T,ANZERE VILLAGE,
45,46:20.817N,6:31.483E,640M,T,ARMOY,
46,46:57.283N,6:51.683E,434M,T,ARR05 NEUCHATEL,
47,46:14.200N,7:16.350E,970M,T,AVEN CHAPELLE,
48,46:52.783N,7:02.633E,460M,T,AVENCHES CENTRE,
49,46:11.500N,6:46.600E,1874M,T,AVORIAZ,
50,46:03.033N,6:56.917E,1172M,T,BARBERINES USINE,
51,46:47.317N,6:31.433E,630M,T,BAULMES BAHNHOF,
52,46:22.317N,7:58.467E,2156M,T,BELALP BERGSTATI,
53,46:58.767N,7:07.933E,436M,T,BELLECHASSE,
