1,47:33.270N,010:16.371E,727M,AT,Agathazeller Moos, Dir: 176/356 Dim: 700/20
2,47:41.556N,010:20.286E,713M,AT,Kempten-Durach EDMK, Dir: 74/254 Dim: 800/30
3,47:40.264N,009:30.675E,410M,AT,Friedrichshafen EDNY, Dir: 59/239 Dim: 2356/45
4,47:36.042N,009:44.514E,515M,AT,Wildberg, Dir: 28/208 Dim: 400/18
5,47:34.979N,010:41.364E,786M,AT,Fuessen, Dir: 81/261 Dim: 800/40
6,47:51.768N,010:36.894E,718M,AT,Kaufbeuren, Dir: 20/200 Dim: 2000/30
7,47:51.549N,010:00.858E,637M,AT,Leutkirch-Unterzeil EDNL, Dir: 55/235 Dim: 1020/20
8,47:42.036N,010:01.308E,685M,AT,Isny-Rotmoos, Dir: 75/255 Dim: 1000/30
9,47:45.198N,009:51.864E,640M,AT,Kisslegg, Dir: 70/250 Dim: 480/40
10,47:15.618N,011:20.640E,579M,AT,Innsbruck LOWI, Dir: 80/260 Dim: 2000/45
11,47:17.490N,012:47.406E,752M,AT,Zell am See LOWZ, Dir: 73/253 Dim: 660/18
12,46:09.276N,009:47.706E,272M,AT,Sondrio-Caiolo LILO, Dir: 85/265 Dim: 1000/22
13,47:50.124N,010:52.272E,736M,AT,Altenstadt ETHA, Dir: 85/265 Dim: 700/30
14,47:50.757N,011:03.660E,587M,AT,Paterzell, Dir: 179/359 Dim: 470/7
15,47:37.464N,011:11.022E,625M,AT,Eschenlohe, Dir: 167/347 Dim: 560/8
16,47:42.944N,011:23.478E,607M,AT,Benediktbeuern, Dir: 89/269 Dim: 1000/40
17,47:49.719N,011:27.960E,599M,AT,Koenigsdorf, Dir: 98/278 Dim: 750/8
18,47:45.924N,011:35.730E,717M,AT,Greiling, Dir: 30/210 Dim: 1300/25
19,47:40.782N,011:57.732E,810M,AT,Geitau, Dir: 160/340 Dim: 830/30
20,47:44.334N,012:06.972E,464M,AT,Brannenburg, Dir: 164/344 Dim: 480/20
21,47:43.791N,012:26.286E,565M,AT,Unterwoessen, Dir: 54/234 Dim: 770/10
22,47:31.224N,012:26.964E,670M,AT,St Johann LOIJ, Dir: 129/309 Dim: 740/21
23,47:33.874N,012:07.626E,480M,AT,Kufstein LOIK, Dir: 53/233 Dim: 800/32
24,47:28.281N,010:41.496E,855M,AT,Reutte LOIR, Dir: 44/224 Dim: 800/30
25,47:30.540N,009:15.750E,502M,AT,Sitterdorf LSZV, Dir: 78/258 Dim: 520/18
26,47:29.112N,009:33.606E,395M,AT,Altenrhein LSZR, Dir: 98/278 Dim: 1600/30
27,47:23.076N,009:41.982E,409M,AT,Hohenems LOIH, Dir: 44/224 Dim: 630/28
28,47:00.895N,009:28.914E,490M,AT,Bad Ragaz LSZE, Dir: 119/299 Dim: 480/10
29,46:32.061N,009:53.040E,1702M,AT,Samedan LSZS, Dir: 29/209 Dim: 1830/40
30,46:27.612N,011:19.583E,233M,AT,Bolzano LIPB, Dir: 9/189 Dim: 1540/32
31,46:43.619N,012:13.890E,1205M,AT,Dobbiaco Toblach LIVD, Dir: 93/273 Dim: 970/40
32,46:53.036N,011:26.484E,937M,AT,Vipiteno Sterzing, Dir: 122/302 Dim: 520/18
33,47:47.646N,013:00.210E,430M,AT,Salzburg LOWS, Dir: 154/334 Dim: 2842/44
34,47:49.476N,011:42.270E,723M,AT,Warngau, Dir: 20/200 Dim: 555/8
35,46:47.892N,012:52.692E,637M,AT,Lienz-Nikolsdorf LOKL, Dir: 122/302 Dim: 622/12
36,46:24.282N,012:53.106E,373M,AT,Enemonzo-Zampieri LI32, Dir: 75/255 Dim: 444/35
37,46:14.082N,013:04.368E,166M,AT,Rivoli di Osoppo LI33, Dir: 20/200 Dim: 620/40
38,46:07.866N,012:43.692E,243M,AT,Maniago, Dir: 159/339 Dim: 1538/98
39,46:09.972N,012:14.958E,375M,AT,Belluno LIDB, Dir: 45/225 Dim: 930/60
40,46:01.851N,012:35.760E,108M,AT,Aviano Mil LIPA, Dir: 45/225 Dim: 3120/43
41,45:59.532N,012:39.276E,66M,AT,Pordenone LI39, Dir: 177/357 Dim: 1077/61
42,46:01.884N,013:10.956E,85M,AT,Udine LIPD, Dir: 38/218 Dim: 818/45
43,45:53.172N,011:30.954E,1026M,AT,Asiago LIDA, Dir: 74/254 Dim: 1100/26
44,46:01.284N,011:07.492E,181M,AT,Trento LIDT, Dir: 179/359 Dim: 1094/29
45,45:25.746N,012:23.358E,3M,AT,Venezia Lido LIPV, Dir: 51/231 Dim: 1000/46
46,45:30.288N,012:21.084E,0M,AT,Venezia Tessera LIPZ, Dir: 40/220 Dim: 3297/45
47,45:58.770N,013:02.958E,50M,AT,Rivolto Mil LIPI, Dir: 56/236 Dim: 3000/40
48,45:38.910N,012:11.604E,9M,AT,Treviso LIPH, Dir: 67/247 Dim: 2422/43
49,45:41.076N,012:05.298E,38M,AT,Treviso-Istrana Mil LIPS, Dir: 80/260 Dim: 2731/35
50,45:32.841N,011:45.942E,25M,AT,Piazzola sul Brenta LI27, Dir: 68/248 Dim: 453/31
51,45:26.601N,011:39.120E,22M,AT,Montegaldella LI29, Dir: 100/280 Dim: 588/24
52,45:34.410N,011:31.779E,36M,AT,Vicenza Mil LIPT, Dir: 178/358 Dim: 1490/28
53,45:40.692N,011:29.781E,92M,AT,Thiene LIDH, Dir: 171/351 Dim: 1208/34
54,45:28.326N,010:55.680E,82M,AT,Verona Boscomantico LIPN, Dir: 73/253 Dim: 1009/21
55,45:40.584N,009:42.360E,242M,AT,Bergamo LIME, Dir: 120/300 Dim: 810/17
56,45:43.230N,009:35.616E,223M,AT,Valbrembo LILV, Dir: 23/203 Dim: 800/80
57,45:46.176N,009:09.732E,380M,AT,Alzate Brianza LILB, Dir: 24/204 Dim: 593/15
58,45:32.390N,009:12.140E,142M,AT,Bresso LIMB, Dir: 180/360 Dim: 1078/29
59,45:44.544N,008:53.280E,332M,AT,Varese Venegono LILN, Dir: 175/355 Dim: 1252/40
60,45:42.771N,008:42.051E,261M,AT,Vergiate LILG, Dir: 158/338 Dim: 758/49
61,45:37.743N,008:44.035E,219M,AT,Malpensa LIMC, Dir: 169/349 Dim: 2971/60
62,45:31.854N,008:40.146E,173M,AT,Cameri Mil LIMN, Dir: 168/348 Dim: 2826/30
63,45:48.570N,008:46.146E,247M,AT,Calcinate del Pesce LILC, Dir: 100/280 Dim: 630/60
64,45:36.270N,008:19.470E,281M,AT,Gattinara, Dir: 172/352 Dim: 589/36
65,45:29.730N,008:06.174E,273M,AT,Biella Cerrione LILE, Dir: 157/337 Dim: 1497/28
66,45:44.331N,007:22.068E,540M,AT,Aosta LIMW, Dir: 86/266 Dim: 1239/33
67,46:00.258N,008:54.636E,276M,AT,Lugano LSZA, Dir: 19/199 Dim: 1342/30
68,46:09.920N,008:52.674E,195M,AT,Locarno LSZL, Dir: 80/260 Dim: 799/23
69,46:17.660N,008:59.571E,260M,AT,Lodrino Mil LSML, Dir: 160/340 Dim: 872/39
70,46:30.782N,008:41.406E,988M,AT,Ambri LSPM, Dir: 104/284 Dim: 1974/39
71,46:15.489N,006:59.196E,402M,AT,Bex LSGB, Dir: 148/328 Dim: 726/72
72,46:13.164N,007:19.620E,481M,AT,Sion LSGS, Dir: 74/254 Dim: 2395/39
73,46:18.273N,007:42.834E,625M,AT,Turtmann Mil LSMJ, Dir: 82/262 Dim: 2391/38
