1,36:56.082N,116:00.354W,1200M,AT,Lockheed Martin AOF, Dir: 20/200 Dim: 1615/21
2,37:24.306N,116:14.364W,1653M,AT,Kawich Valley, Dir: 58/238 Dim: 2492/60
3,37:47.940N,116:46.848W,1679M,AT,Tonopah Test Range, Dir: 157/337 Dim: 3660/43
4,37:25.764N,116:51.018W,1639M,AT,Korean 1, Dir: 81/261 Dim: 1518/50
5,37:21.774N,116:49.740W,1615M,AT,Korean 2, Dir: 82/262 Dim: 2250/70
6,36:51.672N,116:47.181W,955M,AT,Beatty, Dir: 180/360 Dim: 1712/18
7,36:37.194N,116:01.926W,987M,AT,Desert Rock, Dir: 34/214 Dim: 2272/30
8,36:35.040N,115:40.824W,950M,AT,Creech AFB, Dir: 92/272 Dim: 2745/44
9,37:14.118N,115:48.048W,1362M,AT,Groom Lake AFB, Dir: -24/156 Dim: 3783/30
10,37:41.058N,116:37.434W,1645M,AT,Mellan, Dir: 124/304 Dim: 1510/18
11,36:38.052N,116:24.810W,800M,AT,Jackass, Dir: 158/338 Dim: 2130/39
12,37:06.132N,116:18.774W,1532M,AT,Pahute Air Strip, Dir: 13/193 Dim: 1756/30
13,37:39.558N,115:42.780W,1483M,AT,Rachel Air Strip, Dir: 114/294 Dim: 745/12
14,37:46.884N,116:15.288W,1907M,AT,Keno, Dir: 160/340 Dim: 2167/27
15,36:46.578N,115:27.225W,1061M,AT,Wildlife Range, Dir: 178/358 Dim: 2130/30
16,36:47.783N,116:16.133W,1085M,T,C Road,
17,36:47.200N,116:16.667W,1062M,T,D Road,
18,36:49.367N,116:15.000W,1162M,T,F Road,
19,36:48.600N,116:15.350W,1127M,T,G Road,
20,36:48.633N,116:17.450W,1100M,T,H Road,
21,36:49.467N,116:16.583W,1149M,T,J Road,
22,36:49.350N,116:18.650W,1113M,T,K Road,
23,36:49.583N,116:08.550W,1329M,T,Air Storage Syst,
24,36:38.833N,116:35.133W,760M,T,Amargosa Dunes,
25,37:03.233N,116:05.583W,1282M,T,Apple II,
26,37:03.733N,116:07.717W,1349M,T,Area 1 Industria,
27,37:11.800N,116:09.400W,1606M,T,Area 12 Camp,
28,37:11.517N,116:09.517W,1608M,T,Area 12 Support ,
29,37:09.600N,116:05.100W,1354M,T,Area 2 Support F,
30,36:46.250N,116:07.000W,1303M,T,Area 27,
31,37:02.717N,116:01.533W,1224M,T,Area 3 RWMS,
32,37:02.183N,116:02.250W,1224M,T,Area 3 Support F,
33,36:51.500N,115:57.334W,980M,T,Area 5 RWMS(WEF),
34,36:58.900N,116:02.250W,1203M,T,Atlas Facility,
35,36:53.533N,115:47.650W,1876M,T,Aysees Peak,
36,37:11.750N,116:09.500W,1611M,T,BACHUS,
37,36:38.783N,116:00.134W,1107M,T,Badge Office/Gua,
38,37:26.967N,115:44.016W,2832M,T,Bald Mountain,
39,37:07.250N,116:00.483W,1473M,T,Balloon Hill,
40,36:50.567N,116:40.466W,1892M,T,Bare Mountain,
41,36:48.650N,116:23.400W,1018M,T,Batch Plant,
42,36:54.383N,116:44.333W,1272M,T,Beatty Mountain,
43,37:05.800N,116:05.583W,1297M,T,BEEF (Big Explos,
44,37:34.117N,116:04.567W,2470M,T,Belted Peak,
45,36:48.783N,116:33.917W,1105M,T,Black Cone,
46,36:45.083N,116:37.500W,1092M,T,Black Marble,
47,37:16.983N,116:38.766W,2178M,T,Black Mountain,
48,37:10.150N,116:11.634W,1869M,T,Booster Point,
49,36:50.283N,116:24.200W,1062M,T,Borrow Pit,
50,36:46.833N,116:14.617W,1113M,T,BREN Tower,
51,36:46.933N,116:25.234W,1284M,T,Busted Butte,
52,37:46.950N,116:52.650W,2189M,T,Cactus Peak,
53,36:51.150N,116:01.467W,1051M,T,Cane Test Range,
54,37:42.383N,116:20.117W,2543M,T,Cedar Peak,
55,37:31.867N,115:55.267W,2209M,T,Chalk Mountain,
56,36:48.717N,116:09.583W,1315M,T,Check Station,
57,37:13.433N,116:03.567W,1533M,T,Climax Mine (Spe,
58,37:08.533N,115:55.517W,1879M,T,Cockeyed Ridge,
59,36:54.767N,116:24.216W,1598M,T,Comb Peak,
60,36:45.367N,116:15.450W,1072M,T,Communications B,
61,36:49.350N,116:08.533W,1314M,T,Compressor Build,
