1,37:43.980S,144:25.320E,156M,AT,Bacchus Marsh, Dir: 100/280 Dim: 1524/50
2,37:41.231S,144:13.259E,442M,AT,Fiskville, Dir: 90/270 Dim: 864/50
3,37:33.282S,143:47.502E,450M,AT,Ballarat, Dir: 60/240 Dim: 1265/50
4,37:18.666S,143:00.000E,301M,AT,Ararat, Dir: 131/311 Dim: 1240/50
5,36:40.266S,142:10.266E,134M,AT,Horsham, Dir: 90/270 Dim: 1322/50
6,37:04.302S,142:44.400E,807M,AT,Stawell, Dir: 100/280 Dim: 1403/50
7,36:32.586S,144:14.382E,134M,AT,Raywood, Dir: 0/180 Dim: 1000/50
8,37:59.233S,144:15.300E,83M,T,Anakie,
9,37:53.100S,144:15.383E,259M,T,Anakie Junction,
10,37:18.667S,143:00.000E,301M,T,Ararat A/D,
11,37:18.500S,142:59.317E,305M,T,Ararat Hangar,
12,37:05.517S,143:28.567E,245M,T,Avoca - VIC,
13,37:44.000S,144:25.333E,156M,T,Bacchus Marsh,
14,37:33.283S,143:47.500E,450M,T,Ballarat A/F,
15,38:02.700S,144:10.167E,115M,T,Bannockburn,
16,36:36.900S,142:48.050E,136M,T,Banyena,
17,37:25.667S,143:22.783E,390M,T,Beaufort,
18,36:44.433S,144:19.667E,208M,T,Bendigo,
19,36:32.583S,144:14.383E,134M,T,Bendigo GC,
20,36:08.500S,143:43.500E,100M,T,Boort A/D,
21,36:06.983S,143:43.217E,93M,T,Boort R/S,
22,36:07.900S,143:43.250E,107M,T,Boort Silo,
23,36:36.133S,143:56.917E,139M,T,Bridgewater - VI,
24,36:37.167S,142:43.833E,146M,T,Burrum,
25,37:04.267S,144:12.833E,289M,T,Castlemaine,
26,36:15.783S,143:20.733E,134M,T,Charlton,
27,36:28.150S,143:03.367E,123M,T,Cope Cope,
28,38:03.033S,143:08.567E,159M,T,Corangimite GC,
29,38:01.883S,143:38.633E,127M,T,Cressy - VIC,
30,36:55.317S,142:30.100E,170M,T,Dadswell Bridge,
31,37:21.100S,144:18.367E,713M,T,Daylesford,
