1,42:48.120N,000:36.084E,617M,AT,Luchon, Dir: 180/360 Dim: 700/60
2,43:24.384N,001:59.532E,417M,AT,Montagne Noire, Dir: 40/220 Dim: 300/20
3,43:18.624N,001:54.840E,182M,AT,Castelnaudary, Dir: 125/305 Dim: 800/20
4,42:54.774N,002:03.570E,487M,AT,Puivert, Dir: 135/315 Dim: 800/60
5,42:32.796N,002:07.650E,1703M,AT,Llagone, Dir: 140/320 Dim: 800/60
6,43:00.444N,001:06.378E,417M,AT,Saint Girons, Dir: 145/325 Dim: 700/40
7,43:12.942N,000:03.954E,323M,AT,Tarbes Laboure, Dir: 78/258 Dim: 600/60
8,43:45.966N,000:03.882W,139M,AT,Nogaro, Dir: 137/317 Dim: 950/65
9,43:09.942N,000:34.182W,293M,AT,Herrére, Dir: 70/250 Dim: 800/60
10,43:40.860N,000:35.640E,134M,AT,Auch, Dir: 180/360 Dim: 800/55
11,43:05.808N,001:42.324E,336M,AT,Pamiers, Dir: 90/270 Dim: 1300/30
12,42:23.640N,001:52.566E,1090M,AT,La Cerdana, Dir: 60/240 Dim: 800/65
13,43:13.128N,002:18.930E,128M,AT,Carcassonne, Dir: 90/270 Dim: 800/50
14,43:06.630N,000:36.834E,404M,AT,St Gaudens, Dir: 65/245 Dim: 800/50
15,43:46.092N,002:00.774E,174M,AT,Graulhet, Dir: 90/270 Dim: 500/30
16,43:32.916N,002:18.210E,238M,AT,Castres, Dir: 140/320 Dim: 800/30
17,42:08.724N,000:41.736W,414M,AT,Lac Antiga, Dir: 130/310 Dim: 400/40
18,42:27.396N,002:00.576E,1256M,AT,Saillagouse, Dir: 90/270 Dim: 300/30
19,43:35.868N,001:42.852E,229M,AT,Bourg St Bernard, Dir: 118/298 Dim: 600/30
20,42:25.632N,000:07.266E,542M,AT,Ainsa, Dir: 135/315 Dim: 800/30
21,42:08.292N,000:20.388E,486M,AT,Détente, Dir: 90/270 Dim: 800/30
22,42:58.300N,0:36.133W,554M,T,Accous Colonne D,
23,42:47.100N,2:04.100E,1106M,T,Agly Ul,
24,42:20.750N,0:11.233E,523M,T,Ainsa Coscojuela,
25,42:22.783N,0:10.817E,514M,T,Ainsa Gravera,
26,42:21.333N,0:10.750E,540M,T,Ainsa Lac Za,
27,42:25.400N,0:08.883E,535M,T,Ainsa Ville,
28,42:53.883N,1:11.433E,667M,T,Aleu Joubac,
29,42:22.417N,1:53.200E,1178M,T,Alp,
30,42:23.700N,0:16.033E,672M,T,Alueza,
31,43:04.967N,0:27.983E,521M,T,Ancres,
32,43:17.867N,0:14.017W,273M,T,Andoins Artiguel,
33,42:30.100N,1:32.250E,1430M,T,Andorra Ville,
34,42:37.800N,0:39.550E,3014M,T,Aneto 0,
35,42:52.750N,0:17.000E,2532M,T,Arbiz,
36,42:15.600N,0:43.333E,687M,T,Aren Twn,
