1,42:48.132N,000:36.060E,617M,AT,Luchon, Dir: 1/181 Dim: 800/60
2,43:06.366N,000:36.924E,404M,AT,Saint Gaudens, Dir: 70/250 Dim: 750/60
3,43:23.832N,001:59.556E,445M,AT,Montagne Noire, Dir: 36/216 Dim: 300/20
4,43:17.910N,001:55.386E,163M,AT,Castelnaudary, Dir: 111/291 Dim: 800/20
5,42:54.702N,002:03.144E,487M,AT,Puivert, Dir: 142/322 Dim: 750/100
6,42:33.102N,002:07.002E,1703M,AT,Llagone, Dir: 140/320 Dim: 750/60
7,43:00.096N,001:06.258E,417M,AT,Saint Girons, Dir: 145/325 Dim: 660/80
8,43:12.444N,001:02.772E,259M,AT,Cazére, Dir: 102/282 Dim: 800/50
9,43:12.378N,000:04.026E,323M,AT,Tarbes Laboure, Dir: 82/262 Dim: 700/60
10,43:44.838N,000:02.100W,94M,AT,Nogaro, Dir: 137/317 Dim: 950/65
11,43:08.604N,000:34.356W,310M,AT,Herrére, Dir: 60/240 Dim: 800/60
12,43:40.098N,000:36.156E,123M,AT,Auch, Dir: 4/184 Dim: 800/55
13,43:05.058N,001:41.232E,341M,AT,Pamiers, Dir: 90/270 Dim: 1300/30
14,42:25.866N,001:51.972E,1155M,AT,La Cerdana, Dir: 60/240 Dim: 950/65
15,42:58.300N,0:36.133W,449M,T,Accous Colonne D,
16,42:47.100N,2:04.100E,1133M,T,Agly Ul,
17,42:20.750N,0:11.233E,514M,T,Ainsa Coscojuela,
18,42:22.783N,0:10.817E,514M,T,Ainsa Gravera,
19,42:21.333N,0:10.750E,514M,T,Ainsa Lac Za,
20,42:25.400N,0:08.883E,526M,T,Ainsa Ville,
21,42:53.883N,1:11.433E,698M,T,Aleu Joubac,
22,42:22.417N,1:53.200E,1501M,T,Alp,
23,42:23.700N,0:16.033E,674M,T,Alueza,
24,43:04.967N,0:27.983E,525M,T,Ancres,
25,43:17.867N,0:14.017W,315M,T,Andoins Artiguel,
26,42:30.100N,1:32.250E,1708M,T,Andorra Ville,
27,42:37.800N,0:39.550E,2951M,T,Aneto 0,
28,42:52.750N,0:17.000E,2300M,T,Arbiz,
29,42:15.600N,0:43.333E,630M,T,Aren Twn,
30,42:14.183N,0:43.100E,588M,T,Aren Ul,
31,42:59.400N,0:06.950W,612M,T,Argeles Gare Snc,
32,43:00.000N,0:05.833W,461M,T,Argeles Gazost V,
33,42:54.500N,1:30.333E,1587M,T,Arize,
34,43:00.933N,0:47.933E,430M,T,Aspet Centre Vil,
35,43:38.750N,0:46.950E,154M,T,Aubiet Ville,
36,42:59.000N,0:18.417W,1181M,T,Aubisque,
37,42:56.100N,1:00.883E,713M,T,Audressein,
38,42:47.633N,1:19.100E,1097M,T,Aulus Les Bains,
39,43:13.000N,0:51.000E,299M,T,Aurig,
40,43:34.967N,0:36.900E,146M,T,Auterive,
41,43:04.333N,0:21.333E,663M,T,Avezac Terra,
42,42:43.117N,1:50.267E,777M,T,AX Les Thermes,
43,42:15.233N,1:51.783E,867M,T,Baga,
44,43:03.100N,0:08.100E,703M,T,Bagncres De Bigo,
45,42:47.100N,0:35.950E,640M,T,Bagneres Luc Gld,
46,42:41.683N,0:58.033E,2249M,T,Baqueira Beret,
47,43:19.417N,1:49.100E,230M,T,Baraigne Ul,
48,43:01.900N,0:37.650E,508M,T,Barbazan,
49,42:53.817N,0:03.100E,1411M,T,Bareges,
50,42:47.267N,0:59.100E,2550M,T,Barlonguere,
51,43:34.767N,0:14.767E,228M,T,Bassoues,
52,42:59.200N,0:36.983W,615M,T,Bedous,
53,42:58.000N,0:54.100E,809M,T,Bellongue,
54,42:36.367N,0:31.500E,1132M,T,Benasque,
55,43:28.167N,0:23.333E,203M,T,Berdoues Mirande,
56,43:03.783N,0:25.983W,823M,T,Bielle,
57,42:38.150N,0:13.200E,1110M,T,Bielsa,
58,42:37.817N,0:19.400W,850M,T,Biescas,
59,42:35.500N,0:49.750E,2713M,T,Bizberri,
60,42:43.167N,0:33.833W,2064M,T,Blancas Las,
61,43:17.517N,0:38.817E,306M,T,Boulogne Gesse,
62,42:13.900N,1:08.317E,1611M,T,Boumort,
63,43:36.500N,1:43.583E,219M,T,Bourg St Bernard,
64,42:36.317N,0:07.200W,880M,T,Broto Town,
65,42:56.717N,0:46.033E,1886M,T,Cagire,
66,42:23.983N,0:29.983W,673M,T,Caldearenas L2,
67,42:24.333N,0:30.817W,663M,T,Caldearenas1,
68,42:24.650N,0:23.883E,658M,T,Campo2 Landable,
69,42:43.050N,0:31.417W,1078M,T,Canfranc,
70,42:45.200N,0:31.433W,1784M,T,Canfranc Estacio,
71,42:49.483N,0:47.550E,1025M,T,Cap De La Pic,
72,43:17.633N,1:13.600E,210M,T,Carbonne,
73,43:13.017N,2:18.583E,115M,T,Carcassonne Hang,
74,43:12.950N,2:18.517E,116M,T,Carcassonne Sal,
75,42:36.717N,1:59.083E,2353M,T,Carlit,
76,42:30.850N,0:29.667E,1127M,T,Castejon Twn,
77,43:16.767N,0:31.267E,309M,T,Castelnau Ma Gld,
78,43:18.733N,1:55.217E,176M,T,Castelnaudary,
79,42:37.967N,0:32.933W,925M,T,Castiello De Jac,
80,43:33.300N,2:17.433E,200M,T,Castres Mazamet,
81,42:53.267N,0:06.583W,941M,T,Cauterets,
82,43:12.500N,1:05.167E,247M,T,Cazeres Gare Snc,
83,43:12.133N,1:03.017E,255M,T,Cazeresepalaminy,
84,42:31.950N,0:29.500E,931M,T,Cdesos,
85,42:55.050N,0:38.267E,569M,T,Cierp Gare Sncf,
86,42:58.583N,0:20.250W,1713M,T,Col D Aubisque C,
87,42:52.083N,1:06.250E,1528M,T,Col De La Core,
88,42:45.900N,0:42.800E,1429M,T,Col Du Portillon,
89,42:43.167N,0:27.100W,2207M,T,Collarada,
90,42:30.750N,0:19.167E,2460M,T,Cotiella,
91,42:49.100N,0:51.500E,2055M,T,Crabcre,
92,42:17.317N,1:38.250E,2340M,T,Cristal,
93,43:21.133N,0:24.833E,287M,T,Duffort,
94,43:32.417N,0:34.717E,174M,T,Durban,
95,42:56.900N,1:02.967E,460M,T,Engomer Praete,
96,42:30.033N,0:08.700E,735M,T,Escalona 2,
97,42:27.100N,1:46.883E,1468M,T,Estany Sec,
98,42:57.883N,1:36.367E,375M,T,FoiX,
99,42:30.333N,2:02.450E,1617M,T,Font Romeu,
100,42:53.183N,0:43.533E,773M,T,Fos Praerie,
101,43:16.250N,1:03.400E,280M,T,Fousseret,
102,42:58.383N,0:39.617E,547M,T,Fronsac Praerie,
103,43:13.500N,0:24.500E,324M,T,Galan,
104,42:32.500N,0:33.333E,2302M,T,Gallinero,
105,42:56.100N,0:41.100E,885M,T,Gar2,
106,43:24.083N,1:41.333E,167M,T,Gardouch,
107,43:30.600N,0:21.000W,200M,T,Garlede Mondbat,
108,43:33.633N,0:16.317W,198M,T,Garlin,
109,42:44.017N,0:00.567W,1503M,T,Gavarnie,
110,43:38.383N,0:22.683W,157M,T,Geaune,
111,42:48.283N,0:24.467E,949M,T,Genos Champ,
112,43:14.450N,0:07.350W,395M,T,Ger Ul,
113,42:23.967N,0:10.217E,536M,T,Gerbe,
114,43:37.600N,0:52.533E,169M,T,Gimont Ville,
115,43:08.267N,0:15.550E,318M,T,Gourgue,
116,42:14.317N,0:21.417E,489M,T,Grauss Za,
117,42:17.500N,0:13.500W,1506M,T,Guara 0,
118,42:26.050N,0:05.467E,627M,T,Guaso 0,
119,43:00.683N,0:21.967E,650M,T,Heche,
120,42:28.667N,2:02.833E,1417M,T,Hippopotame X Ul,
121,42:26.317N,0:25.383W,735M,T,Hostal De Ipies,
122,43:30.967N,0:26.033E,212M,T,Idrac Respailles,
123,42:34.317N,0:32.900W,785M,T,Jaca Af Gld,
124,42:28.700N,0:04.150W,894M,T,Javier Za,
125,43:23.500N,0:50.767E,202M,T,L Isle En Dodon,
126,42:23.250N,1:51.833E,1109M,T,La Cerdanya,
127,43:24.450N,1:59.367E,305M,T,La Montagnen Gld,
128,42:14.850N,0:58.383E,498M,T,La Pobla De Segu,
129,42:20.383N,1:24.617E,651M,T,La Seu De Urgel,
130,43:00.567N,1:24.750E,395M,T,Labas,
131,43:26.000N,2:01.967E,263M,T,Lac Ferreol,
132,43:25.067N,0:37.233W,117M,T,Lacq Centre Vill,
133,43:07.383N,0:22.950E,559M,T,Lannemezan,
134,43:35.033N,1:41.350E,178M,T,Lanta Ul,
135,43:26.150N,0:02.083E,184M,T,Larreule Vache,
136,42:59.333N,0:25.483W,586M,T,Laruns,
137,42:14.583N,0:21.583E,495M,T,Las Ventas De St,
138,43:25.533N,0:17.150W,240M,T,Lasclaverie Aero,
139,42:24.367N,0:28.783W,720M,T,Latre,
140,42:55.500N,1:49.100E,710M,T,Lavelanet,
141,43:04.867N,1:21.633E,322M,T,Le Mas D Azil,
142,42:54.133N,0:46.317E,1724M,T,Le Mourtis,
143,43:26.983N,0:06.633W,289M,T,Lembeye,
144,42:49.033N,0:42.850E,630M,T,Les Val D Aran,
145,43:07.933N,0:12.683W,290M,T,Lestel Betharram,
146,43:14.850N,0:07.183W,395M,T,Livron Ul,
147,43:05.817N,0:02.750W,442M,T,Lourdes Ville,
148,43:33.167N,0:03.500W,166M,T,Madiran,
149,42:33.100N,0:09.833W,1312M,T,Manchoya,
150,43:20.800N,0:36.617E,257M,T,Manet Montane Ae,
151,43:31.417N,0:09.667E,183M,T,Marciac Ville,
152,43:25.800N,0:34.750E,202M,T,Masseube,
153,42:47.667N,0:54.100E,2364M,T,Mauberme,
154,43:28.133N,0:02.083E,175M,T,Maubourguet,
155,43:25.717N,0:18.417E,265M,T,Mielan Ville,
156,43:28.233N,0:23.333E,203M,T,Mirande Berdoues,
157,42:27.650N,0:13.317E,908M,T,Monasterio De Sa,
158,42:32.617N,2:07.167E,1707M,T,Mont Louis Gld,
159,43:01.983N,0:30.817W,1634M,T,Montagnon Pic,
160,42:40.750N,0:01.100E,2753M,T,Monte Perdid,
161,43:05.067N,0:53.017E,359M,T,Montespan,
162,43:34.700N,0:19.667E,173M,T,Montesquiou,
163,42:37.250N,0:09.917E,2287M,T,Montinier,
164,42:50.850N,2:01.233E,877M,T,Montplaisier Esp,
165,43:04.100N,0:33.100E,430M,T,Montrejo Ville 1,
166,42:20.917N,0:16.783E,627M,T,Morillo De Moncl,
167,43:01.500N,0:20.250W,1757M,T,Moule,
168,43:21.100N,0:37.400W,158M,T,MourenX,
