1,47:10.733N,027:37.200E,121M,AT,LRIA, Dir: 153/333 Dim: 1800/50
2,44:30.217N,026:06.217E,85M,AT,LRBS, Dir: 75/255 Dim: 3190/50
3,44:34.700N,026:06.396E,91M,AT,LROP, Dir: 85/265 Dim: 3500/50
4,46:31.317N,026:54.617E,181M,AT,LRBC, Dir: 165/345 Dim: 2500/50
5,47:09.492N,027:38.286E,59M,AT,Iasi Sud, Dir: 145/325 Dim: 925/150
6,47:41.250N,026:21.250E,407M,AT,LRSV, Dir: 165/345 Dim: 1800/50
7,46:28.067N,024:24.750E,288M,AT,LRTM, Dir: 75/255 Dim: 2000/50
8,47:42.200N,022:53.133E,120M,AT,LRSM, Dir: 16/196 Dim: 2500/50
9,45:47.152N,024:05.174E,460M,AT,LRSB, Dir: 92/272 Dim: 2600/50
10,44:19.083N,023:53.317E,189M,AT,LRCV, Dir: 90/270 Dim: 2500/50
11,46:47.100N,023:41.167E,309M,AT,LRCL, Dir: 81/261 Dim: 2100/50
12,47:39.500N,023:27.983E,180M,AT,LRBM, Dir: 100/280 Dim: 1800/50
13,45:51.822N,022:58.110E,185M,AT,Deva, Dir: 120/300 Dim: 1500/100
14,46:30.139N,023:53.156E,323M,AT,Baza 71, Dir: 159/339 Dim: 2500/50
15,44:21.547N,025:55.866E,78M,AT,Clinceni, Dir: 60/240 Dim: 1300/100
16,44:34.963N,022:50.514E,348M,AT,Drobeta, Dir: 100/280 Dim: 800/60
17,44:42.834N,026:05.614E,100M,AT,Ciolpani, Dir: 130/310 Dim: 500/50
18,44:55.419N,025:57.808E,171M,AT,Strejnic, Dir: 75/255 Dim: 600/60
19,45:44.232N,024:09.909E,460M,AT,Magura, Dir: 140/320 Dim: 500/30
20,44:49.058N,024:53.848E,307M,AT,Geamana, Dir: 50/230 Dim: 600/50
21,46:32.052N,024:31.759E,304M,AT,Tg.Mures, Dir: 50/230 Dim: 900/50
22,45:21.815N,027:55.523E,4M,AT,Aerial Vadeni, Dir: 180/360 Dim: 500/30
23,46:46.740N,023:42.730E,307M,AT,Cluj, Dir: 90/270 Dim: 1000/50
24,48:23.916N,022:41.220E,110M,AT,Mukachevo Air Base, Dir: 28/208 Dim: 2500/50
25,48:15.559N,025:58.850E,238M,AT,Chernivtsi, Dir: 154/334 Dim: 2200/50
26,48:53.040N,024:41.046E,274M,AT,Ivano Frankivsk, Dir: 105/285 Dim: 2400/50
27,47:50.286N,027:46.890E,210M,AT,Balti, Dir: 152/332 Dim: 2200/50
28,45:50.712N,028:15.762E,196M,AT,Cahul, Dir: 167/347 Dim: 1800/50
29,47:51.774N,028:12.750E,93M,AT,Marculesti, Dir: 70/250 Dim: 2400/50
30,44:04.632N,024:25.009E,84M,AT,Deveselu, Dir: 108/288 Dim: 2500/50
31,45:42.021N,025:31.785E,530M,AT,Brasov, Dir: 45/225 Dim: 900/60
