1,51:42.306N,002:07.926W,175M,AT,Aston Down, Dir: 24/204 Dim: 1300/30
2,51:42.690N,002:16.950W,190M,AT,Nympsfield +, Dir: 75/255 Dim: 1100/20
3,51:54.042N,001:08.022W,72M,AT,Bicester, Dir: 180/360 Dim: 900/50
4,52:07.926N,001:50.502W,46M,AT,Bidford, Dir: 50/230 Dim: 700/25
5,51:35.376N,000:49.483W,157M,AT,Booker, Dir: 170/350 Dim: 500/20
6,51:50.526N,000:33.168W,149M,AT,Dunstable, Dir: 40/220 Dim: 750/50
7,52:04.506N,001:28.002W,190M,AT,Shenington, Dir: 95/275 Dim: 900/20
8,52:08.616N,000:06.264W,82M,AT,Gransden Lodge, Dir: 36/216 Dim: 1200/40
9,52:25.386N,001:01.320W,155M,AT,Husbands Bosworth, Dir: 80/260 Dim: 950/40
10,51:18.858N,002:07.446W,62M,AT,Keevil, Dir: 58/238 Dim: 1000/40
11,51:10.620N,001:03.858W,169M,AT,Lasham, Dir: 85/265 Dim: 1600/40
12,52:31.056N,002:52.350W,400M,AT,Long Mynd, Dir: 10/190 Dim: 650/20
13,51:07.986N,002:15.360W,141M,AT,The Park, Dir: 78/258 Dim: 1000/40
14,52:49.896N,002:11.028W,100M,AT,Seighford, Dir: 65/245 Dim: 800/23
15,51:43.152N,002:50.742W,24M,AT,Usk +, Dir: 95/275 Dim: 550/20
16,52:14.502N,002:52.500W,95M,AT,Shobdon, Dir: 82/262 Dim: 875/25
17,52:50.520N,002:45.606W,100M,AT,Sleap, Dir: 45/225 Dim: 802/46
18,52:48.882N,000:40.008W,200M,AT,Saltby, Dir: 65/245 Dim: 1100/40
19,51:31.674N,002:08.520W,105M,AT,Hullavington, Dir: 44/224 Dim: 900/40
20,51:26.472N,002:16.932W,175M,AT,Colerne, Dir: 65/245 Dim: 1000/40
21,51:51.864N,001:13.464W,70M,AT,Weston on the Green, Dir: 50/230 Dim: 900/20
22,51:46.152N,000:44.778W,120M,AT,Halton, Dir: 20/200 Dim: 1000/20
23,51:31.128N,002:35.238W,63M,AT,Filton, Dir: 90/270 Dim: 1000/20
24,51:55.194N,001:25.692W,154M,AT,Enstone, Dir: 74/254 Dim: 700/20
25,51:51.504N,001:41.640W,215M,AT,Little Risington, Dir: 38/218 Dim: 1300/20
26,51:39.972N,002:03.438W,130M,AT,Kemble +, Dir: 25/205 Dim: 400/20
27,52:52.878N,002:30.984W,0M,AT,Ternhill, Dir: 43/223 Dim: 900/20
28,52:29.034N,000:33.600W,88M,AT,Lyveden, Dir: 35/215 Dim: 1350/20
29,51:17.688N,000:00.924W,240M,AT,Biggin Hill, Dir: 25/205 Dim: 1000/30
30,51:35.928N,001:40.908W,87M,AT,Sandhill Farm +, Dir: 50/230 Dim: 550/20
31,51:20.232N,001:33.534W,190M,AT,Rivar Hill, Dir: 5/185 Dim: 1000/20
32,51:18.246N,000:05.694W,170M,AT,Kenley +, Dir: 92/272 Dim: 180/20
33,51:17.106N,001:47.718W,146M,AT,Upavon, Dir: 45/225 Dim: 850/30
34,51:16.020N,002:43.962W,260M,AT,Halesland, Dir: 130/310 Dim: 900/20
35,52:48.780N,1:54.594W,101M,T,Abbot's Bromley,
36,51:40.120N,1:16.766W,52M,T,Abingdon Bridge,
37,52:12.438N,1:52.640W,39M,T,Alcester,
38,51:09.071N,0:58.052W,103M,T,Alton,
39,51:07.931N,0:59.689W,118M,T,Alton Southwest,
40,51:12.029N,1:27.004W,102M,T,Andover SE,
41,51:12.066N,1:30.439W,67M,T,Andover SW,
42,51:52.547N,1:57.853W,167M,T,Andoversford,
43,51:33.833N,1:37.094W,136M,T,Ashbury,
44,52:55.183N,2:23.440W,192M,T,Ashley,
45,52:34.821N,1:33.239W,85M,T,Atherstone,
46,51:25.159N,1:52.482W,156M,T,Avebury,
47,51:49.990N,0:51.774W,74M,T,Aylesbury,
48,51:32.636N,2:16.826W,126M,T,Badminton,
49,52:04.355N,1:18.784W,101M,T,Banbury,
50,51:15.482N,1:03.893W,87M,T,Basingstoke,
51,51:19.769N,1:03.659W,61M,T,Basingstoke N,
52,51:15.322N,1:11.445W,105M,T,Basingstoke West,
53,51:22.854N,2:21.327W,23M,T,Bath Bridge,
54,51:23.868N,2:19.385W,30M,T,Bath East,
55,51:27.205N,2:22.155W,200M,T,Bath North,
56,51:25.094N,2:24.312W,236M,T,Bath Racecourse,
57,52:13.849N,0:27.788W,86M,T,Bedford Airfield,
58,52:07.785N,0:28.645W,29M,T,Bedford Bridge,
59,52:53.247N,0:46.038W,68M,T,Belvoir,
60,52:04.639N,0:15.663W,32M,T,Biggleswade,
61,51:50.624N,2:05.720W,242M,T,Birdlip,
62,51:58.103N,2:02.006W,83M,T,Bishop's Cleeve ,
63,51:37.331N,1:53.350W,93M,T,Blakehill Farm,
64,51:50.670N,1:21.867W,82M,T,Blenheim,
65,52:00.058N,0:42.526W,68M,T,Bletchley,
66,52:46.083N,0:22.637W,14M,T,Bourne,
67,51:53.203N,1:46.110W,136M,T,Bourton-on-the-w,
68,52:13.313N,0:41.035W,73M,T,Bozeat,
69,52:02.505N,1:08.166W,124M,T,Brackley ne,
70,52:01.270N,1:08.959W,111M,T,Brackley South,
71,51:20.680N,2:15.125W,36M,T,Bradford-on-avon,
72,52:31.660N,2:25.044W,33M,T,Bridgnorth,
73,51:49.129N,1:02.982W,186M,T,Brill,
74,52:02.182N,1:51.356W,101M,T,Broadway,
75,52:19.362N,2:02.779W,86M,T,Bromsgrove,
76,52:11.460N,2:30.340W,121M,T,Bromyard,
77,51:06.643N,2:26.996W,69M,T,Bruton,
78,51:59.888N,0:59.337W,86M,T,Buckingham,
79,51:10.506N,1:20.336W,74M,T,Bullington,
80,51:20.668N,1:40.193W,151M,T,Burbage,
81,52:07.254N,2:35.761W,91M,T,Burley Gate,
82,52:45.728N,1:41.975W,50M,T,Burton,
83,50:58.633N,0:58.916W,264M,T,Butser Hill,
