1,51:42.450N,002:07.770W,177M,AT,Aston Down, Dir: 23/203 Dim: 1300/30
2,51:42.834N,002:16.920W,219M,AT,Nympsfield +, Dir: 75/255 Dim: 1100/20
3,51:54.978N,001:07.980W,79M,AT,Bicester, Dir: 20/200 Dim: 800/50
4,52:08.196N,001:50.994W,41M,AT,Bidford, Dir: 45/225 Dim: 700/25
5,51:36.630N,000:48.480W,154M,AT,Booker, Dir: 60/240 Dim: 700/20
6,51:52.170N,000:32.736W,151M,AT,Dunstable, Dir: 40/220 Dim: 700/50
7,52:04.914N,001:28.194W,182M,AT,Shenington, Dir: 49/229 Dim: 900/20
8,52:10.698N,000:06.864W,75M,AT,Gransden Lodge, Dir: 36/216 Dim: 1200/40
9,52:26.178N,001:02.250W,155M,AT,Husbands Bosworth, Dir: 80/260 Dim: 950/40
10,51:18.888N,002:06.492W,50M,AT,Keevil, Dir: 58/238 Dim: 1000/40
11,51:11.178N,001:01.800W,180M,AT,Lasham, Dir: 85/265 Dim: 1600/40
12,52:31.056N,002:52.530W,412M,AT,Long Mynd, Dir: 10/190 Dim: 650/20
13,51:07.740N,002:14.610W,205M,AT,The Park, Dir: 78/258 Dim: 1000/40
14,52:49.920N,002:11.892W,91M,AT,Seighford, Dir: 57/237 Dim: 700/23
15,51:43.080N,002:50.814W,24M,AT,Usk +, Dir: 95/275 Dim: 550/20
16,52:14.472N,002:52.728W,91M,AT,Shobdon, Dir: 82/262 Dim: 875/25
17,52:50.520N,002:45.810W,81M,AT,Sleap, Dir: 45/225 Dim: 802/46
18,52:49.830N,000:42.600W,144M,AT,Saltby, Dir: 62/242 Dim: 1100/40
19,51:31.734N,002:08.130W,97M,AT,Hullavington, Dir: 44/224 Dim: 900/40
20,51:26.430N,002:16.560W,175M,AT,Colerne, Dir: 65/245 Dim: 1000/40
21,51:52.620N,001:13.170W,74M,AT,Weston on the Green, Dir: 50/230 Dim: 850/20
22,51:47.460N,000:44.142W,110M,AT,Halton, Dir: 20/200 Dim: 1000/20
23,51:31.086N,002:35.238W,58M,AT,Filton, Dir: 90/270 Dim: 1000/20
24,51:55.794N,001:25.626W,165M,AT,Enstone, Dir: 74/254 Dim: 700/20
25,51:52.026N,001:41.520W,215M,AT,Little Risington, Dir: 38/218 Dim: 1300/20
26,51:40.092N,002:03.240W,130M,AT,Kemble +, Dir: 82/262 Dim: 400/20
27,52:52.770N,002:31.644W,81M,AT,Ternhill, Dir: 43/223 Dim: 850/20
28,52:27.846N,000:34.440W,89M,AT,Lyveden, Dir: 70/250 Dim: 1000/20
29,51:19.668N,000:01.980E,175M,AT,Biggin Hill, Dir: 25/205 Dim: 1000/30
30,51:36.690N,001:41.238W,100M,AT,Sandhill Farm +, Dir: 40/220 Dim: 550/20
31,51:20.412N,001:32.412W,194M,AT,Rivar Hill, Dir: 5/185 Dim: 900/20
32,51:18.078N,000:05.700W,173M,AT,Kenley +, Dir: 125/305 Dim: 700/20
33,51:17.166N,001:46.728W,157M,AT,Upavon, Dir: 40/220 Dim: 850/30
34,51:15.720N,002:43.962W,260M,AT,Halesland, Dir: 130/310 Dim: 900/20
35,52:26.124N,000:08.556W,24M,AT,Upwood, Dir: 47/227 Dim: 900/50
36,51:20.190N,002:56.262W,4M,AT,Weston-Super-Mare, Dir: 58/238 Dim: 1000/60
37,52:36.666N,000:28.530W,79M,AT,Wittering, Dir: 70/250 Dim: 1000/60
38,52:42.552N,000:08.292W,0M,AT,Crowland, Dir: 40/220 Dim: 650/50
39,52:15.660N,000:29.100W,63M,AT,Sackville, Dir: 107/287 Dim: 700/50
40,51:46.524N,000:56.322W,85M,AT,Thame, Dir: 40/220 Dim: 800/50
41,52:13.968N,001:43.134W,113M,AT,Snitterfield, Dir: 85/265 Dim: 700/50
